% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Thu Mar 25 17:22:17 2010
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE A_poserr NUMERIC
@ATTRIBUTE A_negerr NUMERIC
@ATTRIBUTE B NUMERIC
@ATTRIBUTE B_poserr NUMERIC
@ATTRIBUTE B_negerr NUMERIC
@ATTRIBUTE DT_MAX_SNR NUMERIC
@ATTRIBUTE EP NUMERIC
@ATTRIBUTE EP_poserr NUMERIC
@ATTRIBUTE EP_negerr NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE EP0_poserr NUMERIC
@ATTRIBUTE EP0_negerr NUMERIC
@ATTRIBUTE FL NUMERIC
@ATTRIBUTE FL_poserr NUMERIC
@ATTRIBUTE FL_negerr NUMERIC
@ATTRIBUTE FLX_PC NUMERIC
@ATTRIBUTE FLX_PC_poserr NUMERIC
@ATTRIBUTE FLX_PC_negerr NUMERIC
@ATTRIBUTE FLX_PC_LATE NUMERIC
@ATTRIBUTE FLX_PC_LATE_poserr NUMERIC
@ATTRIBUTE FLX_PC_LATE_negerr NUMERIC
@ATTRIBUTE FLX_WT NUMERIC
@ATTRIBUTE FLX_WT_poserr NUMERIC
@ATTRIBUTE FLX_WT_negerr NUMERIC
@ATTRIBUTE GAM_PC NUMERIC
@ATTRIBUTE GAM_PC_poserr NUMERIC
@ATTRIBUTE GAM_PC_negerr NUMERIC
@ATTRIBUTE GAM_PC_LATE NUMERIC
@ATTRIBUTE GAM_PC_LATE_poserr NUMERIC
@ATTRIBUTE GAM_PC_LATE_negerr NUMERIC
@ATTRIBUTE GAM_WT NUMERIC
@ATTRIBUTE GAM_WT_poserr NUMERIC
@ATTRIBUTE GAM_WT_negerr NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE NH_PC_poserr NUMERIC
@ATTRIBUTE NH_PC_negerr NUMERIC
@ATTRIBUTE NH_PC_LATE NUMERIC
@ATTRIBUTE NH_PC_LATE_poserr NUMERIC
@ATTRIBUTE NH_PC_LATE_negerr NUMERIC
@ATTRIBUTE NH_WT NUMERIC
@ATTRIBUTE NH_WT_poserr NUMERIC
@ATTRIBUTE NH_WT_negerr NUMERIC
@ATTRIBUTE PK_O_CTS NUMERIC
@ATTRIBUTE PK_O_CTS_poserr NUMERIC
@ATTRIBUTE PK_O_CTS_negerr NUMERIC
@ATTRIBUTE RT45 NUMERIC
@ATTRIBUTE RT45_poserr NUMERIC
@ATTRIBUTE RT45_negerr NUMERIC
@ATTRIBUTE T50 NUMERIC
@ATTRIBUTE T50_poserr NUMERIC
@ATTRIBUTE T50_negerr NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE T90_poserr NUMERIC
@ATTRIBUTE T90_negerr NUMERIC
@ATTRIBUTE bat_bkg_inten NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_inten NUMERIC
@ATTRIBUTE bat_rate_signif NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE xrt_inten NUMERIC
@ATTRIBUTE xrt_signif NUMERIC
@ATTRIBUTE xrt_amplifier NUMERIC
@ATTRIBUTE xrt_tam0 NUMERIC
@ATTRIBUTE xrt_tam1 NUMERIC
@ATTRIBUTE xrt_tam2 NUMERIC
@ATTRIBUTE xrt_tam3 NUMERIC
@ATTRIBUTE fluence NUMERIC
@ATTRIBUTE peakflux NUMERIC
@ATTRIBUTE t90 NUMERIC
@ATTRIBUTE xrt_column NUMERIC
@ATTRIBUTE triggerid_str NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE v_mag_isupper {yes, no}
@ATTRIBUTE wh_mag_isupper {yes, no}

@DATA
2.20000e+00,-1.03320e+00,1.07400e-01,1.05600e-01,?,?,?,1.71000e+01,4.05520e+02,6.50030e+02,2.04150e+02,1.64629e+02,?,0.00000e+00,9.01850e-06,6.07700e-07,5.75500e-07,1.20700e-04,1.02000e-05,9.50000e-06,3.75300e-05,3.38000e-06,4.40000e-06,2.49000e-02,2.87000e-03,2.63000e-03,1.77460e+00,9.81000e-02,9.33000e-02,1.90790e+00,7.51000e-02,2.40200e-01,1.47720e+00,1.29900e-01,1.22900e-01,3.11000e+01,9.00000e-03,2.40000e-02,2.20000e-02,-2.10000e-02,5.10000e-02,3.80000e-02,3.00000e-03,3.20000e-02,2.70000e-02,5.66706e-02,1.12751e-02,1.12751e-02,7.92000e+00,3.42000e-01,3.42000e-01,1.31400e+01,1.33500e+00,1.33500e+00,6.17400e+01,8.81500e+00,8.81500e+00,3.01690e+04,1.43000e+02,4.71800e+03,1.28800e+01,1.02400e+00,5.50000e-10,5.19000e+00,2.00000e+00,3.27640e+02,2.37270e+02,2.61330e+02,2.43540e+02,3.60000e+01,3.10000e+00,3.40000e+01,1.70000e+00,319016,yes,no,no
1.50500e+00,-1.53980e+00,9.03000e-02,9.08000e-02,?,?,?,4.84800e+01,3.00420e+02,5.52020e+02,1.88930e+02,1.51040e+02,?,0.00000e+00,4.47000e-06,2.40200e-07,2.29600e-07,1.89600e-05,8.08000e-06,5.26000e-06,1.81700e-05,1.06500e-05,6.15000e-06,1.08400e-01,7.20000e-03,6.90000e-03,2.25640e+00,5.06300e-01,4.16100e-01,2.50940e+00,6.67300e-01,5.87300e-01,1.29880e+00,6.48000e-02,6.30000e-02,4.97000e+01,1.94000e-01,1.49000e-01,1.18000e-01,2.67000e-01,2.00000e-01,1.72000e-01,6.20000e-02,2.20000e-02,2.00000e-02,2.78152e-02,2.40018e-03,2.40018e-03,1.96800e+01,6.83000e-01,6.83000e-01,3.88800e+01,2.46800e+00,2.46800e+00,1.11840e+02,9.10800e+00,9.10800e+00,2.19100e+04,2.24000e+02,4.33900e+03,2.71800e+01,1.02400e+00,2.09000e-09,7.74000e+00,2.00000e+00,3.27650e+02,2.37250e+02,2.61350e+02,2.43500e+02,2.50000e+01,1.10000e+00,7.80000e+01,3.50000e-01,319036,yes,yes,yes
5.91500e-01,-1.74020e+00,1.71000e-01,1.76100e-01,?,?,?,1.93600e+01,6.70300e+01,1.13110e+02,2.29900e+01,5.12649e+01,?,0.00000e+00,8.75230e-07,9.19900e-08,2.96390e-07,2.37300e-05,7.44000e-06,6.32000e-06,1.36300e-05,5.40000e-06,7.41000e-06,?,?,?,1.96770e+00,5.75600e-01,4.90600e-01,2.45100e+00,4.96300e-01,1.52520e+00,?,?,?,1.34000e+01,-2.37000e-01,2.38000e-01,2.11000e-01,-2.13000e-01,4.36000e-01,3.30000e-01,?,?,?,1.26761e-01,1.85017e-02,1.85017e-02,5.06000e+00,3.23000e-01,3.23000e-01,9.24000e+00,5.36000e-01,5.36000e-01,1.73800e+01,5.63000e-01,5.63000e-01,2.71100e+05,?,?,1.12600e+01,8.19200e+00,?,?,?,?,?,?,?,6.36000e+00,6.90000e-01,2.25000e+01,?,106709,yes,?,?
6.60000e+00,-1.39970e+00,1.83200e-01,1.83200e-01,?,?,?,3.55200e+01,1.78960e+02,5.30860e+02,7.87900e+01,9.53236e+01,?,0.00000e+00,2.87790e-06,3.35200e-07,7.71700e-07,6.73600e-05,3.64400e-05,2.30400e-05,8.52100e-06,3.40990e-05,6.48200e-06,?,?,?,2.19420e+00,3.73100e-01,3.39900e-01,1.54680e+00,1.63450e+00,1.41210e+00,?,?,?,1.15000e+01,7.62000e-01,2.93000e-01,2.37000e-01,9.16000e-01,8.12000e-01,9.30000e-01,?,?,?,7.62596e-02,1.01059e-02,1.01059e-02,9.60000e+00,5.00000e-01,5.00000e-01,1.96800e+01,1.26500e+00,1.26500e+00,3.60000e+01,9.96000e-01,9.96000e-01,1.99157e+05,4.54000e+02,5.39680e+04,1.04400e+01,1.63840e+01,?,?,?,?,?,?,?,2.41000e+01,1.11000e+00,1.05900e+02,8.10000e+00,177533,yes,yes,?
3.53000e+00,-1.14760e+00,5.78100e-01,5.12300e-01,?,?,?,2.72700e+01,6.75400e+01,4.31000e+01,1.49500e+01,6.98122e+01,1.21749e+02,1.50727e+01,1.87330e-06,3.03300e-07,2.04500e-07,9.04800e-05,5.83000e-06,6.27000e-06,2.76600e-05,1.33200e-05,8.47000e-06,4.08000e-02,3.35000e-03,3.13000e-03,2.18640e+00,1.01300e-01,1.17500e-01,2.19970e+00,5.08100e-01,4.27400e-01,1.81430e+00,9.43000e-02,9.06000e-02,2.74000e+01,-4.80000e-02,4.10000e-02,3.60000e-02,1.13000e-01,1.62000e-01,1.37000e-01,6.40000e-02,2.90000e-02,2.60000e-02,4.91329e-02,4.57558e-03,4.57558e-03,1.56600e+01,7.76000e-01,7.76000e-01,8.69400e+01,1.58200e+00,1.58200e+00,1.09890e+02,9.90000e-01,9.90000e-01,2.68936e+05,7.75000e+02,3.77280e+04,1.38500e+01,8.19200e+00,4.06000e-09,1.11300e+01,2.00000e+00,3.27600e+02,2.37180e+02,2.61300e+02,2.43050e+02,1.71000e+01,8.70000e-01,1.39600e+02,1.50000e+00,177408,yes,yes,yes
9.37000e-01,-1.69660e+00,9.35000e-02,9.46000e-02,?,?,?,3.48000e+00,2.02310e+02,5.56410e+02,1.11910e+02,1.42501e+02,?,0.00000e+00,2.24590e-06,1.15900e-07,1.43600e-07,4.44600e-05,8.84000e-06,7.26000e-06,1.46600e-05,1.23000e-05,5.97200e-06,1.03100e-02,4.45000e-03,2.02500e-03,2.03450e+00,2.09200e-01,1.90800e-01,2.38040e+00,8.30900e-01,7.12000e-01,1.85590e+00,6.89700e-01,4.29300e-01,4.35000e+01,1.36000e-01,7.50000e-02,6.50000e-02,2.66000e-01,2.75000e-01,2.17000e-01,-3.90000e-02,2.76000e-01,2.39000e-01,5.62500e-01,5.04091e-02,5.04091e-02,1.12000e+00,4.10000e-02,4.10000e-02,1.96000e+00,1.21000e-01,1.21000e-01,5.92000e+00,3.42000e-01,3.42000e-01,3.07880e+04,9.27000e+02,8.54300e+03,8.13800e+01,1.02400e+00,1.00000e-10,5.00000e+00,2.00000e+00,3.27610e+02,2.37190e+02,2.61350e+02,2.42660e+02,1.35000e+01,8.58000e+00,5.00000e+00,1.70000e+00,229185,yes,no,no
2.69000e+00,-1.22090e+00,3.19800e-01,2.99100e-01,?,?,?,1.34400e+01,7.04700e+01,1.71300e+01,1.19700e+01,7.22692e+01,2.65610e+01,1.03699e+01,2.86910e-06,2.32200e-07,1.86800e-07,1.45600e-03,5.58000e-04,4.01000e-04,8.85800e-04,4.70200e-04,3.08100e-04,5.93500e-02,3.93000e-03,3.73000e-03,2.27630e+00,5.22500e-01,4.93100e-01,1.81070e+00,6.44000e-01,6.08400e-01,1.67690e+00,7.51000e-02,7.26000e-02,7.00000e+01,7.10000e-02,1.43000e-01,1.32000e-01,-4.20000e-02,1.78000e-01,1.63000e-01,5.90000e-02,2.10000e-02,1.90000e-02,1.09368e-01,7.05961e-03,7.05961e-03,6.16000e+00,1.52000e-01,1.52000e-01,4.56400e+01,4.39000e-01,4.39000e-01,5.95000e+01,5.12000e-01,5.12000e-01,3.03060e+04,2.13000e+02,2.82100e+03,1.93600e+01,5.12000e-01,1.21000e-08,1.53200e+01,2.00000e+00,3.27620e+02,2.37230e+02,2.61320e+02,2.43280e+02,2.40000e+01,3.50000e+00,6.00000e+01,7.90000e+00,313087,yes,no,no
7.67000e-01,-1.74040e+00,9.11000e-02,9.24000e-02,?,?,?,8.55000e+00,1.22140e+02,5.53650e+02,4.65900e+01,1.13124e+02,?,0.00000e+00,1.85910e-06,9.22000e-08,8.80000e-08,5.55400e-05,4.52000e-06,4.16000e-06,4.77200e-05,4.34000e-06,3.95000e-06,6.75700e-02,7.83000e-03,7.16000e-03,2.04460e+00,9.41000e-02,8.98000e-02,2.07700e+00,1.05300e-01,9.98000e-02,2.35460e+00,2.14500e-01,1.94300e-01,5.27000e+01,1.48000e-01,2.70000e-02,2.40000e-02,1.61000e-01,3.00000e-02,2.80000e-02,4.00000e-02,2.90000e-02,2.50000e-02,1.44551e-01,1.62335e-02,1.62335e-02,3.42000e+00,8.40000e-02,8.40000e-02,5.40000e+00,2.56000e-01,2.56000e-01,1.62000e+01,7.80000e-01,7.80000e-01,3.73100e+04,2.62000e+02,3.36200e+03,1.93300e+01,5.12000e-01,1.26000e-09,7.81000e+00,2.00000e+00,3.27630e+02,2.37280e+02,2.61460e+02,2.43470e+02,1.20000e+01,2.60000e+00,1.62000e+01,4.60000e-01,310613,yes,no,no
1.51000e+00,?,?,?,-2.38060e+00,4.05100e-01,4.78100e-01,9.60000e+00,2.01900e+01,6.58000e+00,1.91900e+01,2.78861e+01,0.00000e+00,?,4.41030e-07,9.19200e-08,7.68500e-08,5.15400e-05,2.03000e-05,1.43100e-05,?,?,?,4.67700e-02,6.89000e-03,6.15000e-03,2.23450e+00,5.14300e-01,4.83000e-01,?,?,?,2.01070e+00,2.12100e-01,1.94900e-01,1.34000e+01,8.10000e-02,1.37000e-01,1.27000e-01,?,?,?,2.00000e-03,4.60000e-02,3.90000e-02,9.87952e-02,2.78313e-02,2.78313e-02,4.00000e+00,3.58000e-01,3.58000e-01,5.49000e+01,1.84690e+01,1.84690e+01,6.61000e+01,9.79000e-01,9.79000e-01,3.46090e+04,1.87000e+02,5.20600e+03,1.09500e+01,1.02400e+00,2.03000e-09,8.71000e+00,2.00000e+00,3.27670e+02,2.37230e+02,2.61450e+02,2.43460e+02,3.40000e+00,9.00000e-01,6.10000e+01,1.23000e-01,308041,yes,no,no
5.29500e-01,-1.35290e+00,1.01810e+00,6.38800e-01,?,?,?,5.70000e+00,2.72500e+01,1.13700e+01,1.57300e+01,3.53059e+01,0.00000e+00,?,5.90870e-07,6.35000e-08,4.98300e-08,5.50600e-05,8.09000e-06,6.97000e-06,3.43100e-05,6.33000e-06,5.26000e-06,1.20100e-01,2.04000e-02,1.72000e-02,2.11880e+00,1.57000e-01,1.46500e-01,2.08690e+00,1.99300e-01,1.82800e-01,2.90810e+00,2.72300e-01,2.43500e-01,1.96000e+01,2.67000e-01,5.40000e-02,4.90000e-02,2.49000e-01,6.50000e-02,5.80000e-02,3.20000e-01,6.50000e-02,5.80000e-02,3.07123e-01,8.63090e-02,8.63090e-02,1.60000e+00,8.20000e-02,8.20000e-02,2.70000e+00,1.78000e-01,1.78000e-01,5.55000e+00,2.63000e-01,2.63000e-01,3.87050e+04,2.21000e+02,5.89600e+03,1.47300e+01,1.02400e+00,1.53000e-09,8.06000e+00,2.00000e+00,3.27660e+02,2.37200e+02,2.61270e+02,2.43510e+02,7.10000e+00,2.60000e+00,1.00000e+01,6.60000e+00,330856,yes,no,no
