"alpha.hat" "prob.high" "prob.low" "triggerids"
"1" 0.637037037037037 0.0267 0.9733 "505054"
"2" 0.933333333333333 0.0016 0.9984 "451901"
"3" 0.562962962962963 0.0439 0.9561 "458918"
"4" 0.703703703703704 0.0151 0.9849 "431605"
"5" 0.888888888888889 0.0035 0.9965 "445414"
"6" 0.888888888888889 0.0034 0.9966 "457330"
"7" 0.422222222222222 0.0755 0.9245 "433065"
"8" 0.607407407407407 0.0304 0.9696 "440635"
"9" 0.555555555555556 0.0455 0.9545 "458059"
"10" 0.933333333333333 0.0017 0.9983 "452685"
"11" 0.562962962962963 0.0407 0.9593 "430172"
"12" 0.933333333333333 0.0022 0.9978 "458448"
"13" 0.933333333333333 0.0016 0.9984 "431764"
"14" 0.918518518518519 0.0027 0.9973 "433509"
"15" 0.866666666666667 0.0051 0.9949 "458521"
"16" 0.318518518518519 0.1193 0.8807 "444643"
"17" 0.392592592592593 0.0923 0.9077 "318832"
"18" 0.00740740740740741 0.4996 0.5004 "173904"
"19" 0.325925925925926 0.1136 0.8864 "420367"
"20" 0.651851851851852 0.023 0.977 "220020"
"21" 0.562962962962963 0.0396 0.9604 "273180"
"22" 0.207407407407407 0.1855 0.8145 "317662"
"23" 0.496296296296296 0.0533 0.9467 "424031"
"24" 0.4 0.0827 0.9173 "424716"
"25" 0.318518518518519 0.1194 0.8806 "106106"
"26" 0.177777777777778 0.2098 0.7902 "106107"
"27" 0.00740740740740741 0.5734 0.4266 "419932"
"28" 0.444444444444444 0.0729 0.9271 "147788"
"29" 0.325925925925926 0.1165 0.8835 "362633"
"30" 0.348148148148148 0.1075 0.8925 "296856"
"31" 0.266666666666667 0.1692 0.8308 "416076"
"32" 0.2 0.1861 0.8139 "416115"
"33" 0.933333333333333 0.0019 0.9981 "276321"
"34" 0.377777777777778 0.0957 0.9043 "158855"
"35" 0.2 0.1866 0.8134 "158593"
"36" 0.659259259259259 0.0223 0.9777 "145675"
"37" 0.00740740740740741 0.5663 0.4337 "157870"
"38" 0.037037037037037 0.4042 0.5958 "145754"
"39" 0.688888888888889 0.017 0.983 "354299"
"40" 0.755555555555556 0.0109 0.9891 "412081"
"41" 0.718518518518519 0.0135 0.9865 "310785"
"42" 0.718518518518519 0.0136 0.9864 "311159"
"43" 0.481481481481481 0.0605 0.9395 "421124"
"44" 0.637037037037037 0.025 0.975 "374598"
"45" 0.303703703703704 0.1478 0.8522 "374875"
"46" 0.318518518518519 0.1248 0.8752 "203755"
"47" 0.525925925925926 0.0504 0.9496 "361831"
"48" 0.637037037037037 0.0271 0.9729 "361830"
"49" 0.296296296296296 0.1502 0.8498 "180241"
"50" 0.6 0.0328 0.9672 "352420"
"51" 0.496296296296296 0.0552 0.9448 "316910"
"52" 0.185185185185185 0.1981 0.8019 "411248"
"53" 0 0.6731 0.3269 "414905"
"54" 0.451851851851852 0.0666 0.9334 "323542"
"55" 0.792592592592593 0.0072 0.9928 "304379"
"56" 0.392592592592593 0.092 0.908 "303105"
"57" 0.792592592592593 0.0073 0.9927 "338338"
"58" 0.814814814814815 0.0066 0.9934 "337889"
"59" 0.185185185185185 0.1964 0.8036 "324907"
"60" 0.00740740740740741 0.6392 0.3608 "148833"
"61" 0.4 0.085 0.915 "234516"
"62" 0.303703703703704 0.1472 0.8528 "275119"
"63" 0.874074074074074 0.0049 0.9951 "175942"
"64" 0.696296296296296 0.0159 0.9841 "207399"
"65" 0.562962962962963 0.0393 0.9607 "315080"
"66" 0.755555555555556 0.0105 0.9895 "303631"
"67" 0.696296296296296 0.0165 0.9835 "200638"
"68" 0.4 0.0877 0.9123 "349592"
"69" 0.859259259259259 0.0055 0.9945 "279935"
"70" 0.62962962962963 0.0282 0.9718 "174738"
"71" 0.214814814814815 0.1794 0.8206 "230662"
"72" 0.577777777777778 0.0351 0.9649 "230702"
"73" 0.977777777777778 4e-04 0.9996 "307931"
"74" 0.0296296296296296 0.4226 0.5774 "307604"
"75" 0.00740740740740741 0.4724 0.5276 "306858"
"76" 0.562962962962963 0.0384 0.9616 "345777"
"77" 0.748148148148148 0.0116 0.9884 "261299"
"78" 0.0518518518518519 0.3574 0.6426 "261664"
"79" 0.348148148148148 0.1062 0.8938 "261880"
"80" 0.496296296296296 0.0577 0.9423 "382399"
"81" 0.918518518518519 0.0023 0.9977 "302506"
"82" 0.748148148148148 0.0117 0.9883 "295779"
"83" 0.807407407407407 0.0069 0.9931 "318101"
"84" 0.837037037037037 0.0059 0.9941 "146372"
"85" 0.0518518518518519 0.3683 0.6317 "221627"
"86" 0.711111111111111 0.0143 0.9857 "115135"
"87" 0.496296296296296 0.0566 0.9434 "222683"
"88" 0.185185185185185 0.2036 0.7964 "115214"
"89" 0.659259259259259 0.0218 0.9782 "424733"
"90" 0.681481481481481 0.0178 0.9822 "207364"
"91" 0.874074074074074 0.0042 0.9958 "356890"
"92" 0.562962962962963 0.0426 0.9574 "176818"
"93" 0.940740740740741 0.0011 0.9989 "176918"
"94" 0.755555555555556 0.0111 0.9889 "339696"
"95" 0.562962962962963 0.0396 0.9604 "339852"
