"alpha_hats" "triggerids"
"1" 0.805172048 "319016"
"2" 0.253650245 "319036"
"3" 0.839050592 "308041"
"4" 0.762454984 "317508"
"5" 0.1600357394 "238108"
"6" 0.853265427 "214805"
"7" 0.416891314 "228316"
"8" 0.262998659 "228581"
"9" 0.646385144 "296805"
"10" 0.725648701 "416103"
"11" 0.2503247671 "416135"
"12" 0.521601267 "279592"
"13" 0.813314273 "338895"
"14" 0.59877299 "326115"
"15" 0.2859124125 "352648"
"16" 0.088489676 "352190"
"17" 0.51710598 "178750"
"18" 0.767573035 "114753"
"19" 0.66741241 "219101"
"20" 0.449123668 "359711"
"21" 0.523234954 "302888"
"22" 0.387108356 "342121"
"23" 0.812387684 "337914"
"24" 0.07555720262 "421814"
"25" 0.23677868 "334877"
"26" 0.278463791 "263361"
"27" 0.431580604 "316534"
"28" 0.601719718 "324895"
"29" 0.00357894048 "176453"
"30" 0.368585379 "375246"
"31" 0.1288582151 "223217"
"32" 0.435992668 "295301"
"33" 0.0943308962 "148646"
"34" 0.649400243 "148522"
"35" 0.719258094 "336489"
"36" 0.692430747 "275087"
"37" 0.02461275797 "117504"
"38" 0.2054621322 "177533"
"39" 0.1541622004 "177408"
"40" 0.721008898 "310613"
"41" 0.786001534 "330856"
"42" 0.248520469 "280706"
"43" 0.346528777 "331093"
"44" 0.714405529 "319584"
"45" 0.06656003752 "148225"
"46" 0.51526836 "419797"
"47" 0.789069478 "370846"
"48" 0.07101907185 "414592"
"49" 0.853991494 "239899"
"50" 0.852726103 "240766"
"51" 0.613154255 "357512"
"52" 0.46414298 "324561"
"53" 0.585233174 "205851"
"54" 0.04906803281 "353540"
"55" 0.1050168208 "192059"
"56" 0.319050775 "211117"
"57" 0.523291099 "359530"
"58" 0.2338654037 "217805"
"59" 0.1407044381 "217704"
"60" 0.800907132 "305288"
"61" 0.615425409 "299787"
"62" 0.48338666 "271019"
"63" 0.793767883 "156467"
"64" 0.429416809 "316204"
"65" 0.85555007 "232683"
"66" 0.391688749 "323898"
"67" 0.226139918 "295670"
"68" 0.37211857 "228006"
"69" 0.771472495 "313087"
"70" 0.252837401 "153514"
"71" 0.476177932 "154112"
"72" 0.829782952 "309111"
"73" 0.587795327 "309096"
"74" 0.789802728 "130088"
"75" 0.702938805 "209755"
"76" 0.827724326 "312047"
"77" 0.42421401 "180455"
"78" 0.73640892 "211957"
"79" 0.752353601 "151207"
"80" 0.1981278548 "231362"
"81" 0.680573933 "231231"
"82" 0.60861844 "163136"
"83" 0.11038454931 "163170"
"84" 0.1156136526 "301981"
"85" 0.2051569848 "152113"
"86" 0.389425267 "276205"
"87" 0.835627126 "377179"
"88" 0.444064219 "370791"
"89" 0.509751462 "213823"
"90" 0.298917346 "286809"
"91" 0.786477121 "373172"
"92" 0.526877374 "420398"
"93" 0.591770824 "287364"
"94" 0.1320661168 "412982"
"95" 0.430452626 "106709"
"96" 0.835649184 "229185"
"97" 0.1157507281 "213630"
"98" 0.272321167 "252593"
"99" 0.646531045 "252588"
"100" 0.465320538 "285654"
"101" 0.247365754 "297114"
"102" 0.357474097 "111063"
"103" 0.590387864 "111622"
"104" 0.686380465 "111529"
"105" 0.361350579 "313116"
"106" 0.856041974 "313299"
"107" 0.855839163 "313417"
"108" 0.857871197 "355083"
"109" 0.383354017 "332851"
"110" 0.04673949339 "255445"
"111" 0.0276554251 "209352"
"112" 0.852860447 "278854"
"113" 0.1513040594 "332931"
"114" 0.460976784 "278693"
"115" 0.1201207125 "180977"
"116" 0.507313099 "238174"
"117" 0.297739812 "191157"
"118" 0.352600651 "359951"
"119" 0.582386 "335105"
"120" 0.175690656 "259714"
"121" 0.809038627 "349510"
"122" 0.2225204629 "282003"
"123" 0.489434979 "374210"
"124" 0.727987419 "221755"
"125" 0.780435603 "373458"
"126" 0.231638673 "150314"
"127" 0.841823208 "234905"
"128" 0.845789206 "306757"
"129" 0.703381169 "306778"
"130" 0.243539877 "208169"
"131" 0.852602956 "425151"
"132" 0.08457621546 "350184"
"133" 0.829786475 "350311"
"134" 0.789013521 "378559"
"135" 0.646812158 "284856"
