% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Mon Sep 19 00:52:24 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE web_alpha NUMERIC
@ATTRIBUTE web_Bayes_Ep_keV NUMERIC
@ATTRIBUTE web_Energy_Fluence_15_350_keV_erg_cme2 NUMERIC
@ATTRIBUTE web_S_N NUMERIC
@ATTRIBUTE web_N_H_excess_10e22_cme_2_2 NUMERIC
@ATTRIBUTE web_T_90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
?,-1.735e+00,6.065e+01,2.063e-06,1.800e+01,2.580e-01,1.736e+02,7.060e+00,3.750e+02,4.096e+00,2.666e-01,yes,no,318832
?,-1.417e+00,1.352e+02,2.110e-06,1.400e+01,4.250e-01,5.875e+01,7.450e+00,2.392e+03,1.920e+02,1.728e-01,no,no,173904
?,-1.866e+00,5.488e+01,2.132e-06,2.430e+01,1.160e-01,1.103e+02,1.047e+01,2.020e+03,6.400e+01,2.634e-01,no,no,420367
?,-1.925e+00,5.461e+01,2.065e-06,4.720e+01,3.690e-01,5.700e+01,1.295e+01,2.590e+02,5.120e-01,1.081e-01,yes,no,220020
?,3.403e+00,3.329e+01,1.919e-07,1.110e+01,2.200e-02,6.790e+00,1.025e+01,3.080e+02,1.024e+00,9.407e-02,yes,yes,273180
?,4.998e+00,7.408e+01,5.219e-07,1.400e+01,5.700e-01,2.489e+01,8.420e+00,2.500e+02,1.024e+00,1.549e-01,yes,no,317662
?,-1.120e+00,5.474e+02,1.278e-05,4.190e+01,1.000e-01,1.917e+02,1.064e+01,2.380e+02,1.024e+00,9.388e-02,yes,no,424031
?,-1.852e+00,5.488e+01,3.552e-06,2.100e+01,7.000e-02,1.795e+02,1.439e+01,2.921e+03,6.400e+01,2.575e-01,no,no,424716
?,-1.289e+00,4.142e+02,1.340e-06,1.020e+01,?,6.650e+01,9.000e+00,6.940e+02,8.192e+00,9.807e-02,yes,no,106106
?,?,3.012e+01,2.857e-07,1.440e+01,5.700e-02,8.500e+00,8.000e+00,3.000e+02,2.048e+00,1.061e-01,yes,no,106107
?,-1.269e+00,1.649e+02,9.392e-07,8.800e+00,1.170e-01,5.044e+01,7.370e+00,1.522e+03,6.400e+01,1.561e-01,no,no,419932
?,-1.080e+00,4.027e+02,5.404e-06,1.430e+01,2.200e-02,1.915e+02,8.320e+00,3.850e+02,8.192e+00,1.187e-01,yes,yes,147788
?,-7.908e-01,6.376e+01,4.940e-06,3.330e+01,4.390e-01,1.511e+02,6.620e+00,1.270e+02,1.024e+00,1.490e-01,yes,no,362633
?,-1.674e+00,7.408e+01,6.793e-07,8.300e+00,1.570e-01,5.662e+01,7.670e+00,1.679e+03,6.400e+01,1.861e-01,no,yes,296856
?,-1.535e+00,1.284e+02,1.597e-06,1.490e+01,-3.200e-02,1.099e+01,8.090e+00,2.030e+02,2.048e+00,9.589e-02,yes,no,416076
?,-1.544e+00,1.000e+02,3.230e-07,1.130e+01,2.280e-01,1.001e+01,7.190e+00,3.720e+02,4.096e+00,1.106e-01,yes,no,416115
?,-9.983e-01,1.579e+02,2.420e-05,6.370e+01,?,9.591e+01,1.094e+01,3.310e+02,2.048e+00,7.891e-02,yes,yes,276321
?,-7.984e-01,2.664e+02,1.025e-05,6.210e+01,3.120e-01,4.510e+01,9.650e+00,2.200e+02,1.024e+00,9.546e-02,yes,no,158855
?,-1.417e+00,2.690e+02,2.310e-06,1.730e+01,5.480e-01,2.646e+01,7.250e+00,2.540e+02,4.096e+00,9.850e-02,yes,no,158593
?,-1.457e+00,2.354e+02,9.363e-06,7.280e+01,2.270e-01,1.247e+02,1.132e+01,2.150e+02,5.120e-01,9.013e-02,yes,no,145675
?,-1.116e+00,4.274e+01,9.911e-07,2.110e+01,1.590e-01,5.590e+01,7.290e+00,1.401e+03,6.400e+01,2.057e-01,no,no,157870
?,-1.343e+00,1.655e+02,9.391e-06,1.430e+01,2.330e-01,1.329e+02,7.040e+00,2.660e+02,1.216e+01,1.680e-01,yes,no,145754
?,-1.193e+00,3.004e+02,2.573e-07,1.130e+01,5.100e-02,2.460e+00,6.440e+00,1.170e+02,5.120e-01,4.310e-02,yes,no,354299
?,-1.020e+00,2.865e+01,1.001e-06,1.630e+01,-4.000e-02,1.687e+02,1.449e+01,3.710e+02,5.120e-01,4.077e-02,yes,no,412081
?,-1.942e+00,4.966e+01,2.747e-06,3.450e+01,-8.400e-02,1.789e+02,8.790e+00,7.500e+01,6.400e-02,1.914e-01,yes,no,310785
?,-1.742e+00,6.703e+01,1.967e-06,1.930e+01,-2.800e-02,1.521e+02,7.180e+00,1.476e+03,6.400e+01,2.611e-01,no,yes,311159
?,-1.786e+00,6.703e+01,3.358e-06,4.560e+01,6.910e-01,9.807e+01,1.286e+01,3.990e+02,1.024e+00,1.480e-01,yes,no,421124
?,-1.126e+00,3.669e+02,1.206e-06,2.330e+01,1.420e-01,7.070e+00,1.301e+01,3.620e+02,1.024e+00,5.625e-02,yes,no,374598
?,-1.782e+00,5.488e+01,1.083e-06,1.150e+01,5.600e-02,1.064e+02,7.720e+00,1.494e+03,6.400e+01,2.678e-01,no,no,374875
?,-4.406e-01,2.474e+02,2.226e-06,2.220e+01,-1.900e-01,2.640e+01,9.600e+00,2.240e+02,1.024e+00,1.019e-01,yes,no,203755
