% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Mon Jul 18 22:35:52 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE FL NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
?,-1.73520e+00,4.56945e+01,2.06320e-06,1.80000e+01,?,1.73600e+02,?,?,?,2.66606e-01,?,no,318832
?,-1.41740e+00,7.22069e+01,?,1.40000e+01,?,5.87500e+01,7.45000e+00,2.39200e+03,1.92000e+02,1.72800e-01,no,no,173904
?,-1.86600e+00,4.16938e+01,2.13170e-06,2.43000e+01,?,1.10250e+02,1.04700e+01,2.02000e+03,6.40000e+01,2.63434e-01,no,no,420367
?,-1.92470e+00,?,2.06470e-06,4.72000e+01,3.69000e-01,5.70000e+01,1.29500e+01,2.59000e+02,5.12000e-01,1.08068e-01,yes,no,220020
?,?,3.08632e+01,2.01750e-07,1.11000e+01,?,6.79000e+00,1.02500e+01,3.08000e+02,1.02400e+00,9.40738e-02,yes,yes,273180
?,?,3.52074e+01,5.21870e-07,1.40000e+01,?,2.48900e+01,?,?,?,1.54860e-01,?,no,317662
?,-1.12010e+00,3.28632e+02,1.27750e-05,4.19000e+01,?,1.91730e+02,1.06400e+01,2.38000e+02,1.02400e+00,9.38783e-02,yes,no,424031
?,-1.85160e+00,4.25537e+01,3.55230e-06,2.10000e+01,?,1.79520e+02,1.43900e+01,2.92100e+03,6.40000e+01,2.57531e-01,no,no,424716
?,-1.28880e+00,1.99982e+02,1.34010e-06,1.02000e+01,?,6.65000e+01,9.00000e+00,?,8.19200e+00,9.80746e-02,yes,no,106106
?,?,4.15293e+01,?,1.44000e+01,?,8.50000e+00,8.00000e+00,?,2.04800e+00,1.06089e-01,yes,no,106107
?,-1.26910e+00,5.75411e+01,9.39180e-07,8.80000e+00,?,5.04400e+01,7.37000e+00,1.52200e+03,6.40000e+01,1.56143e-01,no,no,419932
?,-1.08000e+00,1.31699e+02,5.40380e-06,1.43000e+01,?,1.91490e+02,?,?,?,1.18666e-01,?,yes,147788
?,-7.90800e-01,6.12835e+01,4.94040e-06,3.33000e+01,4.39000e-01,1.51130e+02,6.62000e+00,1.27000e+02,1.02400e+00,1.49041e-01,yes,no,362633
?,-1.67380e+00,?,6.79340e-07,8.30000e+00,1.57000e-01,5.66200e+01,7.67000e+00,1.67900e+03,6.40000e+01,1.86130e-01,no,yes,296856
?,-1.53540e+00,7.90659e+01,1.59730e-06,1.49000e+01,-3.20000e-02,1.09900e+01,8.09000e+00,2.03000e+02,2.04800e+00,9.58853e-02,yes,no,416076
?,-1.54410e+00,5.95911e+01,3.23010e-07,1.13000e+01,?,1.00100e+01,7.19000e+00,3.72000e+02,4.09600e+00,1.10551e-01,yes,no,416115
?,-9.98300e-01,?,2.41970e-05,6.37000e+01,?,9.59100e+01,1.09400e+01,3.31000e+02,2.04800e+00,7.89108e-02,yes,yes,276321
?,-7.98400e-01,?,1.02480e-05,6.21000e+01,3.12000e-01,4.51000e+01,9.65000e+00,2.20000e+02,1.02400e+00,9.54588e-02,yes,no,158855
?,-1.41730e+00,1.35678e+02,2.30980e-06,1.73000e+01,?,2.64600e+01,7.25000e+00,2.54000e+02,4.09600e+00,9.84995e-02,yes,no,158593
?,-1.45740e+00,1.41263e+02,9.36270e-06,7.28000e+01,2.27000e-01,1.24650e+02,1.13200e+01,2.15000e+02,5.12000e-01,9.01288e-02,yes,no,145675
?,-1.20670e+00,?,1.04800e-06,2.11000e+01,?,5.59000e+01,7.29000e+00,1.40100e+03,6.40000e+01,2.05725e-01,no,no,157870
?,-1.34280e+00,8.50110e+01,?,1.43000e+01,2.33000e-01,1.32940e+02,7.04000e+00,2.66000e+02,1.21600e+01,1.68021e-01,yes,no,145754
?,-1.19330e+00,8.42531e+01,2.57330e-07,1.13000e+01,?,2.46000e+00,6.44000e+00,1.17000e+02,5.12000e-01,4.30991e-02,yes,no,354299
?,-1.02040e+00,3.70825e+01,1.00080e-06,1.63000e+01,-4.00000e-02,1.68700e+02,1.44900e+01,3.71000e+02,5.12000e-01,4.07738e-02,yes,no,412081
?,-1.94200e+00,?,2.74710e-06,3.45000e+01,-8.40000e-02,1.78920e+02,8.79000e+00,7.50000e+01,6.40000e-02,1.91374e-01,yes,no,310785
?,-1.74220e+00,5.53888e+01,1.96730e-06,1.93000e+01,-2.80000e-02,1.52100e+02,7.18000e+00,1.47600e+03,6.40000e+01,2.61112e-01,no,yes,311159
?,-1.78570e+00,5.79832e+01,3.35800e-06,4.56000e+01,?,9.80700e+01,1.28600e+01,3.99000e+02,1.02400e+00,1.48048e-01,yes,no,421124
?,-1.12610e+00,1.44888e+02,1.20590e-06,2.33000e+01,?,7.07000e+00,1.30100e+01,3.62000e+02,1.02400e+00,5.62474e-02,yes,no,374598
?,-1.78240e+00,3.84764e+01,1.08310e-06,1.15000e+01,?,1.06400e+02,7.72000e+00,1.49400e+03,6.40000e+01,2.67807e-01,no,no,374875
?,-4.40600e-01,?,2.22630e-06,2.22000e+01,-1.90000e-01,2.64000e+01,9.60000e+00,2.24000e+02,1.02400e+00,1.01904e-01,yes,no,203755
?,-1.58430e+00,1.32479e+02,2.12120e-05,4.26000e+01,?,5.82000e+01,7.98000e+00,2.39000e+02,4.09600e+00,9.27617e-02,yes,no,361831
?,-1.99790e+00,?,4.10570e-06,5.01000e+01,-2.00000e-02,1.62480e+02,1.08300e+01,2.04300e+03,6.40000e+01,9.43597e-02,no,no,361830
?,-7.38500e-01,?,3.38890e-06,4.32000e+01,?,4.06800e+01,8.49000e+00,3.17000e+02,2.04800e+00,1.90269e-01,yes,yes,180241
?,-1.45440e+00,6.81400e+01,1.04660e-06,2.41000e+01,4.91000e-01,4.58000e+01,9.03000e+00,1.20000e+02,2.56000e-01,9.13275e-02,yes,no,352420
