% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Wed Mar  2 23:00:48 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE B NUMERIC
@ATTRIBUTE CHI2 NUMERIC
@ATTRIBUTE DT_MAX_SNR NUMERIC
@ATTRIBUTE EP NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE FL NUMERIC
@ATTRIBUTE FLX_PC NUMERIC
@ATTRIBUTE FLX_PC_LATE NUMERIC
@ATTRIBUTE FLX_WT NUMERIC
@ATTRIBUTE GAM_PC NUMERIC
@ATTRIBUTE GAM_PC_LATE NUMERIC
@ATTRIBUTE GAM_WT NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_GAL NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE NH_PC_LATE NUMERIC
@ATTRIBUTE NH_WT NUMERIC
@ATTRIBUTE NU NUMERIC
@ATTRIBUTE PK_O_CTS NUMERIC
@ATTRIBUTE RT45 NUMERIC
@ATTRIBUTE T50 NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_bkg_inten NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_inten NUMERIC
@ATTRIBUTE bat_rate_signif NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE xrt_inten NUMERIC
@ATTRIBUTE xrt_signif NUMERIC
@ATTRIBUTE fluence NUMERIC
@ATTRIBUTE peakflux NUMERIC
@ATTRIBUTE xrt_column NUMERIC
@ATTRIBUTE gal_EB_V NUMERIC
@ATTRIBUTE uvot_time_delta NUMERIC
@ATTRIBUTE DT_MAX_SNR NUMERIC
@ATTRIBUTE FL_over_SQRT_T90 NUMERIC
@ATTRIBUTE PROB_Z_GT_5 NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE PROB_Z_GT_3 NUMERIC
@ATTRIBUTE PROB_Z_GT_2 NUMERIC
@ATTRIBUTE PROB_Z_GT_1 NUMERIC
@ATTRIBUTE PROB_Z_LT_1 NUMERIC
@ATTRIBUTE PROB_Z_LT_2 NUMERIC
@ATTRIBUTE PROB_Z_LT_3 NUMERIC
@ATTRIBUTE PROB_Z_LT_4 NUMERIC
@ATTRIBUTE PROB_Z_LT_5 NUMERIC
@ATTRIBUTE MOST_PROB_Z NUMERIC
@ATTRIBUTE Z_LT_1_OVER_Z_GT_4 NUMERIC
@ATTRIBUTE CHI2_PC {yes, no}
@ATTRIBUTE CHI2_WT {yes, no}
@ATTRIBUTE CHI2_PC_LATE {yes, no}
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}

@DATA
2.20000e+00,-1.03320e+00,?,4.12000e+01,1.71000e+01,?,1.64629e+02,9.01850e-06,1.20700e-04,3.75300e-05,2.49000e-02,1.77460e+00,1.90790e+00,1.47720e+00,3.11000e+01,1.63000e-02,?,-2.10000e-02,?,5.60000e+01,5.66706e-02,7.92000e+00,1.31400e+01,6.17400e+01,3.01690e+04,7.49000e+00,1.43000e+02,4.71800e+03,1.28800e+01,1.02400e+00,5.50000e-10,5.19000e+00,3.60000e+01,3.10000e+00,1.70000e+00,1.60000e-02,9.10000e+01,1.71000e+01,1.14776e-06,2.48600e-02,8.17582e-02,2.14990e-01,4.54811e-01,8.37496e-01,1.62504e-01,5.45189e-01,7.85010e-01,9.18242e-01,9.75140e-01,1.10100e+00,1.98762e+00,79.74/67,43.55/39,18.85/20,yes,yes
1.50500e+00,-1.53980e+00,?,4.61100e+01,4.84800e+01,?,1.51040e+02,4.47000e-06,?,?,1.08400e-01,2.25640e+00,2.50940e+00,1.29880e+00,4.97000e+01,3.45000e-02,?,?,?,5.60000e+01,2.78152e-02,1.96800e+01,3.88800e+01,1.11840e+02,2.19100e+04,8.81000e+00,2.24000e+02,4.33900e+03,2.71800e+01,1.02400e+00,2.09000e-09,7.74000e+00,2.50000e+01,1.10000e+00,3.50000e-01,4.30000e-02,7.40000e+01,4.84800e+01,4.22677e-07,5.80270e-02,1.58883e-01,3.51322e-01,6.14640e-01,9.10566e-01,8.94343e-02,3.85360e-01,6.48678e-01,8.41117e-01,9.41973e-01,1.60100e+00,5.62893e-01,8.38/10,151.28/140,14.18/17,yes,no
1.51000e+00,?,-2.38060e+00,6.21600e+01,9.60000e+00,?,2.78861e+01,4.41030e-07,?,?,4.67700e-02,2.23450e+00,?,2.01070e+00,1.34000e+01,1.24000e-02,?,?,?,5.60000e+01,9.87952e-02,4.00000e+00,?,6.61000e+01,3.46090e+04,7.58000e+00,1.87000e+02,5.20600e+03,1.09500e+01,1.02400e+00,2.03000e-09,8.71000e+00,3.40000e+00,9.00000e-01,1.23000e-01,1.70000e-02,6.30000e+01,9.60000e+00,5.42460e-08,3.31163e-02,8.62009e-02,1.92136e-01,3.71174e-01,7.29067e-01,2.70933e-01,6.28826e-01,8.07864e-01,9.13799e-01,9.66884e-01,1.00100e+00,3.14304e+00,24.32/17,39.72/27,na,yes,yes
2.60200e+00,-9.50700e-01,?,5.71600e+01,1.78200e+01,?,2.83284e+02,3.41090e-05,1.72600e-04,1.21800e-04,2.23100e-01,1.96230e+00,2.02020e+00,1.85730e+00,3.72000e+01,6.94000e-02,?,?,5.70000e-02,5.60000e+01,1.42515e-01,4.51000e+00,6.82000e+00,2.99200e+01,3.29320e+04,1.02400e+01,2.71000e+02,1.40910e+04,1.42330e+02,1.02400e+00,5.00000e-10,3.00000e+02,1.20000e+02,2.09000e+01,1.10000e+00,1.00000e-01,1.18000e+02,1.78200e+01,6.23574e-06,9.29391e-03,3.66282e-02,1.17212e-01,3.14742e-01,7.57605e-01,2.42395e-01,6.85258e-01,8.82788e-01,9.63372e-01,9.90706e-01,1.00100e+00,6.61771e+00,153.76/157,666.27/527,95.21/108,yes,yes
7.57000e-01,-1.55580e+00,?,4.80200e+01,3.93600e+01,?,7.66923e+01,2.01450e-06,8.91900e-06,?,1.92500e-01,1.80610e+00,1.70270e+00,3.06560e+00,2.41000e+01,4.26000e-02,-4.70000e-02,?,9.10000e-02,5.50000e+01,4.00200e-02,1.48800e+01,2.35200e+01,4.70400e+01,1.08289e+05,7.33000e+00,2.86000e+02,1.05690e+04,8.00000e+00,2.04800e+00,5.22000e-09,1.29600e+01,1.06000e+01,5.30000e-01,1.60000e+00,9.00000e-02,7.10000e+01,3.93600e+01,2.93720e-07,7.56463e-02,1.94119e-01,4.02664e-01,6.61859e-01,9.25883e-01,7.41172e-02,3.38141e-01,5.97336e-01,8.05881e-01,9.24354e-01,1.80100e+00,3.81812e-01,23.45/23,250.67/169,12.84/8,yes,no
1.25000e-01,-1.90250e+00,?,6.45600e+01,7.60000e+01,?,2.08241e+02,2.82190e-05,2.67900e-05,2.43000e-05,4.09700e-01,1.88930e+00,1.90510e+00,1.77860e+00,1.91900e+02,1.87000e-02,?,?,2.10000e-02,5.50000e+01,3.04465e-02,2.72000e+01,4.40000e+01,1.08800e+02,2.86540e+04,1.84500e+01,5.63000e+02,7.44400e+03,6.83800e+01,1.02400e+00,6.00000e-08,8.88000e+00,2.04000e+02,1.15000e+01,1.30000e+00,2.20000e-02,1.01000e+02,7.60000e+01,2.70537e-06,2.00604e-02,6.39650e-02,1.70110e-01,3.83612e-01,8.06044e-01,1.93956e-01,6.16388e-01,8.29890e-01,9.36035e-01,9.79940e-01,1.00100e+00,3.03223e+00,134.12/119,450.48/412,132.34/110,yes,yes
2.58000e-01,-1.64030e+00,?,4.62900e+01,5.40000e-01,?,8.50863e+01,5.45250e-07,?,?,2.68200e-01,1.52830e+00,1.39920e+00,1.74940e+00,2.08000e+01,1.40000e-01,?,?,3.22000e-01,5.50000e+01,2.74506e+00,2.40000e-01,1.02000e+00,2.50000e+00,3.73900e+04,1.07700e+01,1.08000e+02,8.30000e+02,3.28300e+01,6.40000e-02,?,6.16000e+00,9.98000e+00,3.26000e+00,5.70000e+00,6.12000e-01,?,5.40000e-01,3.44846e-07,1.26742e-02,4.63950e-02,1.36174e-01,3.30306e-01,7.42071e-01,2.57929e-01,6.69694e-01,8.63826e-01,9.53605e-01,9.87326e-01,1.00100e+00,5.55942e+00,11.44/13,300.22/289,8.70/9,yes,no
3.68600e+00,-1.96590e+00,?,5.50800e+01,2.44800e+01,?,?,3.55750e-06,4.50300e-05,2.69300e-05,?,1.71820e+00,1.43710e+00,2.51960e+00,3.05000e+01,9.81000e-02,?,?,?,5.50000e+01,5.15766e-02,1.24800e+01,1.99200e+01,7.29600e+01,0.00000e+00,7.96000e+00,1.46200e+03,0.00000e+00,0.00000e+00,6.40000e+01,?,?,2.21000e+01,1.97000e+00,9.66000e-01,2.02000e-01,1.52000e+02,2.44800e+01,4.16488e-07,4.09828e-02,1.01779e-01,2.17178e-01,4.03030e-01,7.74962e-01,2.25038e-01,5.96970e-01,7.82822e-01,8.98221e-01,9.59017e-01,1.00100e+00,2.21103e+00,20.12/17,18.94/17,7.53/10,no,no
2.43000e+00,-7.72700e-01,?,3.60900e+01,1.12200e+01,?,?,4.12810e-06,6.16000e-05,?,6.08900e-03,1.87770e+00,?,2.30740e+00,4.74000e+01,2.34000e-02,?,?,?,5.40000e+01,1.14758e-01,5.28000e+00,7.26000e+00,1.84800e+01,4.15240e+04,8.73000e+00,2.40000e+02,6.43900e+03,1.65200e+01,1.02400e+00,4.98000e-10,5.00000e+00,2.80000e+01,3.03000e+00,8.00000e-01,3.00000e-02,8.00000e+01,1.12200e+01,9.60283e-07,4.01463e-02,1.20785e-01,2.92031e-01,5.55503e-01,8.86694e-01,1.13306e-01,4.44497e-01,7.07969e-01,8.79215e-01,9.59854e-01,1.40100e+00,9.38087e-01,31.90/44,17.85/20,17.49/17,yes,yes
1.33100e+00,-1.16300e+00,?,5.21400e+01,3.76000e+00,?,?,3.40010e-06,2.20000e-04,?,?,1.91100e+00,2.16860e+00,?,7.64000e+01,2.33000e-02,?,?,?,5.50000e+01,4.15047e-01,1.28000e+00,1.72000e+00,6.48000e+00,2.88800e+04,2.55700e+01,2.18300e+03,1.35600e+04,1.52610e+02,1.02400e+00,1.00000e-10,1.00000e+01,2.40000e+01,1.13000e+01,2.30000e+00,2.40000e-02,2.85200e+03,3.76000e+00,1.33569e-06,1.51024e-02,5.34918e-02,1.55401e-01,3.76221e-01,8.01266e-01,1.98734e-01,6.23779e-01,8.44599e-01,9.46508e-01,9.84898e-01,1.00100e+00,3.71522e+00,20.85/21,na,7.79/11,yes,no
