% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Sat May 14 22:42:06 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
2.20000e+00,8.17582e-02,yes,319016
1.50500e+00,1.58883e-01,no,319036
1.51000e+00,8.62009e-02,yes,308041
2.60200e+00,3.66282e-02,yes,317508
7.57000e-01,1.94119e-01,no,238108
1.25000e-01,6.39650e-02,yes,214805
3.68600e+00,1.01779e-01,no,228316
2.43000e+00,1.20785e-01,yes,228581
1.33100e+00,5.34918e-02,no,296805
1.18000e+00,5.86255e-02,yes,416103
5.90000e-02,1.81122e-01,no,416135
1.16000e+00,9.91990e-02,yes,279592
1.54700e+00,7.97668e-02,yes,338895
1.69200e+00,2.02398e-01,yes,326115
3.85000e+00,1.08463e-01,no,352648
4.10900e+00,1.54407e-01,no,352190
2.29600e+00,1.25147e-01,yes,178750
6.53500e-01,4.34538e-03,yes,114753
2.71100e+00,1.46599e-01,yes,219101
2.45200e+00,1.28584e-01,yes,359711
2.64100e+00,1.53451e-01,yes,302888
4.64970e+00,1.25617e-01,no,342121
2.77000e+00,5.65464e-02,yes,337914
4.77200e+00,2.27631e-01,no,421814
2.58000e+00,1.53556e-01,no,334877
1.49700e+00,1.26068e-01,no,263361
8.45000e-01,1.77203e-01,yes,316534
6.89000e-01,1.40844e-01,yes,324895
2.03000e+00,1.41504e-01,no,176453
3.07600e+00,1.01077e-01,yes,375246
4.22000e-01,1.44508e-01,no,148833
