% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Mon May 16 17:52:41 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE uvot_detection_binary NUMERIC
@ATTRIBUTE triggerid_str {yes, no}
@ATTRIBUTE useless NUMERIC

@DATA
2.20000e+00,1,319016,0
1.50500e+00,0,319036,0
1.51000e+00,1,308041,0
2.60200e+00,1,317508,0
7.57000e-01,0,238108,0
1.25000e-01,1,214805,0
3.68600e+00,0,228316,0
2.43000e+00,1,228581,0
1.33100e+00,0,296805,0
1.18000e+00,1,416103,0
5.90000e-02,0,416135,0
1.16000e+00,1,279592,0
1.54700e+00,1,338895,0
1.69200e+00,1,326115,0
3.85000e+00,0,352648,0
4.10900e+00,0,352190,0
2.29600e+00,1,178750,0
6.53500e-01,1,114753,0
2.71100e+00,1,219101,0
2.45200e+00,1,359711,0
2.64100e+00,1,302888,0
4.64970e+00,0,342121,0
2.77000e+00,1,337914,0
4.77200e+00,0,421814,0
2.58000e+00,0,334877,0
1.49700e+00,0,263361,0
8.45000e-01,1,316534,0
6.89000e-01,1,324895,0
2.03000e+00,0,176453,0
3.07600e+00,1,375246,0
4.22000e-01,0,148833,0
1.71000e+00,1,148646,0
2.10000e+00,1,336489,0
2.95400e+00,1,275087,0
3.48000e-01,1,207399,0
4.27000e+00,0,117504,0
6.60000e+00,0,177533,0
3.53000e+00,0,177408,0
7.67000e-01,1,310613,0
5.29500e-01,1,330856,0
2.49960e+00,1,280706,0
1.96850e+00,1,331093,0
7.14000e-01,0,174738,0
3.35000e+00,1,319584,0
3.96900e+00,1,148225,0
6.24000e-01,1,419797,0
1.37000e+00,1,370846,0
4.81300e+00,0,414592,0
1.31400e+00,1,239899,0
1.15900e+00,1,240766,0
3.00000e+00,1,357512,0
6.70000e+00,0,324561,0
1.48900e+00,1,205851,0
2.62500e+00,1,353540,0
4.41000e+00,1,192059,0
5.11000e+00,1,211117,0
2.73700e+00,1,359530,0
1.80000e+00,1,217805,0
3.42500e+00,1,217704,0
2.42660e+00,1,305288,0
3.83000e-01,1,299787,0
8.36000e-01,1,271019,0
2.19800e+00,1,156467,0
1.23000e+00,1,316204,0
1.26100e+00,1,232683,0
2.37400e+00,1,323898,0
2.69200e+00,1,295670,0
3.30000e+00,0,232339,0
7.03000e-01,1,228006,0
2.69000e+00,1,313087,0
6.29000e+00,0,153514,0
3.35000e+00,1,154112,0
1.10000e+00,1,309111,0
2.43300e+00,1,309096,0
6.06000e-01,1,130088,0
4.42800e-01,1,209755,0
1.54500e+00,1,312047,0
7.83000e-01,0,179968,0
4.04500e+00,1,180455,0
3.22100e+00,1,211957,0
2.61470e+00,1,151207,0
5.60000e+00,0,231362,0
3.20000e+00,0,231231,0
2.34600e+00,1,163136,0
8.00000e-02,0,163170,0
4.34900e+00,0,301981,0
2.97000e-01,0,152113,0
9.70000e-01,1,276205,0
4.90000e-01,1,377179,0
1.24000e+00,0,370791,0
3.08200e+00,1,213823,0
2.45000e+00,0,286809,0
9.71000e-01,1,373172,0
1.75500e+00,0,420398,0
2.17000e+00,1,287364,0
4.66700e+00,1,412982,0
5.91500e-01,0,106709,0
9.37000e-01,1,229185,0
2.68000e+00,1,213486,0
3.78000e+00,1,213630,0
3.35500e+00,0,252593,0
3.62600e+00,1,285654,0
1.14000e+00,1,297114,0
1.94900e+00,0,111063,0
3.24000e+00,1,111622,0
1.44000e+00,1,111529,0
1.41600e+00,1,313116,0
1.63980e+00,1,313299,0
3.03600e+00,1,313417,0
5.40000e-01,1,355083,0
3.03800e+00,1,332851,0
2.35200e+00,1,255445,0
4.90000e+00,0,209352,0
8.20000e-01,1,278854,0
3.84790e+00,1,332931,0
2.31000e+00,1,278693,0
3.91000e+00,0,180977,0
3.44000e+00,0,238174,0
3.31000e-02,1,191157,0
6.96000e-01,1,359951,0
2.51200e+00,1,335105,0
1.16500e+00,0,259714,0
1.60800e+00,1,349510,0
2.04000e+00,1,282003,0
2.75200e+00,1,374210,0
5.40000e-01,1,221755,0
1.71000e+00,1,373458,0
5.30000e+00,0,150314,0
9.37000e-01,1,306757,0
1.95000e+00,1,306778,0
1.51000e+00,1,208169,0
5.42000e-01,1,425151,0
8.10000e+00,0,350184,0
5.44000e-01,1,350311,0
1.06300e+00,1,378559,0
9.20000e-01,1,284856,0
