@relation input_data
@attribute Z numeric
@attribute uvot_detection {'no ','yes'}
@attribute useless numeric
@attribute useless1 numeric
@data
0.297,'no ',0,0.842974393628538
2.2,'yes',0,0.243029519217089
1.505,'no ',0,0.934132483089343
1.51,'yes',0,0.717919782968238
2.602,'yes',0,0.832100808154792
0.757,'no ',0,0.964339858619496
0.125,'yes',0,0.780138182919472
0.258,'no ',0,0.919341778382659
3.686,'no ',0,0.709191141882911
2.43,'yes',0,0.79852649080567
1.331,'no ',0,0.0459229676052928
1.18,'yes',0,0.0949289607815444
0.059,'no ',0,0.446441367734224
1.16,'yes',0,0.8674608792644
1.547,'yes',0,0.237485033227131
1.692,'yes',0,0.445788699900731
3.85,'no ',0,0.344763427041471
4.109,'no ',0,0.658361250068992
2.296,'yes',0,0.181917075999081
0.6535,'yes',0,0.246593534480780
2.711,'yes',0,0.0381042629014701
2.452,'yes',0,0.84316091821529
4.6497,'no ',0,0.11720970319584
2.77,'yes',0,0.222886245697737
4.772,'no ',0,0.981166873360053
2.58,'no ',0,0.302036080043763
1.497,'no ',0,0.502953008981422
0.845,'yes',0,0.257807777496055
0.689,'yes',0,0.498433519853279
2.03,'no ',0,0.185356776928529
3.076,'yes',0,0.538431017892435
2.145,'no ',0,0.484153708210215
0.422,'no ',0,0.47667746944353
1.71,'yes',0,0.719395881518722
2.1,'yes',0,0.443474273895845
2.954,'yes',0,0.880497840000317
0.348,'yes',0,0.837973291054368
4.27,'no ',0,0.718449025182053
6.6,'no ',0,0.568122828146443
3.53,'no ',0,0.936574281658977
0.767,'yes',0,0.893308209720999
0.5295,'yes',0,0.556573359062895
2.4996,'yes',0,0.973291102563962
1.9685,'yes',0,0.40019733691588
0.714,'no ',0,0.311689766589552
3.35,'yes',0,0.109676513122395
3.969,'yes',0,0.44828883651644
0.624,'yes',0,0.170075046597049
1.37,'yes',0,0.426914028357714
1.063,'yes',0,0.169503466226161
0.98,'no ',0,0.7285403565038
4.813,'no ',0,0.66045441897586
1.314,'yes',0,0.902989570051432
1.159,'yes',0,0.889749289955944
3,'yes',0,0.83416789653711
6.7,'no ',0,0.953908825060353
1.489,'yes',0,0.151993637438864
2.625,'yes',0,0.194699981482700
4.41,'yes',0,0.437978679081425
5.11,'yes',0,0.404910030541942
2.737,'yes',0,0.512649019015953
1.8,'yes',0,0.599926623282954
3.425,'yes',0,0.341377249453217
2.4266,'yes',0,0.118956750025973
0.383,'yes',0,0.908694241428748
0.617,'no ',0,0.538516936823726
2.198,'yes',0,0.110869132447988
1.23,'yes',0,0.0360886743292212
1.261,'yes',0,0.155747529817745
2.374,'yes',0,0.000134769594296813
2.692,'yes',0,0.0987381681334227
3.3,'no ',0,0.971882877172902
0.703,'yes',0,0.292785685276613
2.69,'yes',0,0.0531408749520779
6.29,'no ',0,0.0184989923145622
3.35,'yes',0,0.0267324757296592
1.1,'yes',0,0.681035086279735
2.433,'yes',0,0.98812008742243
0.606,'yes',0,0.850145960226655
0.4428,'yes',0,0.550553974229842
1.545,'yes',0,0.531005989992991
0.783,'no ',0,0.135165755171329
4.045,'yes',0,0.367785269394517
0.947,'no ',0,0.516823632409796
3.221,'yes',0,0.80225773039274
2.6147,'yes',0,0.16365876654163
5.6,'no ',0,0.897164617897943
3.2,'no ',0,0.866825057892129
2.346,'yes',0,0.485636743018404
0.08,'no ',0,0.328259270871058
4.349,'no ',0,0.802956825122237
1.55,'yes',0,0.198439765721560
0.97,'yes',0,0.519330139970407
1.605,'no ',0,0.570394282462075
0.49,'yes',0,0.22002108884044
1.24,'no ',0,0.537086679600179
1.29,'no ',0,0.910061340080574
3.082,'yes',0,0.754038328304887
1.03,'yes',0,0.611893737223
2.45,'no ',0,0.782908026129007
0.971,'yes',0,0.150083986576647
3.24,'yes',0,0.189376492751762
2.17,'yes',0,0.486961365211755
4.667,'yes',0,0.994500664062798
2.821,'yes',0,0.419664257671684
0.5915,'no ',0,0.093475665897131
0.937,'yes',0,0.828156295232475
2.68,'yes',0,0.908422424457967
3.78,'yes',0,0.451118120690808
3.375,'yes',0,0.943811743753031
0.836,'yes',0,0.838810712331906
3.355,'no ',0,0.99503266508691
3.626,'yes',0,0.643681943649426
2.641,'yes',0,0.921638305066153
1.14,'yes',0,0.934245900250971
1.949,'no ',0,0.849315922241658
1.755,'no ',0,0.303422373719513
1.44,'yes',0,0.463714131386951
1.416,'yes',0,0.766309179598466
1.6398,'yes',0,0.190489158267155
3.036,'yes',0,0.311655557015911
0.54,'yes',0,0.0374275301583111
3.038,'no ',0,0.548533227993175
2.352,'yes',0,0.500878491206095
4.9,'no ',0,0.0265271947719157
2.71,'yes',0,0.741171472240239
0.82,'yes',0,0.75867861113511
3.8479,'yes',0,0.638204589486122
2.31,'yes',0,0.717954598134384
3.91,'no ',0,0.711446605389938
3.44,'no ',0,0.98557277303189
0.0331,'yes',0,0.917398395715281
0.696,'yes',0,0.272884869249538
2.512,'yes',0,0.154840315692127
0.83,'yes',0,0.0701262762304395
1.165,'no ',0,0.143399201566353
8.1,'no ',0,0.814828579546884
1.608,'yes',0,0.570017556194216
2.04,'yes',0,0.447303511900827
2.752,'yes',0,0.411336651770398
1.092,'no ',0,0.310668394435197
0.54,'yes',0,0.297855230281129
1.71,'yes',0,0.186918562278152
2.9,'no ',0,0.23508485709317
5.3,'no ',0,0.699071361450478
0.937,'yes',0,0.204287600936368
1.95,'yes',0,0.0065865044016391
1.51,'yes',0,0.773672252427787
0.542,'yes',0,0.524609819287434
0.544,'yes',0,0.303306903224438
0.92,'yes',0,0.575129673816264
