@relation input_data
@attribute Z numeric
@attribute uvot_detection {'no','yes'}
@attribute zero numeric
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@data
2.2,'yes',0,0.099310597172007,0.299105376470834,0.239357125479728,0.86896211327985,0.63061716593802,0.823318658862263,0.962981176795438,0.375406528590247,0.775847392622381,0.391036119544879
1.505,'no',0,0.99783638981171,0.628054941771552,0.246887515066192,0.852611148031428,0.961187108187005,0.878390247002244,0.84955365722999,0.874271555338055,0.323381893802434,0.975785531336442
1.51,'yes',0,0.879336070269346,0.81383225065656,0.098531550494954,0.773005448980257,0.450771227478981,0.619326279731467,0.193630585679784,0.0174756422638893,0.341874679783359,0.909263816196471
2.602,'yes',0,0.45229448354803,0.116444318322465,0.0160830037202686,0.551620488287881,0.347005991498008,0.57845763117075,0.557686185929924,0.819742822553962,0.394468548242003,0.278015785384923
0.757,'no',0,0.137170447036624,0.876167190959677,0.128512128023431,0.0442600781098008,0.360995733877644,0.0381042016670108,0.779845203040168,0.873840170446783,0.353868052363396,0.850613265763968
0.125,'yes',0,0.249218217330053,0.641733905067667,0.270127911819145,0.782227324321866,0.557758232578635,0.459177707554772,0.454905858729035,0.920555593445897,0.483318271581084,0.116185856517404
0.258,'no',0,0.396015854785219,0.811230830615386,0.0239406016189605,0.923665172420442,0.490366213489324,0.636169431963935,0.95275422767736,0.774961080169305,0.9578118075151,0.896425507264212
3.686,'no',0,0.657018234021962,0.975671139312908,0.516087219351903,0.121842316119000,0.0340840329881757,0.074592131190002,0.475497363368049,0.913504450581968,0.941122869262472,0.351579303853214
2.43,'yes',0,0.883265488315374,0.061144775711,0.750348827103153,0.733709631254897,0.318468946963549,0.63790157996118,0.821856287308037,0.57523046573624,0.814970700535923,0.323525407584384
1.331,'no',0,0.612237234832719,0.8206597995013,0.77210592920892,0.114202640950680,0.0822888028342277,0.0264579774811864,0.357553028035909,0.713112262543291,0.107731674565002,0.296020891983062
1.18,'yes',0,0.960643003927544,0.934914313722402,0.222019779030234,0.606450244318694,0.121454762527719,0.34277496044524,0.118271567160264,0.970577557804063,0.840478763217106,0.467111758887768
0.059,'no',0,0.87544183107093,0.340107086347416,0.0455642135348171,0.917995919473469,0.451094804564491,0.299834854900837,0.619139341637492,0.82797252223827,0.667412739247084,0.294004981406033
1.16,'yes',0,0.712923375889659,0.50461772410199,0.550608761841431,0.907471584388986,0.899044587975368,0.546775240683928,0.49718107143417,0.720421846024692,0.312829342205077,0.134420357178897
1.547,'yes',0,0.842515714233741,0.854843267938122,0.6110830293037,0.561122088693082,0.389501833822578,0.176705472171307,0.377875969046727,0.255487342597917,0.539582449011505,0.704387674573809
1.692,'yes',0,0.324301548302174,0.749450179748237,0.476197302807122,0.260552658233792,0.0940142513718456,0.66933459462598,0.921437558019534,0.792427490465343,0.0687256804667413,0.537485524546355
3.85,'no',0,0.709960352862254,0.886832627467811,0.939421599032357,0.511796033009887,0.0483387096319348,0.690551492618397,0.234609867911786,0.654392263619229,0.971492373850197,0.153656579321250
4.109,'no',0,0.255392328137532,0.79396597808227,0.419069236377254,0.561867721844465,0.82394433603622,0.611151554854587,0.326163467718288,0.0118697108700871,0.605897326953709,0.789661564631388
2.296,'yes',0,0.524043771903962,0.448428470641375,0.814679036149755,0.840162551729009,0.888423264957964,0.660614938242361,0.815227192360908,0.721111373975873,0.581543518230319,0.44704193319194
0.6535,'yes',0,0.71074901544489,0.544370898976922,0.861713772639632,0.739757318980992,0.310835874639452,0.992978742346168,0.494034042116255,0.635508612496778,0.688135172473267,0.261995275737718
2.711,'yes',0,0.897431040648371,0.598501660395414,0.270583403529599,0.168122937437147,0.0735807907767594,0.616687664529309,0.163483127951622,0.0287482496351004,0.776882196776569,0.689973180182278
2.452,'yes',0,0.471537883626297,0.913534704130143,0.435005619423464,0.213786701671779,0.838242863537744,0.901402270887047,0.136588040040806,0.588355931919068,0.890977561473846,0.389741476159543
