@relation input_data
@attribute Z numeric
@attribute uvot_detection {'no ','yes'}
@attribute useless numeric
@attribute useless1 numeric
@attribute useless2 numeric
@data
0.297,'no ',0,0.903078766074032,0.319665099959821
2.2,'yes',0,0.319197748554870,0.801984773483127
1.505,'no ',0,0.0401527285575867,0.188195296330377
1.51,'yes',0,0.00607311073690653,0.482161312364042
2.602,'yes',0,0.153665484627709,0.349463913124055
0.757,'no ',0,0.941487759817392,0.411485338583589
0.125,'yes',0,0.837043721461669,0.878746574977413
0.258,'no ',0,0.277209716150537,0.573970740195364
3.686,'no ',0,0.0547028377186507,0.234547265805304
2.43,'yes',0,0.0873678321950138,0.139323021518067
1.331,'no ',0,0.644074593437836,0.887671330943704
1.18,'yes',0,0.041086069541052,0.243412102106959
0.059,'no ',0,0.594036948401481,0.125322948442772
1.16,'yes',0,0.92997838044539,0.393270248547196
1.547,'yes',0,0.413817910477519,0.631740093696862
1.692,'yes',0,0.659060878679156,0.299896549899131
3.85,'no ',0,0.829690256156027,0.0970905218273401
4.109,'no ',0,0.305913333781064,0.376750821946189
2.296,'yes',0,0.393678853521124,0.491293020313606
0.6535,'yes',0,0.930162528296933,0.804162879474461
2.711,'yes',0,0.375907758018002,0.553108490537852
2.452,'yes',0,0.808000785531476,0.252377536613494
4.6497,'no ',0,0.633128416258842,0.493811392690986
2.77,'yes',0,0.530232722405344,0.679600564064458
4.772,'no ',0,0.94545637955889,0.902193764224648
2.58,'no ',0,0.80371114378795,0.697237319080159
1.497,'no ',0,0.0493664701934904,0.168895062059164
0.845,'yes',0,0.789229907561094,0.93156160833314
0.689,'yes',0,0.472315892810002,0.861310174688697
2.03,'no ',0,0.729200842091814,0.0213715832214803
3.076,'yes',0,0.900064315646887,0.920537232188508
2.145,'no ',0,0.289409593911842,0.653730661142617
0.422,'no ',0,0.689833042444661,0.435324032558128
1.71,'yes',0,0.515335778240114,0.0633309385739267
2.1,'yes',0,0.341406742110848,0.88894079765305
2.954,'yes',0,0.318791497498751,0.488051348365843
0.348,'yes',0,0.0189696089364588,0.589044039370492
4.27,'no ',0,0.510123666608706,0.739839147776365
6.6,'no ',0,0.438909941120073,0.739505099598318
3.53,'no ',0,0.588682106696069,0.56922911782749
0.767,'yes',0,0.240968491416425,0.158780289115384
0.5295,'yes',0,0.655608540866524,0.96695864526555
2.4996,'yes',0,0.0144463472533971,0.648651484167203
1.9685,'yes',0,0.716170131228864,0.637735703261569
0.714,'no ',0,0.420166678028181,0.0491941699292511
3.35,'yes',0,0.135225979611278,0.627911311108619
3.969,'yes',0,0.532494474435225,0.392811096273363
0.624,'yes',0,0.909201869741082,0.0545388248283416
1.37,'yes',0,0.834639017935842,0.33732279506512
1.063,'yes',0,0.358476006425917,0.0321084058377892
0.98,'no ',0,0.453598786378279,0.608078502351418
4.813,'no ',0,0.553729594219476,0.844547549262643
1.314,'yes',0,0.879289210075513,0.472619604784995
1.159,'yes',0,0.359652861952782,0.967734536156058
3,'yes',0,0.936915840720758,0.0990168787539005
6.7,'no ',0,0.65408543497324,0.123697814764455
1.489,'yes',0,0.491751706693321,0.74786395044066
2.625,'yes',0,0.253023470751941,0.702363292686641
4.41,'yes',0,0.0822315395344049,0.928645917447284
5.11,'yes',0,0.785984175745398,0.442463282030076
2.737,'yes',0,0.0342002706602216,0.791820750106126
1.8,'yes',0,0.32921191258356,0.485320060513914
3.425,'yes',0,0.571369956014678,0.439442810369655
2.4266,'yes',0,0.556211787508801,0.325433116871864
0.383,'yes',0,0.4705895553343,0.00654421001672745
0.617,'no ',0,0.78872345504351,0.083045203704387
2.198,'yes',0,0.334965516813099,0.168148741358891
1.23,'yes',0,0.963049688376486,0.225243880413473
1.261,'yes',0,0.744399440707639,0.302963388618082
2.374,'yes',0,0.185398728353903,0.627395838033408
2.692,'yes',0,0.163275697967038,0.736259306780994
3.3,'no ',0,0.675055162515491,0.892815484199673
0.703,'yes',0,0.746095029637218,0.521115296520293
2.69,'yes',0,0.449875047430396,0.83998273871839
6.29,'no ',0,0.558617148781195,0.489433421753347
3.35,'yes',0,0.364379516337067,0.327943849377334
1.1,'yes',0,0.953186830040067,0.822934831725433
2.433,'yes',0,0.845396153395995,0.73015780816786
0.606,'yes',0,0.665018453728408,0.00216371985152364
0.4428,'yes',0,0.602792885387316,0.00543993152678013
1.545,'yes',0,0.722237140173092,0.698099620407447
0.783,'no ',0,0.530076420167461,0.451523983152583
4.045,'yes',0,0.80718514462933,0.515712185995653
0.947,'no ',0,0.653283201623708,0.290371197042987
3.221,'yes',0,0.900477836839855,0.324337443336844
2.6147,'yes',0,0.449732237728313,0.875003475463018
5.6,'no ',0,0.735087622655556,0.0487557470332831
3.2,'no ',0,0.942069976357743,0.854784540832043
2.346,'yes',0,0.886555407196283,0.236988990567625
0.08,'no ',0,0.35124598396942,0.735003999201581
4.349,'no ',0,0.0155648386571556,0.06683873035945
1.55,'yes',0,0.192824622150511,0.586310198297724
0.97,'yes',0,0.59582366165705,0.625972952926531
1.605,'no ',0,0.78564040758647,0.386758966138586
0.49,'yes',0,0.374809691682458,0.891822397941723
1.24,'no ',0,0.194144589360803,0.275725040584803
1.29,'no ',0,0.0782332643866539,0.156816581031308
3.082,'yes',0,0.556667305994779,0.775424390099943
1.03,'yes',0,0.883190107764676,0.779034786392003
2.45,'no ',0,0.209102675318718,0.0523624762427062
0.971,'yes',0,0.0410704957321286,0.634295839583501
3.24,'yes',0,0.074753999011591,0.99045376922004
2.17,'yes',0,0.842118575703353,0.0964844340924174
4.667,'yes',0,0.856028230162337,0.160623946692795
2.821,'yes',0,0.90743898972869,0.213079751702026
0.5915,'no ',0,0.731280207168311,0.0296328156255186
0.937,'yes',0,0.754470353247598,0.348982933675870
2.68,'yes',0,0.335496826795861,0.60114489402622
3.78,'yes',0,0.324125578859821,0.747976558515802
3.375,'yes',0,0.263765963260084,0.110617424128577
0.836,'yes',0,0.63585920073092,0.813495334237814
3.355,'no ',0,0.603764314670116,0.818360388744622
3.626,'yes',0,0.452338540228084,0.80707015353255
2.641,'yes',0,0.335956047289073,0.0421917117200792
1.14,'yes',0,0.880599579773843,0.295738915912807
1.949,'no ',0,0.408403343055397,0.0907711782492697
1.755,'no ',0,0.0573520301841199,0.943925686413422
1.44,'yes',0,0.00179614708758891,0.665727333398536
1.416,'yes',0,0.919837614288554,0.990052369656041
1.6398,'yes',0,0.860013267956674,0.89738824707456
3.036,'yes',0,0.23678074660711,0.243780431104824
0.54,'yes',0,0.427703267196193,0.078045540722087
3.038,'no ',0,0.790859779343009,0.538305879337713
2.352,'yes',0,0.170356477145106,0.600639918120578
4.9,'no ',0,0.277856291271746,0.524769810726866
2.71,'yes',0,0.666052222019061,0.338816113304347
0.82,'yes',0,0.163379134377465,0.192715377546847
3.8479,'yes',0,0.447772717336193,0.374968652613461
2.31,'yes',0,0.189350728876889,0.103343303315341
3.91,'no ',0,0.63784179231152,0.0749513395130634
3.44,'no ',0,0.581903907470405,0.968503366224468
0.0331,'yes',0,0.164830819005147,0.814357270486653
0.696,'yes',0,0.936995038297027,0.693520272849128
2.512,'yes',0,0.0663056853227317,0.81507340585813
0.83,'yes',0,0.543557363096625,0.126541138859466
1.165,'no ',0,0.659592115785927,0.932555401697755
8.1,'no ',0,0.387005828088149,0.909066550433636
1.608,'yes',0,0.82796449912712,0.96201331820339
2.04,'yes',0,0.478339043445885,0.766441737068817
2.752,'yes',0,0.239459956530482,0.807018898893148
1.092,'no ',0,0.680852495133877,0.972346491878852
0.54,'yes',0,0.0517228664830327,0.509399628965184
1.71,'yes',0,0.626959274755791,0.642028023255989
2.9,'no ',0,0.119149479782209,0.424967964179814
5.3,'no ',0,0.633121403865516,0.0823749031405896
0.937,'yes',0,0.186890827491879,0.950307212769985
1.95,'yes',0,0.0187001356389374,0.915413341252133
1.51,'yes',0,0.580941325519234,0.211943537928164
0.542,'yes',0,0.216323314001784,0.705041978508234
0.544,'yes',0,0.145385664422065,0.554081474198028
0.92,'yes',0,0.0550148489419371,0.948254818329588
