@relation input_data
@attribute Z numeric
@attribute uvot_detection {'no ','yes'}
@attribute useless numeric
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@data
0.297,'no ',0,0.980439260136336,0.088687778217718,0.351369426120073,0.94680511718616
2.2,'yes',0,0.36678589717485,0.645465877372772,0.746171321254224,0.97785674338229
1.505,'no ',0,0.392940003192052,0.923490551300347,0.708043079124764,0.174055478302762
1.51,'yes',0,0.976220189128071,0.264469851739705,0.78521524509415,0.126959313172847
2.602,'yes',0,0.816958540817723,0.230835181893781,0.728294939966872,0.176357957068831
0.757,'no ',0,0.796166494488716,0.454152703983709,0.95643186639063,0.559167783940211
0.125,'yes',0,0.941352360881865,0.36474943603389,0.807487229350954,0.629577609477565
0.258,'no ',0,0.419787417864427,0.917306680697948,0.596858725650236,0.860243276925758
3.686,'no ',0,0.574883118038997,0.839210467878729,0.560001557460055,0.565532248234376
2.43,'yes',0,0.282460634363815,0.554268584819511,0.313181567704305,0.00189821794629097
1.331,'no ',0,0.812947928905487,0.491356117185205,0.085942211560905,0.633831138489768
1.18,'yes',0,0.173080651788041,0.526048210449517,0.885639112675563,0.392385683022439
0.059,'no ',0,0.476525982376188,0.615033378591761,0.217115916544572,0.0104749081656337
1.16,'yes',0,0.807267470052466,0.749060392612591,0.218129397137091,0.695014372933656
1.547,'yes',0,0.713705435395241,0.637308125616983,0.850442545488477,0.218907949747518
1.692,'yes',0,0.684605442918837,0.466543974354863,0.959512322442606,0.0169381964951754
3.85,'no ',0,0.349196765106171,0.179251662222669,0.697574040852487,0.408926323289052
4.109,'no ',0,0.757517830003053,0.0617548781447113,0.893455170793459,0.303313613636419
2.296,'yes',0,0.739344163332134,0.757342797704041,0.492718092165887,0.81312155071646
0.6535,'yes',0,0.313495619688183,0.307798215886578,0.23447046848014,0.584398541832343
2.711,'yes',0,0.269769100705162,0.437656145310029,0.118522640550509,0.928724485682324
2.452,'yes',0,0.458215939579532,0.937635492533445,0.086975596146658,0.403440219117329
4.6497,'no ',0,0.966535001760349,0.578642982756719,0.353068178985268,0.72046554624103
2.77,'yes',0,0.979121744865552,0.907167218625546,0.515177836641669,0.531772666145116
4.772,'no ',0,0.192897877888754,0.00991307152435184,0.600568712921813,0.0111045641824603
2.58,'no ',0,0.440597693668678,0.120928612072021,0.558048511156812,0.335117116337642
1.497,'no ',0,0.566697575384751,0.100772719131783,0.98527214420028,0.569310878869146
0.845,'yes',0,0.91194134298712,0.502783966250718,0.324309787712991,0.046576505061239
0.689,'yes',0,0.821338622830808,0.317117725033313,0.0576013196259737,0.768446260364726
2.03,'no ',0,0.763519536238164,0.051940577570349,0.648328592069447,0.136724820127711
3.076,'yes',0,0.213373768841848,0.777741361875087,0.517180527793244,0.74682616838254
2.145,'no ',0,0.684142851270735,0.0644287869799882,0.187268349574879,0.905836443416774
0.422,'no ',0,0.874400398461148,0.252061404986307,0.644653711700812,0.276052782544866
1.71,'yes',0,0.163534258957952,0.689644378609955,0.983208517543972,0.710579555714503
2.1,'yes',0,0.125885216519237,0.0739218667149544,0.229920953512192,0.885780491866171
2.954,'yes',0,0.195251424796879,0.472583288326859,0.714023077860475,0.170228402363136
0.348,'yes',0,0.978475195588544,0.734311384847388,0.218536232830957,0.217447121161968
4.27,'no ',0,0.252120599849150,0.585914791096002,0.408595898654312,0.769064541673288
6.6,'no ',0,0.355869928374887,0.120085312053561,0.799152970081195,0.82874143566005
3.53,'no ',0,0.494912523543462,0.441490009659901,0.773062890628353,0.644937987439334
0.767,'yes',0,0.957622285932302,0.357682575937361,0.196613000007346,0.802260732278228
0.5295,'yes',0,0.811438414268196,0.0194984353147447,0.242948280181736,0.324052864219993
2.4996,'yes',0,0.478590263053775,0.0647498392499983,0.579061027616262,0.375292423414066
1.9685,'yes',0,0.699409143300727,0.160203549079597,0.427985235350206,0.202043663943186
0.714,'no ',0,0.391221029451117,0.107234352035448,0.572048461297527,0.293807029491290
3.35,'yes',0,0.0814925071317703,0.055630094371736,0.898124600294977,0.130281824851409
3.969,'yes',0,0.975063146091998,0.975846093613654,0.512931694742292,0.301088654669002
0.624,'yes',0,0.526585599407554,0.503992195008323,0.321052456041798,0.0866083602886647
1.37,'yes',0,0.122086236253381,0.697483006631956,0.195011806907132,0.0561492796987295
1.063,'yes',0,0.698367920937017,0.988743849331513,0.152802824275568,0.391045628581196
0.98,'no ',0,0.038400201825425,0.416679696878418,0.339779115980491,0.323364172829315
4.813,'no ',0,0.593368869507685,0.727367578539997,0.238335235975683,0.836098852800205
1.314,'yes',0,0.219627210404724,0.135391324991360,0.33607992134057,0.439729674952105
1.159,'yes',0,0.137881155591458,0.099182624137029,0.103428806643933,0.510354389436543
3,'yes',0,0.560259060701355,0.924013997195289,0.63635230413638,0.510294506093487
6.7,'no ',0,0.300547071965411,0.905014863237739,0.215233565773815,0.0918589106295258
1.489,'yes',0,0.0757280348334461,0.809359583770856,0.255138293839991,0.388401576783508
2.625,'yes',0,0.636542674386874,0.132373535307124,0.103474452858791,0.892935732612386
4.41,'yes',0,0.256573152029887,0.032132089138031,0.70447682752274,0.668856880627573
5.11,'yes',0,0.667132990434766,0.951699987985194,0.911015257239342,0.114747864659876
2.737,'yes',0,0.512496349867433,0.564849592046812,0.922985928831622,0.0183292194269598
1.8,'yes',0,0.912236801348627,0.0489937232341617,0.502269301796332,0.00884848111309111
3.425,'yes',0,0.455744718201458,0.414184137713164,0.0752007383853197,0.0616493753623217
2.4266,'yes',0,0.859553460264578,0.98809023736976,0.747464079177007,0.240207409719005
0.383,'yes',0,0.880747872637585,0.628928363323212,0.742747005773708,0.811652322066948
0.617,'no ',0,0.354325745487586,0.935927361249924,0.92170129949227,0.587179871974513
2.198,'yes',0,0.630103374365717,0.283730369992554,0.410768815549091,0.476411199430004
1.23,'yes',0,0.926445717923343,0.489497561007738,0.39137041894719,0.533704563509673
1.261,'yes',0,0.0812266916036606,0.986203995766118,0.632777547463775,0.250462718075141
2.374,'yes',0,0.156489775981754,0.960823155706748,0.526832359144464,0.146555504063144
2.692,'yes',0,0.231011466821656,0.918511324096471,0.711975749582052,0.767687428509817
3.3,'no ',0,0.882133736740798,0.613946641329676,0.433974827406928,0.0484225351829082
0.703,'yes',0,0.73789078835398,0.988163402304053,0.709098390070722,0.859601126052439
2.69,'yes',0,0.97714682877995,0.367556783370674,0.146626282483339,0.198300669901073
