@relation input_data
@attribute Z numeric
@attribute uvot_detection {'no ','yes'}
@attribute useless numeric
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@attribute useless17 numeric
@attribute useless18 numeric
@attribute useless19 numeric
@attribute useless20 numeric
@attribute useless21 numeric
@attribute useless22 numeric
@attribute useless23 numeric
@attribute useless24 numeric
@attribute useless25 numeric
@attribute useless26 numeric
@attribute useless27 numeric
@attribute useless28 numeric
@attribute useless29 numeric
@attribute useless30 numeric
@attribute useless31 numeric
@attribute useless32 numeric
@attribute useless33 numeric
@attribute useless34 numeric
@attribute useless35 numeric
@attribute useless36 numeric
@attribute useless37 numeric
@attribute useless38 numeric
@attribute useless39 numeric
@attribute useless40 numeric
@attribute useless41 numeric
@attribute useless42 numeric
@attribute useless43 numeric
@attribute useless44 numeric
@attribute useless45 numeric
@attribute useless46 numeric
@attribute useless47 numeric
@attribute useless48 numeric
@attribute useless49 numeric
@attribute useless50 numeric
@attribute useless51 numeric
@attribute useless52 numeric
@attribute useless53 numeric
@attribute useless54 numeric
@attribute useless55 numeric
@attribute useless56 numeric
@attribute useless57 numeric
@attribute useless58 numeric
@attribute useless59 numeric
@attribute useless60 numeric
@attribute useless61 numeric
@attribute useless62 numeric
@attribute useless63 numeric
@attribute useless64 numeric
@data
0.297,'no ',0,0.743973637698218,0.637071881676093,0.899095374159515,0.397086534881964,0.579964621225372,0.146725623868406,0.986519339494407,0.902239481452852,0.248338580597192,0.915919980267063,0.0611886223778129,0.290342983556911,0.713203293969855,0.720714498776942,0.950164118781686,0.392778292763978,0.365981591865420,0.381496016168967,0.642054955707863,0.820639870129526,0.981706939870492,0.443237089319155,0.0353677177336067,0.416562464553863,0.469431188656017,0.574760700576007,0.0711502039339393,0.210298948921263,0.944999390980229,0.617100572446361,0.664639813126996,0.342803852632642,0.0493842228315771,0.754236299777403,0.784993492765352,0.257998449262232,0.65448000235483,0.177546817576513,0.270435237092897,0.58578611118719,0.0780021622776985,0.250953027280048,0.956971310311928,0.532769666053355,0.196928330464289,0.840868839295581,0.762721132021397,0.939891037065536,0.440719952341169,0.509105073753744,0.171682240907103,0.816358121111989,0.937339382944629,0.0491041943896562,0.804545448860154,0.571539186872542,0.135711047798395,0.856353457318619,0.724547723075375,0.571250564651564,0.110634721117094,0.434331559110433,0.514128251699731,0.147470534546301
2.2,'yes',0,0.415193933527917,0.257190967677161,0.345683112973347,0.359764754772186,0.0832114955410361,0.828876779880375,0.279957498423755,0.301282525062561,0.578212114050984,0.980396236293018,0.870394166791812,0.436018405482173,0.953562963521108,0.323157181264833,0.614690589718521,0.935351659543812,0.582307059317827,0.797260973602533,0.932261666748673,0.193407031940296,0.296954734018072,0.959153872914612,0.222614424303174,0.686751069733873,0.232910200953484,0.200018558185548,0.586751704104245,0.291854209033772,0.29743724828586,0.489382855594158,0.067569128004834,0.873401363613084,0.731368379667401,0.552513076225296,0.771969203837216,0.781864824239165,0.0730621109250933,0.704598989570513,0.292564409086481,0.306900381110609,0.640605370048434,0.0508933754172176,0.612928128335625,0.820358671247959,0.0450965904165059,0.93866306799464,0.369962618453428,0.263658897485584,0.984011905500665,0.334105257177725,0.743747517000884,0.738271307433024,0.312218268634751,0.200040506897494,0.0331825690809637,0.62123718415387,0.231345809763297,0.147315836977214,0.696428719675168,0.9295639032498,0.180600637802854,0.570176038658246,0.118315042695031,0.374944012612104
1.505,'no ',0,0.848619121592492,0.711468208115548,0.0634092027321458,0.425653762882575,0.311799587216228,0.0420836163684726,0.704033779446036,0.594720278400928,0.0175818647257984,0.33683715085499,0.745076007209718,0.992051652632654,0.803644990781322,0.0599886951968074,0.573602056596428,0.0863206807989627,0.213427092880011,0.66104393126443,0.285956033971161,0.46219139220193,0.613507745787501,0.926136108580977,0.628075398737565,0.385505319107324,0.431919996859506,0.945091703673825,0.789291772060096,0.491554686101153,0.132732580648735,0.795511739794165,0.337042468832806,0.61635862197727,0.77723502414301,0.482842181576416,0.725613026879728,0.148250464349985,0.133907767711207,0.139340984402224,0.850637181429192,0.469751754775643,0.768132915021852,0.371279692510143,0.849385269219056,0.322393600828946,0.685096865287051,0.842812103684992,0.861085620010272,0.276080778567120,0.102062256308272,0.0736328202765435,0.193626363528892,0.142255494138226,0.275479865027592,0.951014787657186,0.0620252629742026,0.953359368257225,0.235396919073537,0.648624076507986,0.524950758321211,0.449756035814062,0.233691995497793,0.150101051433012,0.200399386230856,0.808094258187339
1.51,'yes',0,0.591966388747096,0.661015762714669,0.192285530734807,0.0908029018901289,0.302958343178034,0.0424405138473958,0.214758154237643,0.0784661851357669,0.63534381147474,0.791155453305691,0.76841887854971,0.0219285248313099,0.786256183637306,0.850501522421837,0.306090265512466,0.474446990294382,0.408778239740059,0.80079523799941,0.163488193415105,0.411108843749389,0.713306532474235,0.772335512330756,0.0550774335861206,0.986893817782402,0.524663554970175,0.489124168874696,0.633782544638962,0.768308947561309,0.907085051294416,0.0625588379334658,0.738865817897022,0.621325988322496,0.15183983463794,0.880914963316172,0.621134696295485,0.731753216590732,0.956035682465881,0.105111665325239,0.730140268336982,0.124647450167686,0.765968566760421,0.97237660177052,0.555283138062805,0.601282795425504,0.0353832084219903,0.780009480891749,0.349021897185594,0.98310334677808,0.182182103162631,0.493972986238077,0.0192063124850392,0.297610942972824,0.53242466179654,0.932320361258462,0.315455831121653,0.982308723963797,0.638826386304572,0.49661332112737,0.488670811755583,0.462773476028815,0.180624079657719,0.623673517722636,0.775481226388365,0.221682061906904
2.602,'yes',0,0.80562275648117,0.774183112662286,0.354674434522167,0.136472017737105,0.922387189930305,0.676499509485438,0.608459243550897,0.393043199088424,0.282589737791568,0.755135750863701,0.331836075522006,0.75585584458895,0.0434556482359767,0.693288473645225,0.0403233342804015,0.316169367404655,0.502051180228591,0.619093895656988,0.53000043076463,0.182772533036768,0.779698932310566,0.600377660710365,0.866090671857819,0.416541109792888,0.453470772132277,0.836088057607412,0.816037056269124,0.0877523811068386,0.737806350458413,0.083081463817507,0.555632131639868,0.613227242371067,0.673407639376819,0.569272668100893,0.654897272586823,0.00735796568915248,0.566481409128755,0.980616968125105,0.226867094868794,0.964453760068864,0.946876087924466,0.582805294543505,0.228872257051989,0.92641018726863,0.51520281820558,0.509155858075246,0.496123191667721,0.943405457306653,0.233368820045143,0.749534452101216,0.429059042828158,0.0917708077467978,0.148548041237518,0.456763928290457,0.288522072136402,0.943029879126698,0.588490563211963,0.671766975428909,0.434120432939380,0.653258974896744,0.433475358178839,0.533071757294238,0.173401630017906,0.540279687382281
0.757,'no ',0,0.267311512026936,0.448578654555604,0.316114298067987,0.0782642201520503,0.148986129323021,0.165879616979510,0.0965316090732813,0.606365560786799,0.181909159058705,0.0232448703609407,0.376641404116526,0.563928548013791,0.915881781140342,0.0417367382906377,0.433239209698513,0.928628240944818,0.54879114869982,0.748522883979604,0.26387875713408,0.365616178140044,0.448398350970820,0.33450736082159,0.142687434563413,0.612855571089312,0.724854217842221,0.0891857333481312,0.163529162760824,0.450053346343338,0.989578198175877,0.732668474782258,0.668579820543528,0.801556028658524,0.446590350940824,0.634329626802355,0.172753949416801,0.02929991716519,0.574710691114888,0.98368615610525,0.81217200239189,0.530668196966872,0.854731814702973,0.336895811837167,0.899396538734436,0.694890134036541,0.644307735841721,0.375163581222296,0.312142523471266,0.625809393590316,0.814201722620055,0.471759850624949,0.750917384633794,0.903162374394014,0.388643136247993,0.132071685511619,0.753855933900923,0.157808882649988,0.675074935890734,0.0559600207488984,0.849620180437341,0.111057860543951,0.407204287359491,0.509536171099171,0.220595296705142,0.120033391751349
0.125,'yes',0,0.607948532793671,0.635398133425042,0.607810852350667,0.233712169108912,0.0847350137773901,0.722415706375614,0.216517511755228,0.143847579602152,0.0384510522708297,0.482938569271937,0.779510265914723,0.588906791759655,0.355372425634414,0.051253005862236,0.167393962154165,0.68200049852021,0.561488486127928,0.477533872006461,0.0180914790835232,0.898620892781764,0.672156083397567,0.335879926336929,0.0543987257406116,0.080535079818219,0.234808475011960,0.209672313649207,0.83822801639326,0.974912406643853,0.478391645010561,0.348724904702976,0.0293472788762301,0.0102846466470510,0.077163374517113,0.242537157377228,0.38718454958871,0.258737187134102,0.937843901803717,0.0560432584024966,0.350895379669964,0.821839703945443,0.660418106708676,0.237481294432655,0.0439270241186023,0.126074383966625,0.410588754341006,0.629641463514417,0.374655061634257,0.287846825784072,0.102141043636948,0.21546892891638,0.284735816298053,0.119023461127654,0.54623368754983,0.296588479774073,0.111556898104027,0.0265754500869662,0.693429932929575,0.108360813464969,0.257112268824130,0.68627277109772,0.88953015115112,0.900155659066513,0.0836404219735414,0.693749508121982
0.258,'no ',0,0.134419088019058,0.788648034678772,0.952593262773007,0.582949130097404,0.152662275359035,0.671202135737985,0.256116340635344,0.0766887094359845,0.294541842071339,0.609515032265335,0.0374287280719727,0.958842131542042,0.134476169012487,0.659850134281442,0.53840611781925,0.669355402933434,0.589399987366050,0.506135551957414,0.188315988751128,0.159147068858147,0.869223932735622,0.804641019320115,0.099270498380065,0.533645324176177,0.354592098621652,0.0308423319365829,0.264082820154727,0.513515764847398,0.848058766918257,0.439145406708121,0.351053891004995,0.502294225851074,0.229179529473186,0.144825897878036,0.0636182178277522,0.435248667374253,0.0382624007761478,0.240246360423043,0.72666683467105,0.695944663370028,0.027872173814103,0.524492385331541,0.704003781080246,0.707784061552957,0.419591342564672,0.592324896482751,0.00755229312926531,0.698023519711569,0.537459838204086,0.872662314912304,0.491343631176278,0.793072366854176,0.879940739367157,0.174297462217510,0.781663524685428,0.0867012930102646,0.105300329625607,0.571284439181909,0.843225460033864,0.320203226758167,0.211896512191743,0.323892747052014,0.417753546265885,0.136920574819669
3.686,'no ',0,0.217620533192530,0.282903072191402,0.00577738275751472,0.49229078553617,0.567351147998124,0.0859809822868556,0.0679979405831546,0.130275017349049,0.641299969749525,0.519451130647212,0.481923478888348,0.251966032432392,0.0575173662509769,0.0413101951126009,0.205841228598729,0.382067365804687,0.0631043675821275,0.598493435187265,0.227953424910083,0.159531004494056,0.381868395488709,0.186335094971582,0.3862555983942,0.19816499017179,0.0942233526147902,0.54041552869603,0.787340673152357,0.663969238521531,0.117469363613054,0.70566850528121,0.872322740033269,0.814326164545491,0.951896459795535,0.333390320884064,0.291070749051869,0.648855426814407,0.00335650867782533,0.0650892416015267,0.0278742981608957,0.434659212362021,0.765920870704576,0.349833921063691,0.20688845240511,0.866325285285711,0.397333951899782,0.213998158462346,0.44152642134577,0.105945587856695,0.199380840174854,0.104747579898685,0.0399470946285874,0.42496631341055,0.184116756310686,0.958399211755022,0.486174499848858,0.54359741625376,0.880031977081671,0.129211395978928,0.0951448322739452,0.235581720713526,0.00992339593358338,0.0631419226992875,0.331097587710246,0.571481494698673
2.43,'yes',0,0.40367811662145,0.274880758253857,0.986563858576119,0.538415227783844,0.423980416962877,0.966890045674518,0.371015685843304,0.884268974186853,0.294738514116034,0.743784670950845,0.735977567965165,0.697130841901526,0.452869198983535,0.796439474448562,0.234114538878202,0.298273905180395,0.535045725991949,0.0873067348729819,0.157709946390241,0.382869607536122,0.786252583377063,0.784114589449018,0.492745986906812,0.964764160569757,0.281835174653679,0.106375313131139,0.958040187601,0.605711260577664,0.952905654674396,0.871998368995264,0.00734618376009166,0.514199052006006,0.28310957737267,0.632899704854935,0.591928492067382,0.389245677972212,0.948593877255917,0.243332229554653,0.879895739257336,0.105046940501779,0.295974697452039,0.637268053833395,0.287542768288404,0.976287619909272,0.834615915082395,0.545049192616716,0.265626658219844,0.980537063675001,0.866099542472512,0.755901253782213,0.109798702644184,0.748560314998031,0.0550806124228984,0.967795836972073,0.073550077388063,0.260617923224345,0.074993068818003,0.193090377608314,0.0433999027591199,0.750660041347146,0.365250892471522,0.752421172801405,0.0245599676854908,0.509301783051342
