% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Fri Feb  4 00:54:23 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE B NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE FL NUMERIC
@ATTRIBUTE FLX_PC_LATE NUMERIC
@ATTRIBUTE GAM_PC NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_5 NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE PROB_Z_GT_3 NUMERIC
@ATTRIBUTE PROB_Z_GT_2 NUMERIC
@ATTRIBUTE PROB_Z_GT_1 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}

@DATA
2.20000e+00,-1.03320e+00,?,?,?,3.75300e-05,1.77460e+00,3.11000e+01,?,?,7.49000e+00,1.43000e+02,1.02400e+00,2.48600e-02,8.17582e-02,2.14990e-01,4.54811e-01,8.37496e-01,yes,yes
1.50500e+00,-1.53980e+00,?,?,?,?,2.25640e+00,4.97000e+01,?,?,8.81000e+00,2.24000e+02,1.02400e+00,5.80270e-02,1.58883e-01,3.51322e-01,6.14640e-01,9.10566e-01,yes,no
1.51000e+00,?,-2.38060e+00,?,?,?,2.23450e+00,1.34000e+01,?,?,7.58000e+00,1.87000e+02,1.02400e+00,3.31163e-02,8.62009e-02,1.92136e-01,3.71174e-01,7.29067e-01,yes,yes
2.60200e+00,-9.50700e-01,?,?,?,1.21800e-04,1.96230e+00,3.72000e+01,?,?,1.02400e+01,2.71000e+02,1.02400e+00,9.29391e-03,3.66282e-02,1.17212e-01,3.14742e-01,7.57605e-01,yes,yes
7.57000e-01,-1.55580e+00,?,?,?,?,1.80610e+00,2.41000e+01,?,?,7.33000e+00,2.86000e+02,2.04800e+00,7.56463e-02,1.94119e-01,4.02664e-01,6.61859e-01,9.25883e-01,yes,no
1.25000e-01,-1.90250e+00,?,?,?,2.43000e-05,1.88930e+00,1.91900e+02,?,?,1.84500e+01,5.63000e+02,1.02400e+00,2.00604e-02,6.39650e-02,1.70110e-01,3.83612e-01,8.06044e-01,yes,yes
2.58000e-01,-1.64030e+00,?,?,?,?,1.52830e+00,2.08000e+01,?,?,1.07700e+01,1.08000e+02,6.40000e-02,1.26742e-02,4.63950e-02,1.36174e-01,3.30306e-01,7.42071e-01,yes,no
3.68600e+00,-1.96590e+00,?,?,?,2.69300e-05,1.71820e+00,3.05000e+01,?,?,7.96000e+00,1.46200e+03,6.40000e+01,4.09828e-02,1.01779e-01,2.17178e-01,4.03030e-01,7.74962e-01,no,no
2.43000e+00,-7.72700e-01,?,?,?,?,1.87770e+00,4.74000e+01,?,?,8.73000e+00,2.40000e+02,1.02400e+00,4.01463e-02,1.20785e-01,2.92031e-01,5.55503e-01,8.86694e-01,yes,yes
1.33100e+00,-1.16300e+00,?,?,?,?,1.91100e+00,7.64000e+01,?,?,2.55700e+01,2.18300e+03,1.02400e+00,1.51024e-02,5.34918e-02,1.55401e-01,3.76221e-01,8.01266e-01,yes,no
1.18000e+00,?,-2.28700e+00,?,?,?,2.22530e+00,1.80000e+01,?,?,9.10000e+00,1.89000e+02,5.12000e-01,2.03331e-02,5.86255e-02,1.45546e-01,3.19514e-01,7.19367e-01,yes,yes
5.90000e-02,?,-2.34810e+00,?,?,?,?,7.60000e+00,?,?,7.83000e+00,1.83500e+03,6.40000e+01,8.92773e-02,1.81122e-01,3.23466e-01,5.06618e-01,8.12567e-01,no,no
1.16000e+00,?,-2.12680e+00,?,?,?,?,1.01000e+01,?,?,?,?,?,3.53661e-02,9.91990e-02,2.32357e-01,4.54060e-01,8.14919e-01,?,yes
1.54700e+00,-1.35930e+00,?,?,?,6.50400e-05,1.77170e+00,3.55000e+01,?,?,9.37000e+00,2.39000e+02,2.04800e+00,2.43250e-02,7.97668e-02,2.12409e-01,4.59386e-01,8.47845e-01,yes,yes
1.69200e+00,-1.73270e+00,?,?,?,1.09800e-04,2.11690e+00,3.98000e+01,?,?,8.92000e+00,2.44400e+03,1.12000e+02,8.28640e-02,2.02398e-01,4.08279e-01,6.65804e-01,9.30790e-01,no,yes
3.85000e+00,-9.81000e-01,?,?,?,?,1.76340e+00,1.52000e+01,?,?,8.61000e+00,6.47000e+02,1.21600e+01,3.56824e-02,1.08463e-01,2.65136e-01,5.18273e-01,8.69925e-01,yes,no
4.10900e+00,-1.56040e+00,?,?,?,1.17100e-04,2.14060e+00,2.40000e+01,?,?,8.83000e+00,5.54000e+02,2.68800e+01,5.77652e-02,1.54407e-01,3.40195e-01,6.04896e-01,9.14813e-01,yes,no
2.29600e+00,?,-2.00010e+00,?,?,1.79400e-04,2.01130e+00,5.40000e+00,?,?,6.59000e+00,1.66000e+02,1.02400e+00,4.38734e-02,1.25147e-01,2.89047e-01,5.36701e-01,8.70017e-01,yes,yes
6.53500e-01,-8.64000e-01,?,?,?,2.55900e-05,2.07600e+00,1.75000e+01,?,?,1.10000e+01,?,5.12000e-01,1.40169e-03,4.34538e-03,1.18313e-02,3.07959e-02,1.21530e-01,yes,yes
2.71100e+00,-1.90280e+00,?,?,?,1.25100e-05,2.03680e+00,4.40000e+01,?,?,8.78000e+00,3.63000e+02,4.09600e+00,6.11277e-02,1.46599e-01,2.99483e-01,5.19938e-01,8.58780e-01,yes,yes
2.45200e+00,-1.29220e+00,?,?,?,1.24000e-04,1.81730e+00,7.85000e+01,?,?,1.02500e+01,2.60000e+02,1.02400e+00,4.39328e-02,1.28584e-01,3.03109e-01,5.66691e-01,8.94040e-01,yes,yes
2.64100e+00,-1.75220e+00,?,?,?,3.99400e-05,2.20390e+00,3.66000e+01,?,?,1.78500e+01,4.51400e+03,8.00000e+01,5.66354e-02,1.53451e-01,3.38519e-01,5.97887e-01,9.02958e-01,no,yes
4.64970e+00,-8.90200e-01,?,?,?,?,2.04450e+00,1.30000e+01,?,?,8.16000e+00,3.97000e+02,4.09600e+00,4.77577e-02,1.25617e-01,2.78609e-01,5.15954e-01,8.59135e-01,yes,no
2.77000e+00,-1.03660e+00,?,?,?,9.52700e-05,2.00690e+00,1.47600e+02,?,?,8.08000e+00,1.15000e+02,2.56000e-01,1.72983e-02,5.65464e-02,1.55269e-01,3.68410e-01,8.12793e-01,yes,yes
4.77200e+00,-1.65230e+00,?,?,?,2.55900e-05,2.21970e+00,2.33000e+01,?,?,1.04000e+01,9.28000e+02,1.21600e+01,9.43802e-02,2.27631e-01,4.47391e-01,7.00737e-01,9.38118e-01,yes,no
