@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_5 numeric
@attribute PROB_Z_GT_4 numeric
@attribute PROB_Z_GT_3 numeric
@attribute PROB_Z_GT_2 numeric
@attribute PROB_Z_GT_1 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute useless1 numeric
@data
2.2,-1.0332,?,?,?,3.753e-05,1.7746,31.1,?,?,7.49,143,1.024,0.02486,0.0817582,0.21499,0.454811,0.837496,'yes','yes',0.17720886063762
1.505,-1.5398,?,?,?,?,2.2564,49.7,?,?,8.81,224,1.024,0.058027,0.158883,0.351322,0.61464,0.910566,'yes','no',0.399148175260052
1.51,?,-2.3806,?,?,?,2.2345,13.4,?,?,7.58,187,1.024,0.0331163,0.0862009,0.192136,0.371174,0.729067,'yes','yes',0.107520104618743
2.602,-0.9507,?,?,?,0.0001218,1.9623,37.2,?,?,10.24,271,1.024,0.00929391,0.0366282,0.117212,0.314742,0.757605,'yes','yes',0.0119289150461555
0.757,-1.5558,?,?,?,?,1.8061,24.1,?,?,7.33,286,2.048,0.0756463,0.194119,0.402664,0.661859,0.925883,'yes','no',0.648439781740308
0.125,-1.9025,?,?,?,2.43e-05,1.8893,191.9,?,?,18.45,563,1.024,0.0200604,0.063965,0.17011,0.383612,0.806044,'yes','yes',0.890980940079316
0.258,-1.6403,?,?,?,?,1.5283,20.8,?,?,10.77,108,0.064,0.0126742,0.046395,0.136174,0.330306,0.742071,'yes','no',0.993408241309226
3.686,-1.9659,?,?,?,2.693e-05,1.7182,30.5,?,?,7.96,1462,64,0.0409828,0.101779,0.217178,0.40303,0.774962,'no','no',0.513863290660083
2.43,-0.7727,?,?,?,?,1.8777,47.4,?,?,8.73,240,1.024,0.0401463,0.120785,0.292031,0.555503,0.886694,'yes','yes',0.184485421283171
1.331,-1.163,?,?,?,?,1.911,76.4,?,?,25.57,2183,1.024,0.0151024,0.0534918,0.155401,0.376221,0.801266,'yes','no',0.178916903212667
1.18,?,-2.287,?,?,?,2.2253,18,?,?,9.1,189,0.512,0.0203331,0.0586255,0.145546,0.319514,0.719367,'yes','yes',0.975259630708024
0.059,?,-2.3481,?,?,?,?,7.6,?,?,7.83,1835,64,0.0892773,0.181122,0.323466,0.506618,0.812567,'no','no',0.9278047606349
1.16,?,-2.1268,?,?,?,?,10.1,?,?,?,?,?,0.0353661,0.099199,0.232357,0.45406,0.814919,?,'yes',0.62848063162528
1.547,-1.3593,?,?,?,6.504e-05,1.7717,35.5,?,?,9.37,239,2.048,0.024325,0.0797668,0.212409,0.459386,0.847845,'yes','yes',0.396432726178318
1.692,-1.7327,?,?,?,0.0001098,2.1169,39.8,?,?,8.92,2444,112,0.082864,0.202398,0.408279,0.665804,0.93079,'no','yes',0.857901412295178
3.85,-0.981,?,?,?,?,1.7634,15.2,?,?,8.61,647,12.16,0.0356824,0.108463,0.265136,0.518273,0.869925,'yes','no',0.328524827957153
4.109,-1.5604,?,?,?,0.0001171,2.1406,24,?,?,8.83,554,26.88,0.0577652,0.154407,0.340195,0.604896,0.914813,'yes','no',0.946604049997404
2.296,?,-2.0001,?,?,0.0001794,2.0113,5.4,?,?,6.59,166,1.024,0.0438734,0.125147,0.289047,0.536701,0.870017,'yes','yes',0.606170862680301
0.6535,-0.864,?,?,?,2.559e-05,2.076,17.5,?,?,11,?,0.512,0.00140169,0.00434538,0.0118313,0.0307959,0.12153,'yes','yes',0.0537825976498425
2.711,-1.9028,?,?,?,1.251e-05,2.0368,44,?,?,8.78,363,4.096,0.0611277,0.146599,0.299483,0.519938,0.85878,'yes','yes',0.211574916960672
2.452,-1.2922,?,?,?,0.000124,1.8173,78.5,?,?,10.25,260,1.024,0.0439328,0.128584,0.303109,0.566691,0.89404,'yes','yes',0.402820318005979
2.641,-1.7522,?,?,?,3.994e-05,2.2039,36.6,?,?,17.85,4514,80,0.0566354,0.153451,0.338519,0.597887,0.902958,'no','yes',0.765839534113184
4.6497,-0.8902,?,?,?,?,2.0445,13,?,?,8.16,397,4.096,0.0477577,0.125617,0.278609,0.515954,0.859135,'yes','no',0.414122027112171
2.77,-1.0366,?,?,?,9.527e-05,2.0069,147.6,?,?,8.08,115,0.256,0.0172983,0.0565464,0.155269,0.36841,0.812793,'yes','yes',0.847671518335119
4.772,-1.6523,?,?,?,2.559e-05,2.2197,23.3,?,?,10.4,928,12.16,0.0943802,0.227631,0.447391,0.700737,0.938118,'yes','no',0.202190246433020
1.497,-1.671,?,?,?,8.937e-05,2.0101,85.4,?,?,9.85,705,12.16,0.0444502,0.126068,0.293583,0.553367,0.893372,'yes','no',0.320297429570928
0.845,-1.26,?,?,?,6.028e-05,1.9986,12.6,?,?,8.57,387,4.096,0.0672015,0.177203,0.378322,0.640143,0.919468,'yes','yes',0.207725193584338
0.689,-1.0842,?,?,?,2.176e-05,1.9171,89.3,?,?,20.32,860,1.024,0.0511773,0.140844,0.319149,0.585781,0.907877,'yes','yes',0.93838587612845
2.03,?,-2.0098,?,?,2.395e-05,2.1024,20.5,?,?,8.51,242,1.024,0.0544613,0.141504,0.306831,0.547973,0.871854,'yes','no',0.778450923739001
2.145,-1.0514,?,?,?,3.638e-05,1.7495,100.3,?,?,22.19,1245,0.512,0.00907489,0.0362426,0.114982,0.30185,0.731597,'yes','no',0.764469752088189
0.422,-1.3283,?,?,?,5.242e-05,1.9686,19.9,?,?,7.61,1450,72,0.0512637,0.144508,0.328505,0.591575,0.90218,'no','no',0.0447205514647067
1.71,-1.5861,?,?,?,3.886e-05,1.8295,18.6,?,?,8.05,206,1.024,0.0443109,0.128117,0.298919,0.556056,0.884128,'yes','yes',0.116157933138311
2.1,-1.4359,?,?,?,6.028e-05,2.0223,80.3,?,?,7.56,187,1.024,0.0575577,0.158196,0.353578,0.625533,0.919728,'yes','yes',0.905564696295187
2.954,-1.7048,?,?,?,2.118e-05,2.0629,30.4,?,?,10.52,600,4.096,0.0875329,0.216848,0.4362,0.695007,0.938412,'yes','yes',0.154017925029621
0.348,?,-3.073,?,?,9.431e-06,1.9209,5.4,?,?,14.21,4775,128,0.027668,0.0688052,0.150119,0.29503,0.673159,'no','yes',0.212561859749258
4.27,-1.4072,?,?,?,9.087e-05,2.0258,21.8,?,?,10,?,2.048,0.0523922,0.147656,0.334419,0.597405,0.903208,'yes','no',0.776107167592272
6.6,-1.3997,?,?,?,?,2.1942,11.5,?,?,6.58,454,16.384,0.0518948,0.145486,0.328473,0.588253,0.898535,'yes','no',0.243395982077345
3.53,-1.1476,?,?,?,?,2.1864,27.4,?,?,10.48,775,8.192,0.0910875,0.217816,0.430556,0.686339,0.934499,'yes','no',0.205142712453380
0.767,-1.7404,?,?,?,4.772e-05,2.0446,52.7,?,?,10.83,262,0.512,0.0354683,0.10734,0.261613,0.510469,0.86172,'yes','yes',0.64414474600926
0.5295,-1.3529,?,?,?,3.431e-05,2.1188,19.6,?,?,9.43,221,1.024,0.00895126,0.0255989,0.0642216,0.150126,0.478981,'yes','yes',0.0546697471290827
1.9685,-1.3028,?,?,?,4.207e-05,2.0758,50.7,?,?,10,382,2.048,0.0834827,0.206132,0.418599,0.682072,0.938463,'yes','yes',0.199151854962111
