@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_5 numeric
@attribute PROB_Z_GT_4 numeric
@attribute PROB_Z_GT_3 numeric
@attribute PROB_Z_GT_2 numeric
@attribute PROB_Z_GT_1 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@data
2.2,-1.0332,?,?,?,3.753e-05,1.7746,31.1,?,?,7.49,143,1.024,0.02486,0.0817582,0.21499,0.454811,0.837496,'yes','yes',0.166537217330188,0.197106173960492,0.551931309979409,0.943342394661158,0.862129770452157,0.712476016487926,0.869565341854468,0.166326452046633,0.166824927553535,0.340881345793605
1.505,-1.5398,?,?,?,?,2.2564,49.7,?,?,8.81,224,1.024,0.058027,0.158883,0.351322,0.61464,0.910566,'yes','no',0.632441381923854,0.889192670350894,0.299167418386787,0.532811414217576,0.495697397738695,0.0773280300199986,0.351194339571521,0.0710369870066643,0.249234110116959,0.65295449225232
1.51,?,-2.3806,?,?,?,2.2345,13.4,?,?,7.58,187,1.024,0.0331163,0.0862009,0.192136,0.371174,0.729067,'yes','yes',0.913889207411557,0.318829321535304,0.180326443165541,0.864984858315438,0.138255241326988,0.146055066259578,0.93552484898828,0.778446923010051,0.918007371248677,0.953120367601514
2.602,-0.9507,?,?,?,0.0001218,1.9623,37.2,?,?,10.24,271,1.024,0.00929391,0.0366282,0.117212,0.314742,0.757605,'yes','yes',0.357258817413822,0.648102489998564,0.963862256146967,0.689856194192544,0.0318899396806955,0.415412866743281,0.384342270670459,0.346847352571785,0.215223554521799,0.297989692771807
0.757,-1.5558,?,?,?,?,1.8061,24.1,?,?,7.33,286,2.048,0.0756463,0.194119,0.402664,0.661859,0.925883,'yes','no',0.442611071048304,0.264626473421231,0.921611479949206,0.349828768987209,0.862246105913073,0.482167540583760,0.185374682070687,0.264295217581093,0.773102918406948,0.0188296376727521
0.125,-1.9025,?,?,?,2.43e-05,1.8893,191.9,?,?,18.45,563,1.024,0.0200604,0.063965,0.17011,0.383612,0.806044,'yes','yes',0.86773219681345,0.0933198863640428,0.790852554142475,0.71992063568905,0.287297408329323,0.876705640926957,0.513440848561004,0.975017490331084,0.847947136033326,0.158021636307240
0.258,-1.6403,?,?,?,?,1.5283,20.8,?,?,10.77,108,0.064,0.0126742,0.046395,0.136174,0.330306,0.742071,'yes','no',0.0858941858168691,0.916246309643611,0.060168320313096,0.890863871434703,0.590110047953203,0.711378051433712,0.649801953695714,0.312378919683397,0.19590235943906,0.541620271047577
3.686,-1.9659,?,?,?,2.693e-05,1.7182,30.5,?,?,7.96,1462,64,0.0409828,0.101779,0.217178,0.40303,0.774962,'no','no',0.819426537724212,0.0764232091605663,0.639059063280001,0.0244427511934191,0.0531424768269062,0.299093790818006,0.815421875333413,0.222339080646634,0.417659744620323,0.859464942244813
2.43,-0.7727,?,?,?,?,1.8777,47.4,?,?,8.73,240,1.024,0.0401463,0.120785,0.292031,0.555503,0.886694,'yes','yes',0.120461560785770,0.621052385307848,0.314494879217818,0.353988372487947,0.392740780254826,0.593046444701031,0.0931884585879743,0.942668147850782,0.704302974976599,0.53570287534967
1.331,-1.163,?,?,?,?,1.911,76.4,?,?,25.57,2183,1.024,0.0151024,0.0534918,0.155401,0.376221,0.801266,'yes','no',0.455845240270719,0.505488171475008,0.191110903397202,0.190386387519538,0.361846092855558,0.708054701797664,0.239191928179935,0.384184357244521,0.563989777350798,0.208239176310599
1.18,?,-2.287,?,?,?,2.2253,18,?,?,9.1,189,0.512,0.0203331,0.0586255,0.145546,0.319514,0.719367,'yes','yes',0.112401728983968,0.358788075856864,0.180948461405933,0.157993754837662,0.443648529937491,0.0614734450355172,0.198593897279352,0.55598485050723,0.46291909692809,0.172303503844887
0.059,?,-2.3481,?,?,?,?,7.6,?,?,7.83,1835,64,0.0892773,0.181122,0.323466,0.506618,0.812567,'no','no',0.968181868083775,0.44057838129811,0.960907044121996,0.787248109700158,0.81015615328215,0.539940112736076,0.0662572074215859,0.168508835369721,0.513541801134124,0.247749952133745
1.16,?,-2.1268,?,?,?,?,10.1,?,?,?,?,?,0.0353661,0.099199,0.232357,0.45406,0.814919,?,'yes',0.680156934540719,0.539681948255748,0.708840410225093,0.395604759687558,0.172036701114848,0.699956300435588,0.772038840455934,0.0187845814507455,0.355431461939588,0.528155593667179
