@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute MAX_SNR numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_is_rate_trig_binary numeric
@attribute bat_trigger_dur numeric
@attribute uvot_detection_binary numeric
@attribute PROB_Z_GT_4 numeric
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@data
2.2,-1.0332,164.629,9.0185e-06,3.753e-05,31.1,61.74,7.49,143,1,1.024,1,0.0817582,'319016',0.398426823318005,0.308689110912383,0.55596487573348,0.543054933892563,0.83824561117217,0.0760426074266434,0.51419896283187,0.52575653931126,0.395632452564314,0.251522838370875,0.866127513581887,0.639638499589637,0.0864349068142474,0.608135941438377,0.60380145884119,0.796759514603764
1.505,-1.5398,151.04,4.47e-06,?,49.7,111.84,8.81,224,1,1.024,0,0.158883,'319036',0.309011771110818,0.0849257004447281,0.0487120139878243,0.162459917599335,0.464628836605698,0.470283617265522,0.60473060188815,0.0496138280723244,0.257186130387709,0.243440585210919,0.609752606833354,0.351958461338654,0.233616648009047,0.954354234971106,0.117796852951869,0.436938341939822
1.51,?,27.8861,4.4103e-07,?,13.4,66.1,7.58,187,1,1.024,1,0.0862009,'308041',0.577504060231149,0.437823178945109,0.885080370120704,0.787812914699316,0.419601316563785,0.333256862824783,0.100319260498509,0.173774537397549,0.406340434448794,0.835352088324726,0.753269117558375,0.133870869642124,0.398977562086657,0.938436044147238,0.44961858773604,0.0533315890934318
2.602,-0.9507,283.284,3.4109e-05,0.0001218,37.2,29.92,10.24,271,1,1.024,1,0.0366282,'317508',0.667385577689856,0.7014875842724,0.361469194991514,0.796891566831619,0.909913805080578,0.434215500717983,0.97007200634107,0.0522271473892033,0.114231173647568,0.370624976465479,0.887134812772274,0.876100104069337,0.349052242934704,0.131551066180691,0.937296364223585,0.320323819993064
0.757,-1.5558,76.6923,2.0145e-06,?,24.1,47.04,7.33,286,1,2.048,0,0.194119,'238108',0.662268766900524,0.568117487244308,0.87508534011431,0.448205070337281,0.456504961708561,0.784111107699573,0.906540281139314,0.578457295661792,0.651475394377485,0.0319123263470829,0.340119477827102,0.95610752585344,0.564854159019887,0.718809170415625,0.875059204176068,0.509596835821867
0.125,-1.9025,208.241,2.8219e-05,2.43e-05,191.9,108.8,18.45,563,1,1.024,1,0.063965,'214805',0.0132807409390807,0.415980505058542,0.0386803818400949,0.678831092081964,0.279690006515011,0.308728271396831,0.719941516639665,0.953890215372667,0.881333939731121,0.610552325379103,0.996748115168884,0.768965711817145,0.637546368176118,0.535388708347455,0.0007010402623564,0.856452600797638
3.686,-1.9659,?,3.5575e-06,2.693e-05,30.5,72.96,7.96,1462,0,64,0,0.101779,'228316',0.283369204495102,0.828596568200737,0.0716169006191194,0.973521909443662,0.643330316059291,0.676603993168101,0.922987663652748,0.625513625564054,0.56747259083204,0.530985890887678,0.777484470279887,0.816648193635046,0.182132795220241,0.48276767344214,0.660168217495084,0.513102936558425
2.43,-0.7727,?,4.1281e-06,?,47.4,18.48,8.73,240,1,1.024,1,0.120785,'228581',0.30721218441613,0.983578078681603,0.285688531119376,0.193728539394215,0.0992922673467547,0.757113881641999,0.798826219979674,0.82082052808255,0.594525854103267,0.452938927104697,0.632151141995564,0.565933256177232,0.393231220776215,0.343179387738928,0.836683158762753,0.205037138890475
1.331,-1.163,?,3.4001e-06,?,76.4,6.48,25.57,2183,1,1.024,0,0.0534918,'296805',0.0739281813148409,0.856155300047249,0.636998296016827,0.0830085878260434,0.36020460492,0.826740671182051,0.217331339372322,0.432571159675717,0.0334621106740087,0.9372562286444,0.120641624322161,0.44628510158509,0.328851230209693,0.194463985739276,0.448386660311371,0.0411888258531690
1.18,?,36.1062,2.5124e-07,?,18,4.3,9.1,189,1,0.512,1,0.0586255,'416103',0.354115953436121,0.453849150799215,0.26383239752613,0.405618584016338,0.000754001550376415,0.408611400984228,0.884026088519022,0.199222562136129,0.767994856694713,0.757110502338037,0.0838554159272462,0.570755124092102,0.593863943358883,0.406012882012874,0.474035886581987,0.833195655839518
