@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute MAX_SNR numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_is_rate_trig_binary numeric
@attribute bat_trigger_dur numeric
@attribute uvot_detection_binary numeric
@attribute PROB_Z_GT_4 numeric
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@data
2.2,-1.0332,164.629,9.0185e-06,3.753e-05,31.1,61.74,7.49,143,1,1.024,1,0.0817582,'319016',0.803943535778672,0.148988497443497
1.505,-1.5398,151.04,4.47e-06,?,49.7,111.84,8.81,224,1,1.024,0,0.158883,'319036',0.498529315460473,0.252883732551709
1.51,?,27.8861,4.4103e-07,?,13.4,66.1,7.58,187,1,1.024,1,0.0862009,'308041',0.50958692538552,0.353615588508546
2.602,-0.9507,283.284,3.4109e-05,0.0001218,37.2,29.92,10.24,271,1,1.024,1,0.0366282,'317508',0.488380117341876,0.548023506300524
0.757,-1.5558,76.6923,2.0145e-06,?,24.1,47.04,7.33,286,1,2.048,0,0.194119,'238108',0.407467649085447,0.96521360706538
0.125,-1.9025,208.241,2.8219e-05,2.43e-05,191.9,108.8,18.45,563,1,1.024,1,0.063965,'214805',0.93511890526861,0.357869346160442
3.686,-1.9659,?,3.5575e-06,2.693e-05,30.5,72.96,7.96,1462,0,64,0,0.101779,'228316',0.278484726557508,0.403956391615793
2.43,-0.7727,?,4.1281e-06,?,47.4,18.48,8.73,240,1,1.024,1,0.120785,'228581',0.156561919255182,0.60575089044869
1.331,-1.163,?,3.4001e-06,?,76.4,6.48,25.57,2183,1,1.024,0,0.0534918,'296805',0.261937620351091,0.83683905354701
1.18,?,36.1062,2.5124e-07,?,18,4.3,9.1,189,1,0.512,1,0.0586255,'416103',0.124016350600868,0.479795812629163
0.059,?,32.4207,2.2302e-06,?,7.6,422,7.83,1835,0,64,0,0.181122,'416135',3.1858216971159e-05,0.508558618137613
1.16,?,41.9671,2.0585e-07,?,10.1,5.34,?,?,?,?,1,0.099199,'279592',0.241968764690682,0.572224193019792
1.547,-1.3593,182.27,1.4244e-05,6.504e-05,35.5,30.69,9.37,239,1,2.048,1,0.0797668,'338895',0.364946800982580,0.410465491237119
1.692,-1.7327,63.3245,3.9593e-06,0.0001098,39.8,284.9,8.92,2444,0,112,1,0.202398,'326115',0.84814272262156,0.302027655998245
3.85,-0.981,128.993,3.254e-06,?,15.2,81.77,8.61,647,1,12.16,0,0.108463,'352648',0.533403506269678,0.258211732842028
4.109,-1.5604,101.184,1.4903e-05,0.0001171,24,228.48,8.83,554,1,26.88,0,0.154407,'352190',0.597716907039285,0.832450350280851
2.296,?,29.6428,4.7567e-07,0.0001794,5.4,8.16,6.59,166,1,1.024,1,0.125147,'178750',0.9467794818338,0.748249984811991
0.6535,-0.864,24.1774,3.5115e-07,2.559e-05,17.5,2.91,11,?,1,0.512,1,0.00434538,'114753',0.898127927677706,0.380291240056977
2.711,-1.9028,?,4.2985e-06,1.251e-05,44,118.72,8.78,363,1,4.096,1,0.146599,'219101',0.788763722404838,0.44980596145615
2.452,-1.2922,151.459,1.1726e-05,0.000124,78.5,99.76,10.25,260,1,1.024,1,0.128584,'359711',0.68489845097065,0.271102972561494
2.641,-1.7522,90.0227,2.7375e-06,3.994e-05,36.6,43.89,17.85,4514,0,80,1,0.153451,'302888',0.351616866886616,0.255813605850562
4.6497,-0.8902,44.9122,1.9228e-07,?,13,10.68,8.16,397,1,4.096,0,0.125617,'342121',0.380419766996056,0.333457693457603
2.77,-1.0366,?,7.3056e-06,9.527e-05,147.6,33.48,8.08,115,1,0.256,1,0.0565464,'337914',0.203104107640684,0.956658801762387
4.772,-1.6523,64.5207,2.0753e-06,2.559e-05,23.3,65.1,10.4,928,1,12.16,0,0.227631,'421814',0.167537298286334,0.272683816961944
2.58,?,51.8109,1.5737e-06,?,19.8,66.55,?,?,?,?,0,0.153556,'334877',0.927201136248186,0.133493667235598
1.497,-1.671,105.029,9.0434e-06,8.937e-05,85.4,261.36,9.85,705,1,12.16,0,0.126068,'263361',0.864459085511044,0.699496854562312
0.845,-1.26,80.5384,3.2424e-06,6.028e-05,12.6,139.05,8.57,387,1,4.096,1,0.177203,'316534',0.936985530192032,0.97038311813958
0.689,-1.0842,?,5.551e-06,2.176e-05,89.3,62.53,20.32,860,1,1.024,1,0.140844,'324895',0.481042294297367,0.577951587969437
