@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_5 numeric
@attribute PROB_Z_GT_4 numeric
@attribute PROB_Z_GT_3 numeric
@attribute PROB_Z_GT_2 numeric
@attribute PROB_Z_GT_1 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@attribute useless17 numeric
@attribute useless18 numeric
@attribute useless19 numeric
@attribute useless20 numeric
@data
2.2,-1.0332,?,?,?,3.753e-05,1.7746,31.1,?,?,7.49,143,1.024,0.02486,0.0817582,0.21499,0.454811,0.837496,'yes','yes',0.847342489752918,0.446389854885638,0.406705644680187,0.596256828866899,0.787931001046672,0.173059870954603,0.983668202068657,0.916289868298918,0.834504675352946,0.406579950125888,0.945856096921489,0.79806254664436,0.0512552699074149,0.416886327555403,0.780603700783104,0.0835736463777721,0.0122318717185408,0.485454940237105,0.95030408515595,0.385385027620941
1.505,-1.5398,?,?,?,?,2.2564,49.7,?,?,8.81,224,1.024,0.058027,0.158883,0.351322,0.61464,0.910566,'yes','no',0.950453098164871,0.148023093584925,0.00429013511165977,0.0855377726256847,0.328737897099927,0.000564120477065444,0.383328380528837,0.910899765323848,0.169579298468307,0.177366542164236,0.534147983649746,0.83278533210978,0.550650717457756,0.937745769275352,0.109411196084693,0.9785132992547,0.308816707693040,0.92514684307389,0.469867324223742,0.64086011517793
1.51,?,-2.3806,?,?,?,2.2345,13.4,?,?,7.58,187,1.024,0.0331163,0.0862009,0.192136,0.371174,0.729067,'yes','yes',0.164074357831851,0.886001411825418,0.464573245262727,0.874264545273036,0.546428794274107,0.204687493154779,0.196066860575229,0.289240931393579,0.0460991610307246,0.781816167291254,0.372129069874063,0.72583979438059,0.142011282267049,0.820665882900357,0.555675322888419,0.121530509786680,0.158650927711278,0.35275488300249,0.814656710019335,0.429974460741505
2.602,-0.9507,?,?,?,0.0001218,1.9623,37.2,?,?,10.24,271,1.024,0.00929391,0.0366282,0.117212,0.314742,0.757605,'yes','yes',0.227254436351359,0.458780783694237,0.348099051276222,0.318947652587667,0.213885165052488,0.984830181114376,0.0263165570795536,0.914521339116618,0.508488179882988,0.950628593331203,0.967243069084361,0.800452260533348,0.989602874498814,0.907107976032421,0.675629599485546,0.225021026097238,0.498658637516201,0.664413220714778,0.549248190363869,0.473760145017877
0.757,-1.5558,?,?,?,?,1.8061,24.1,?,?,7.33,286,2.048,0.0756463,0.194119,0.402664,0.661859,0.925883,'yes','no',0.565988163929433,0.870852893451229,0.995184713508934,0.583831439726055,0.392695817397907,0.0793714530300349,0.985843100585043,0.750644038897008,0.968171876855195,0.415874456055462,0.345117472112179,0.415041535161436,0.436352190095931,0.533518894808367,0.582911928882822,0.270184311084449,0.266063762828708,0.249419288011268,0.893850862048566,0.124766783788800
0.125,-1.9025,?,?,?,2.43e-05,1.8893,191.9,?,?,18.45,563,1.024,0.0200604,0.063965,0.17011,0.383612,0.806044,'yes','yes',0.190394608536735,0.0952188342344016,0.988678885158151,0.524220753228292,0.161082626553252,0.515765745891258,0.0565250108484179,0.419682374224067,0.0870495659764856,0.733081238111481,0.69189640483819,0.804931385908276,0.269457921152934,0.629176287446171,0.145778235513717,0.660894483327866,0.800652823643759,0.967911540297791,0.208543431013823,0.181879317853600
0.258,-1.6403,?,?,?,?,1.5283,20.8,?,?,10.77,108,0.064,0.0126742,0.046395,0.136174,0.330306,0.742071,'yes','no',0.441546896006912,0.690647879149765,0.405165522592142,0.267075526062399,0.0931858089752495,0.547438195673749,0.53543099667877,0.790382040198892,0.824279337422922,0.0370201116893440,0.726030139951035,0.929234447423369,0.512535189744085,0.954088700702414,0.829023948404938,0.555988801876083,0.694422186119482,0.85675730346702,0.102141062729061,0.236775118857622
3.686,-1.9659,?,?,?,2.693e-05,1.7182,30.5,?,?,7.96,1462,64,0.0409828,0.101779,0.217178,0.40303,0.774962,'no','no',0.861030061496422,0.382372286636382,0.969175842124969,0.278356612194330,0.420729013858363,0.337546890135854,0.245109355775639,0.231917286291718,0.530890628462657,0.914799821097404,0.750196950277314,0.511694521876052,0.452919220086187,0.743072320707142,0.822232617763802,0.473226428497583,0.62319464655593,0.791415507439524,0.859080059221014,0.419552740873769
2.43,-0.7727,?,?,?,?,1.8777,47.4,?,?,8.73,240,1.024,0.0401463,0.120785,0.292031,0.555503,0.886694,'yes','yes',0.511833427473903,0.211512421257794,0.902450194116682,0.820601342711598,0.260530422441661,0.466304376255721,0.926194548839703,0.218807122902945,0.421175559051335,0.097841642331332,0.443300617625937,0.633786759339273,0.754137975163758,0.869279856327921,0.321592064108700,0.270172393415123,0.728117528837174,0.643045254051685,0.109489926602691,0.933961193542928
1.331,-1.163,?,?,?,?,1.911,76.4,?,?,25.57,2183,1.024,0.0151024,0.0534918,0.155401,0.376221,0.801266,'yes','no',0.103854350745678,0.738686995347962,0.290993510046974,0.560197149403393,0.863022323232144,0.748436616035178,0.0184872813988477,0.654276405693963,0.419591744197533,0.545204599620774,0.984891013009474,0.692838649032637,0.571771030314267,0.639982938300818,0.428809392265975,0.922299658879638,0.183777154656127,0.888486862648278,0.411486206110567,0.857771207811311
