@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_5 numeric
@attribute PROB_Z_GT_4 numeric
@attribute PROB_Z_GT_3 numeric
@attribute PROB_Z_GT_2 numeric
@attribute PROB_Z_GT_1 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@attribute useless17 numeric
@attribute useless18 numeric
@attribute useless19 numeric
@attribute useless20 numeric
@attribute useless21 numeric
@attribute useless22 numeric
@attribute useless23 numeric
@attribute useless24 numeric
@attribute useless25 numeric
@attribute useless26 numeric
@attribute useless27 numeric
@attribute useless28 numeric
@attribute useless29 numeric
@attribute useless30 numeric
@data
2.2,-1.0332,?,?,?,3.753e-05,1.7746,31.1,?,?,7.49,143,1.024,0.02486,0.0817582,0.21499,0.454811,0.837496,'yes','yes',0.681861708173528,0.614196586189792,0.350406193407252,0.764187787193805,0.878086088458076,0.038827019976452,0.496214743005112,0.514871880412102,0.213332156185061,0.195538931526244,0.628061451483518,0.60644238232635,0.675331351580098,0.135098633589223,0.128886474529281,0.458999966038391,0.534020208055153,0.844871536595747,0.876499159028754,0.0878543651197106,0.169907021103427,0.308696944033727,0.78979394142516,0.0818738243542612,0.20681682927534,0.00898178806528449,0.556978103937581,0.459219318116084,0.807591270422563,0.681581053417176
1.505,-1.5398,?,?,?,?,2.2564,49.7,?,?,8.81,224,1.024,0.058027,0.158883,0.351322,0.61464,0.910566,'yes','no',0.0450207116082311,0.267862206790596,0.634614752372727,0.0521871177479625,0.470684124389663,0.280619168654084,0.99858578457497,0.9905405419413,0.306094433413818,0.132129313191399,0.907252585981041,0.265330478083342,0.985050715273246,0.455099297687411,0.69110237620771,0.280611166497692,0.980649248464033,0.679371239850298,0.0542584080249071,0.335938762174919,0.541189157869667,0.784648613072932,0.281909079523757,0.017084440914914,0.201061307219788,0.374568566447124,0.970654806820676,0.10665142419748,0.0963564200792462,0.775595497805625
1.51,?,-2.3806,?,?,?,2.2345,13.4,?,?,7.58,187,1.024,0.0331163,0.0862009,0.192136,0.371174,0.729067,'yes','yes',0.961945028742775,0.835310795111582,0.903630773769692,0.417643559863791,0.62508662766777,0.362151989480481,0.834618708817288,0.840161549160257,0.869798373430967,0.417688888963312,0.475765177980065,0.609965121373534,0.777927916729823,0.473992116050795,0.162857688264921,0.802952327765524,0.546618270222098,0.97305008303374,0.65088081243448,0.99273594119586,0.66607268853113,0.456833068281412,0.960122952936217,0.335994363995269,0.237611609278247,0.552671576850116,0.174430575454608,0.0173805947415531,0.972935060271993,0.310882000951096
2.602,-0.9507,?,?,?,0.0001218,1.9623,37.2,?,?,10.24,271,1.024,0.00929391,0.0366282,0.117212,0.314742,0.757605,'yes','yes',0.870529948966578,0.0498824589885771,0.214205121155828,0.29654888715595,0.695770920719951,0.82480506110005,0.901264559244737,0.915296852588654,0.403249338967726,0.693434016546234,0.847323968540877,0.848749179858714,0.350924166385084,0.96537689329125,0.522382613969967,0.892113270470873,0.747024467913434,0.540934429736808,0.666008594445884,0.899381380761042,0.968167640501633,0.810391508741304,0.0757163902744651,0.733407254796475,0.284589243121445,0.0472287125885487,0.73167259269394,0.418091136729345,0.661183750722557,0.473505728878081
0.757,-1.5558,?,?,?,?,1.8061,24.1,?,?,7.33,286,2.048,0.0756463,0.194119,0.402664,0.661859,0.925883,'yes','no',0.983810469973832,0.706390720093623,0.474510364467278,0.928035775432363,0.589305835077539,0.245232508052140,0.245315400883555,0.97641841485165,0.418040827615187,0.0321155842393637,0.706788746407256,0.169494872447103,0.90999790164642,0.0638634513597935,0.97926025139168,0.965081993257627,0.468086748151109,0.951030032942072,0.49646065174602,0.867160713300109,0.419420358957723,0.240671989740804,0.767277271021158,0.954857564996928,0.659084937302396,0.843194590415806,0.0767454609740525,0.193969249492511,0.0321315960027277,0.58153680106625
0.125,-1.9025,?,?,?,2.43e-05,1.8893,191.9,?,?,18.45,563,1.024,0.0200604,0.063965,0.17011,0.383612,0.806044,'yes','yes',0.655413715634495,0.744974740082398,0.255723737413064,0.302781629841775,0.906460174592212,0.159399661002681,0.195344981271774,0.843462663702667,0.554175819037482,0.47802423639223,0.488509765593335,0.196408642223105,0.31394299515523,0.607169677969068,0.338423907291144,0.819737102137879,0.162542746867985,0.852786280913278,0.75399716780521,0.682010247604921,0.444790130015463,0.64619608502835,0.605608243262395,0.278735646512359,0.607711509335786,0.975963242119178,0.211978885810822,0.519833814352751,0.091488776030019,0.715366490883753
0.258,-1.6403,?,?,?,?,1.5283,20.8,?,?,10.77,108,0.064,0.0126742,0.046395,0.136174,0.330306,0.742071,'yes','no',0.551942643010989,0.734072886174545,0.940553004853427,0.61171112046577,0.147700626403093,0.492880624253303,0.60800909390673,0.557034130208194,0.319717196980491,0.206308709923178,0.060278570279479,0.971311246510595,0.363322620047256,0.685139120323583,0.765667365398258,0.00156480283476412,0.590466177556664,0.99655493418686,0.0996003355830908,0.769172570900992,0.713752877898514,0.495765062980354,0.306138637010008,0.783293181564659,0.899069044273347,0.611920163268223,0.506573087535799,0.852169485762715,0.252823358401656,0.93155018100515
3.686,-1.9659,?,?,?,2.693e-05,1.7182,30.5,?,?,7.96,1462,64,0.0409828,0.101779,0.217178,0.40303,0.774962,'no','no',0.981043186970055,0.619337800191715,0.637307478347793,0.203870603581890,0.354514102451503,0.84560629609041,0.566254850011319,0.790253225713968,0.353097535902634,0.664719160879031,0.422768712509423,0.689023615792394,0.374821451725438,0.299723660806194,0.105953032616526,0.474197776289657,0.261948817176744,0.407889090944082,0.585830088704824,0.524053543340415,0.0441752846818417,0.93484079116024,0.225745172705501,0.584802308119833,0.0784580172039568,0.376653007697314,0.527153498725966,0.487145927036181,0.191561535932124,0.676172036444768
2.43,-0.7727,?,?,?,?,1.8777,47.4,?,?,8.73,240,1.024,0.0401463,0.120785,0.292031,0.555503,0.886694,'yes','yes',0.636101190466434,0.715933137806132,0.624011707026511,0.389738810481504,0.652125811204314,0.669724410865456,0.976771354209632,0.343927541049197,0.348705821903422,0.0214837256353348,0.441827911417931,0.932951979571953,0.96465399558656,0.49478001636453,0.518093400634825,0.270231407601386,0.194607544690371,0.255958305671811,0.199863399378955,0.20635146740824,0.200652987230569,0.892545390175655,0.291188497329131,0.600200722692534,0.0801116826478392,0.230913331964985,0.720864515285939,0.598677467554808,0.703511230414733,0.461512990528718
1.331,-1.163,?,?,?,?,1.911,76.4,?,?,25.57,2183,1.024,0.0151024,0.0534918,0.155401,0.376221,0.801266,'yes','no',0.552740682382137,0.97788560623303,0.0090708201751113,0.604659069795161,0.282203665236011,0.0189491934143007,0.170904515543953,0.778298600576818,0.00793269998393953,0.367749985540286,0.212549704825506,0.388532953802496,0.130458952626213,0.250353059032932,0.576546241994947,0.437902138568461,0.37005846388638,0.878468638751656,0.861197596881539,0.120524311438203,0.471616863505915,0.00105522456578910,0.298187738517299,0.582403704989702,0.221538835437968,0.611077836714685,0.626608235994354,0.99800326116383,0.264153885655105,0.411843469133601
