@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute MAX_SNR numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_is_rate_trig_binary numeric
@attribute bat_trigger_dur numeric
@attribute uvot_detection_binary numeric
@attribute PROB_Z_GT_4 numeric
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@attribute useless17 numeric
@attribute useless18 numeric
@attribute useless19 numeric
@attribute useless20 numeric
@attribute useless21 numeric
@attribute useless22 numeric
@attribute useless23 numeric
@attribute useless24 numeric
@attribute useless25 numeric
@attribute useless26 numeric
@attribute useless27 numeric
@attribute useless28 numeric
@attribute useless29 numeric
@attribute useless30 numeric
@attribute useless31 numeric
@attribute useless32 numeric
@data
2.2,-1.0332,164.629,9.0185e-06,3.753e-05,31.1,61.74,7.49,143,1,1.024,1,0.0817582,'319016',0.821376427542418,0.87798038800247,0.0513844029046595,0.818153261439875,0.659875020151958,0.656009163707495,0.609856121009216,0.709363446570933,0.220427451189607,0.993422018829733,0.479776152642444,0.881232875864953,0.375328986207023,0.0360719244927168,0.199903936590999,0.897431040648371,0.876167190959677,0.461077378131449,0.024930048501119,0.42364250915125,0.152684362139553,0.0135190216824412,0.180194556945935,0.0433822670020163,0.413104498991743,0.389741476159543,0.399476731894538,0.288583637215197,0.83168290485628,0.220605300972238,0.905799006810412,0.783679499756545
1.505,-1.5398,151.04,4.47e-06,?,49.7,111.84,8.81,224,1,1.024,0,0.158883,'319036',0.191578401718289,0.126029244856909,0.0863564924802631,0.161786487558857,0.688458299729973,0.0127934110350907,0.0617373965214938,0.473325374769047,0.368499738164246,0.387634938349947,0.858500645728782,0.889364628586918,0.386452607810497,0.353918747277930,0.748262952780351,0.471537883626297,0.641733905067667,0.448654978303239,0.317855948349461,0.729456925066188,0.94136233953759,0.106701847165823,0.167377874953672,0.869183604838327,0.996355140116066,0.289732440141961,0.125701437005773,0.286791773512959,0.86195415025577,0.789301578188315,0.74474902334623,0.133051999146119
1.51,?,27.8861,4.4103e-07,?,13.4,66.1,7.58,187,1,1.024,1,0.0862009,'308041',0.50747462012805,0.743010120699182,0.807773840846494,0.327842257684097,0.342808227054775,0.137673030840233,0.73610375658609,0.272109916899353,0.391194825293496,0.744144751224667,0.244507073657587,0.242950365180150,0.625102501595393,0.429301543394104,0.346926497528329,0.169674607459456,0.811230830615386,0.900111046852544,0.840094137704,0.0988811561837792,0.758642818778753,0.276536524761468,0.69146030396223,0.662134583573788,0.952434686245397,0.303247741656378,0.143991730874404,0.540399491088465,0.895622668089345,0.312117628986016,0.754471056628972,0.674156810389832
2.602,-0.9507,283.284,3.4109e-05,0.0001218,37.2,29.92,10.24,271,1,1.024,1,0.0366282,'317508',0.820416404632851,0.0738796575460583,0.197863128734753,0.401713913772255,0.59016006346792,0.0561433862894773,0.0735030830837786,0.262467304943129,0.493320144480094,0.320224879775196,0.670820029918104,0.430045424960554,0.83925467566587,0.128640844253823,0.107884393073618,0.814965191064402,0.975671139312908,0.458177323685959,0.634061321150512,0.613697592634708,0.0357112577185035,0.957698959391564,0.257228445727378,0.764059112407267,0.137155168224126,0.182607115712017,0.45456463820301,0.652457575080916,0.0466650451999158,0.353096363367513,0.0099209405016154,0.33770462940447
0.757,-1.5558,76.6923,2.0145e-06,?,24.1,47.04,7.33,286,1,2.048,0,0.194119,'238108',0.82003554305993,0.116341691231355,0.709838149137795,0.277796579757705,0.0870052059181035,0.212931933579966,0.94458769983612,0.643788432469591,0.905036513926461,0.629116983152926,0.734854723326862,0.9250684811268,0.272670696023852,0.538239680929109,0.86726717883721,0.189501773333177,0.061144775711,0.85614494024776,0.00131839560344815,0.398056843783706,0.455510926665738,0.601067405892536,0.186062540626153,0.453424284234643,0.125809743301943,0.943545198300853,0.339487733319402,0.51829784293659,0.905681304633617,0.371087564621121,0.420374615117908,0.488807380432263
0.125,-1.9025,208.241,2.8219e-05,2.43e-05,191.9,108.8,18.45,563,1,1.024,1,0.063965,'214805',0.842044102959335,0.436099638463929,0.375328294700012,0.607955480692908,0.581099941860884,0.0335627056192607,0.285621283808723,0.0315344003029168,0.98456548107788,0.766197971068323,0.318085609702393,0.0700763205531985,0.520206212066114,0.856011191383004,0.735039739869535,0.284856929210946,0.8206597995013,0.251685135997832,0.754415548872203,0.66434263670817,0.565113295568153,0.95048907934688,0.614254478132352,0.587312031304464,0.286500581772998,0.451871199766174,0.467060348019004,0.703224799828604,0.463613033061847,0.133861266542226,0.321975321974605,0.155074078124017
3.686,-1.9659,?,3.5575e-06,2.693e-05,30.5,72.96,7.96,1462,0,64,0,0.101779,'228316',0.617427465040237,0.81565691367723,0.247328449971974,0.0802687003742903,0.780396207468584,0.633408789290115,0.45367921423167,0.583902072859928,0.291701978538185,0.09743318031542,0.355943955481052,0.986888194689527,0.938460797537118,0.0446040176320821,0.806328700855374,0.297764027956873,0.934914313722402,0.58029101206921,0.125580913852900,0.856235682731494,0.980812036199495,0.739998592296615,0.876726718852296,0.116266272030771,0.791996248532087,0.339514788240194,0.949296785052866,0.0378319446463138,0.322218869347125,0.810644181678072,0.701008584117517,0.96522520040162
2.43,-0.7727,?,4.1281e-06,?,47.4,18.48,8.73,240,1,1.024,1,0.120785,'228581',0.442231095395982,0.309010372962803,0.529244267381728,0.37527680862695,0.853925797622651,0.424830236006528,0.196225221501663,0.34520993498154,0.42904547881335,0.683667259756476,0.444186692591757,0.141722792526707,0.188822334865108,0.188879993744195,0.0984929203987122,0.250266819261014,0.340107086347416,0.993544604862109,0.609431684017181,0.688936664490029,0.227673606015742,0.267737348098308,0.346316020237282,0.767971826484427,0.136095110327005,0.756186538608745,0.97339358413592,0.465726719237864,0.0542554198764265,0.911642592633143,0.979866739595309,0.847264708951116
1.331,-1.163,?,3.4001e-06,?,76.4,6.48,25.57,2183,1,1.024,0,0.0534918,'296805',0.292205987730995,0.317475684685633,0.48115014960058,0.280870340066031,0.666507285553962,0.252223394811153,0.149643711745739,0.932415361516178,0.919158695731312,0.805077102966607,0.366483461111784,0.542394226184115,0.117045879364014,0.944279387127608,0.372617866843939,0.978417680133134,0.50461772410199,0.518388077849522,0.742728991666809,0.937040345044807,0.679284772835672,0.0366630209609866,0.623119127936661,0.703394217882305,0.213134038960561,0.24559477600269,0.85013745422475,0.550095666199923,0.92802285705693,0.235909480368719,0.522690994897857,0.519813468912616
1.18,?,36.1062,2.5124e-07,?,18,4.3,9.1,189,1,0.512,1,0.0586255,'416103',0.41734797693789,0.301214544568211,0.248475032160059,0.857968589523807,0.397514293668792,0.643764950102195,0.956740115536377,0.981336664874107,0.157511074095964,0.0730853194836527,0.905183088500053,0.510531319538131,0.027012478094548,0.962359794182703,0.95113993366249,0.287708629388362,0.854843267938122,0.905189324868843,0.0768757860641927,0.331036154879257,0.328547773184255,0.478975565638393,0.559838606510311,0.989870694465935,0.710978556191549,0.973383555188775,0.920597893185914,0.768774850759655,0.0532933215145022,0.820940937381238,0.632603944279253,0.310176229104400
