@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute MAX_SNR numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_is_rate_trig_binary numeric
@attribute bat_trigger_dur numeric
@attribute uvot_detection_binary numeric
@attribute PROB_Z_GT_4 numeric
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@data
2.2,-1.0332,164.629,9.0185e-06,3.753e-05,31.1,61.74,7.49,143,1,1.024,1,0.0817582,'319016',0.608489754842594,0.320355268428102,0.560187058988959,0.981774791842327,0.00203541247174144,0.316879563964903,0.920489279320464,0.565664913738146
1.505,-1.5398,151.04,4.47e-06,?,49.7,111.84,8.81,224,1,1.024,0,0.158883,'319036',0.306613244581968,0.792656648438424,0.802039302652702,0.256933823227882,0.671243759803474,0.430140605662018,0.56105842650868,0.993026125710458
1.51,?,27.8861,4.4103e-07,?,13.4,66.1,7.58,187,1,1.024,1,0.0862009,'308041',0.359080090885982,0.387007524957880,0.94012444280088,0.680774135282263,0.871749680256471,0.637381202774122,0.732819437980652,0.894551827572286
2.602,-0.9507,283.284,3.4109e-05,0.0001218,37.2,29.92,10.24,271,1,1.024,1,0.0366282,'317508',0.437376894522458,0.728383758105338,0.787518497789279,0.75566492183134,0.790250548161566,0.753888023085892,0.268403290538117,0.930605285335332
0.757,-1.5558,76.6923,2.0145e-06,?,24.1,47.04,7.33,286,1,2.048,0,0.194119,'238108',0.872545956633985,0.560796187259257,0.922224397072569,0.449516750173643,0.709568423219025,0.533997914055362,0.172198249259964,0.908420215593651
0.125,-1.9025,208.241,2.8219e-05,2.43e-05,191.9,108.8,18.45,563,1,1.024,1,0.063965,'214805',0.691693927161396,0.360764297656715,0.672721062088385,0.196519367396832,0.061354712350294,0.0987210406456143,0.864111138042063,0.585576491430402
3.686,-1.9659,?,3.5575e-06,2.693e-05,30.5,72.96,7.96,1462,0,64,0,0.101779,'228316',0.717558167641982,0.584159068996087,0.368369359988719,0.11423246585764,0.90524734579958,0.129266456933692,0.25500460062176,0.625278810737655
2.43,-0.7727,?,4.1281e-06,?,47.4,18.48,8.73,240,1,1.024,1,0.120785,'228581',0.0147353147622198,0.492888655979186,0.729169007157907,0.775281715672463,0.874706511385739,0.723685509990901,0.510480562457815,0.183892806526273
1.331,-1.163,?,3.4001e-06,?,76.4,6.48,25.57,2183,1,1.024,0,0.0534918,'296805',0.315456519601867,0.119257244514301,0.929245851235464,0.557032878510654,0.628636206733063,0.730591515777633,0.0872561840806156,0.66856759507209
1.18,?,36.1062,2.5124e-07,?,18,4.3,9.1,189,1,0.512,1,0.0586255,'416103',0.985960375051945,0.59032885520719,0.261171112302691,0.488896935712546,0.678156328154728,0.534673006040975,0.236100762616843,0.538658719742671
