% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Wed Jul 20 23:57:44 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
2.20000e+00,-1.03320e+00,1.64629e+02,3.11000e+01,?,6.17400e+01,7.49000e+00,1.43000e+02,1.02400e+00,8.17582e-02,yes,yes,319016
1.50500e+00,-1.53980e+00,1.51040e+02,4.97000e+01,?,1.11840e+02,8.81000e+00,2.24000e+02,1.02400e+00,1.58883e-01,yes,no,319036
1.51000e+00,?,2.78861e+01,1.34000e+01,?,6.61000e+01,7.58000e+00,1.87000e+02,1.02400e+00,8.62009e-02,yes,yes,308041
2.60200e+00,-9.50700e-01,2.83284e+02,3.72000e+01,?,2.99200e+01,1.02400e+01,2.71000e+02,1.02400e+00,3.66282e-02,yes,yes,317508
7.57000e-01,-1.55580e+00,7.66923e+01,2.41000e+01,-4.70000e-02,4.70400e+01,7.33000e+00,2.86000e+02,2.04800e+00,1.94119e-01,yes,no,238108
1.25000e-01,-1.90250e+00,2.08241e+02,1.91900e+02,?,1.08800e+02,1.84500e+01,5.63000e+02,1.02400e+00,6.39650e-02,yes,yes,214805
3.68600e+00,-1.96590e+00,?,3.05000e+01,?,7.29600e+01,7.96000e+00,1.46200e+03,6.40000e+01,1.01779e-01,no,no,228316
2.43000e+00,-7.72700e-01,?,4.74000e+01,?,1.84800e+01,8.73000e+00,2.40000e+02,1.02400e+00,1.20785e-01,yes,yes,228581
1.33100e+00,-1.16300e+00,?,7.64000e+01,?,6.48000e+00,2.55700e+01,2.18300e+03,1.02400e+00,5.34918e-02,yes,no,296805
1.18000e+00,?,3.61062e+01,1.80000e+01,-5.50000e-02,4.30000e+00,9.10000e+00,1.89000e+02,5.12000e-01,5.86255e-02,yes,yes,416103
5.90000e-02,?,3.24207e+01,7.60000e+00,?,4.22000e+02,7.83000e+00,1.83500e+03,6.40000e+01,1.81122e-01,no,no,416135
1.16000e+00,?,4.19671e+01,1.01000e+01,?,5.34000e+00,?,?,?,9.91990e-02,?,yes,279592
1.54700e+00,-1.35930e+00,1.82270e+02,3.55000e+01,?,3.06900e+01,9.37000e+00,2.39000e+02,2.04800e+00,7.97668e-02,yes,yes,338895
1.69200e+00,-1.73270e+00,6.33245e+01,3.98000e+01,?,2.84900e+02,8.92000e+00,2.44400e+03,1.12000e+02,2.02398e-01,no,yes,326115
3.85000e+00,-9.81000e-01,1.28993e+02,1.52000e+01,-3.20000e-02,8.17700e+01,8.61000e+00,6.47000e+02,1.21600e+01,1.08463e-01,yes,no,352648
4.10900e+00,-1.56040e+00,1.01184e+02,2.40000e+01,?,2.28480e+02,8.83000e+00,5.54000e+02,2.68800e+01,1.54407e-01,yes,no,352190
2.29600e+00,?,2.96428e+01,5.40000e+00,5.80000e-02,8.16000e+00,6.59000e+00,1.66000e+02,1.02400e+00,1.25147e-01,yes,yes,178750
6.53500e-01,-8.64000e-01,2.41774e+01,1.75000e+01,2.34000e-01,2.91000e+00,1.10000e+01,?,5.12000e-01,4.34538e-03,yes,yes,114753
2.71100e+00,-1.90280e+00,?,4.40000e+01,?,1.18720e+02,8.78000e+00,3.63000e+02,4.09600e+00,1.46599e-01,yes,yes,219101
2.45200e+00,-1.29220e+00,1.51459e+02,7.85000e+01,?,9.97600e+01,1.02500e+01,2.60000e+02,1.02400e+00,1.28584e-01,yes,yes,359711
2.64100e+00,-1.75220e+00,9.00227e+01,3.66000e+01,?,4.38900e+01,1.78500e+01,4.51400e+03,8.00000e+01,1.53451e-01,no,yes,302888
4.64970e+00,-8.90200e-01,4.49122e+01,1.30000e+01,?,1.06800e+01,8.16000e+00,3.97000e+02,4.09600e+00,1.25617e-01,yes,no,342121
2.77000e+00,-1.03660e+00,?,1.47600e+02,?,3.34800e+01,8.08000e+00,1.15000e+02,2.56000e-01,5.65464e-02,yes,yes,337914
4.77200e+00,-1.65230e+00,6.45207e+01,2.33000e+01,?,6.51000e+01,1.04000e+01,9.28000e+02,1.21600e+01,2.27631e-01,yes,no,421814
2.58000e+00,?,5.18109e+01,1.98000e+01,-4.10000e-02,6.65500e+01,?,?,?,1.53556e-01,?,no,334877
1.49700e+00,-1.67100e+00,1.05029e+02,8.54000e+01,3.16000e-01,2.61360e+02,9.85000e+00,7.05000e+02,1.21600e+01,1.26068e-01,yes,no,263361
8.45000e-01,-1.26000e+00,8.05384e+01,1.26000e+01,?,1.39050e+02,8.57000e+00,3.87000e+02,4.09600e+00,1.77203e-01,yes,yes,316534
6.89000e-01,-1.08420e+00,?,8.93000e+01,1.84000e-01,6.25300e+01,2.03200e+01,8.60000e+02,1.02400e+00,1.40844e-01,yes,yes,324895
2.03000e+00,?,4.32891e+02,2.05000e+01,?,1.52800e+01,8.51000e+00,2.42000e+02,1.02400e+00,1.41504e-01,yes,no,176453
3.07600e+00,-1.23160e+00,2.00427e+02,1.30000e+01,?,4.96800e+01,7.64000e+00,4.94000e+02,1.63840e+01,1.01077e-01,yes,yes,375246
