@relation input_data
@attribute Z numeric
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'103780  ','106709  ','111063  ','111529 ','111622 ','113120  ','114753 ','117504  ','130088 ','131560 ','147478  ','148225 ','148646 ','148833  ','150314  ','151207 ','151905 ','152113  ','153514  ','154112 ','156467 ','163136 ','163170  ','163438 ','174738  ','176453  ','177408  ','177533  ','178750 ','179968  ','180455 ','180977  ','191157 ','192059 ','205851 ','207399 ','208169 ','209352  ','209755 ','211117 ','211957 ','213486 ','213630 ','213823 ','214805 ','217704 ','217805 ','219101 ','221755 ','228006 ','228316  ','228581 ','229185 ','231231  ','231362  ','232339  ','232683 ','238108  ','238174  ','239899 ','240766 ','252593  ','255445 ','259714  ','263361  ','271019 ','275087 ','276205 ','278693 ','278854 ','279592 ','280706 ','282003 ','282066  ','284856 ','285654 ','286809  ','287364 ','292934  ','293707  ','293795  ','294835  ','295670 ','296805  ','297114 ','299787 ','301981  ','302888 ','305288 ','306757 ','306778 ','308041 ','309010 ','309096 ','309111 ','310613 ','312047 ','313087 ','313116 ','313299 ','313417 ','316204 ','316534 ','317508 ','319016 ','319036  ','319584 ','323898 ','324561  ','324895 ','326115 ','330856 ','331093 ','332851  ','332931 ','334877  ','335105 ','336489 ','337914 ','338895 ','342121  ','346386 ','349510 ','350184  ','350311 ','352190  ','352648  ','353540 ','355083 ','357512 ','358422 ','359530 ','359711 ','359951 ','370791  ','370846 ','373172 ','373458 ','373674  ','374210 ','375246 ','377179 ','378559 ','412982 ','414592  ','416103 ','416135  ','419797 ','420398  ','421814  ','425151 '}
@attribute useless numeric
@attribute useless1 numeric
@data
0.297,'no','152113  ',0,0.215664396062493
2.2,'yes','319016 ',0,0.0965322654228657
1.505,'no','319036  ',0,0.882971471175551
1.51,'yes','308041 ',0,0.842738789273426
2.602,'yes','317508 ',0,0.366762356134132
0.757,'no','238108  ',0,0.132279960205778
0.125,'yes','214805 ',0,0.25848079030402
0.258,'no','147478  ',0,0.646189734106883
3.686,'no','228316  ',0,0.202614230802283
2.43,'yes','228581 ',0,0.173392567783594
1.331,'no','296805  ',0,0.667298382380977
1.18,'yes','416103 ',0,0.967314461013302
0.059,'no','416135  ',0,0.85712690744549
1.16,'yes','279592 ',0,0.797031846828759
1.547,'yes','338895 ',0,0.337277925340459
1.692,'yes','326115 ',0,0.198441346408799
3.85,'no','352648  ',0,0.96565059106797
4.109,'no','352190  ',0,0.961117441300303
2.296,'yes','178750 ',0,0.77846615971066
0.6535,'yes','114753 ',0,0.594925492070615
2.711,'yes','219101 ',0,0.0982707196380943
2.452,'yes','359711 ',0,0.369019425241277
4.6497,'no','342121  ',0,0.442741444101557
2.77,'yes','337914 ',0,0.396357656689361
4.772,'no','421814  ',0,0.35594401252456
2.58,'no','334877  ',0,0.542862036498263
1.497,'no','263361  ',0,0.278004462132230
0.845,'yes','316534 ',0,0.146617038873956
0.689,'yes','324895 ',0,0.507358544971794
2.03,'no','176453  ',0,0.99563427385874
3.076,'yes','375246 ',0,0.265777159016579
2.145,'no','294835  ',0,0.604676579125226
0.422,'no','148833  ',0,0.948630074737594
1.71,'yes','148646 ',0,0.632840119302273
2.1,'yes','336489 ',0,0.930760592687875
2.954,'yes','275087 ',0,0.873820054344833
0.348,'yes','207399 ',0,0.716123332967982
4.27,'no','117504  ',0,0.668657249072567
6.6,'no','177533  ',0,0.921653158497065
3.53,'no','177408  ',0,0.616473673842847
0.767,'yes','310613 ',0,0.181765174260363
0.5295,'yes','330856 ',0,0.649381655501202
2.4996,'yes','280706 ',0,0.178881743224338
1.9685,'yes','331093 ',0,0.230257723946124
0.714,'no','174738  ',0,0.542138865683228
3.35,'yes','319584 ',0,0.728760216850787
3.969,'yes','148225 ',0,0.0331235954072326
0.624,'yes','419797 ',0,0.0584397700149566
1.37,'yes','370846 ',0,0.609291589818895
1.063,'yes','378559 ',0,0.683558926917613
0.98,'no','293707  ',0,0.151226604823023
4.813,'no','414592  ',0,0.962320122634992
1.314,'yes','239899 ',0,0.416979851666838
1.159,'yes','240766 ',0,0.329783103894442
3,'yes','357512 ',0,0.469387489836663
6.7,'no','324561  ',0,0.425901224836707
1.489,'yes','205851 ',0,0.565168917411938
2.625,'yes','353540 ',0,0.252551721874624
4.41,'yes','192059 ',0,0.301489133387804
5.11,'yes','211117 ',0,0.99467581184581
2.737,'yes','359530 ',0,0.435225842054933
1.8,'yes','217805 ',0,0.341622728155926
3.425,'yes','217704 ',0,0.916828699875623
2.4266,'yes','305288 ',0,0.460422651609406
0.383,'yes','299787 ',0,0.314994752872735
0.617,'no','282066  ',0,0.63237033970654
2.198,'yes','156467 ',0,0.552148496266454
1.23,'yes','316204 ',0,0.749313585925847
1.261,'yes','232683 ',0,0.0713038737885654
2.374,'yes','323898 ',0,0.0244293352589011
2.692,'yes','295670 ',0,0.522889067651704
3.3,'no','232339  ',0,0.131493496708572
0.703,'yes','228006 ',0,0.881404916057363
2.69,'yes','313087 ',0,0.141961153363809
6.29,'no','153514  ',0,0.105746351648122
3.35,'yes','154112 ',0,0.576859442982823
1.1,'yes','309111 ',0,0.719652162399143
2.433,'yes','309096 ',0,0.993353692116216
0.606,'yes','130088 ',0,0.168771970085800
0.4428,'yes','209755 ',0,0.699151657288894
1.545,'yes','312047 ',0,0.268983910791576
0.783,'no','179968  ',0,0.077255031792447
4.045,'yes','180455 ',0,0.84762078919448
0.947,'no','293795  ',0,0.869023737497628
3.221,'yes','211957 ',0,0.919158052187413
2.6147,'yes','151207 ',0,0.362970661837608
5.6,'no','231362  ',0,0.561842049704865
3.2,'no','231231  ',0,0.85056855995208
2.346,'yes','163136 ',0,0.730102912522852
0.08,'no','163170  ',0,0.834446506341919
4.349,'no','301981  ',0,0.226963906083256
1.55,'yes','163438 ',0,0.594747374299914
0.97,'yes','276205 ',0,0.6609555054456
1.605,'no','292934  ',0,0.77427438669838
0.49,'yes','377179 ',0,0.0665322707500309
1.24,'no','370791  ',0,0.900076276855543
1.29,'no','103780  ',0,0.622858913615346
3.082,'yes','213823 ',0,0.14698423165828
1.03,'yes','309010 ',0,0.811268950346857
2.45,'no','286809  ',0,0.426359950564802
0.971,'yes','373172 ',0,0.386446160962805
3.24,'yes','111622 ',0,0.148035734193400
2.17,'yes','287364 ',0,0.507488118484616
4.667,'yes','412982 ',0,0.0852829068899155
2.821,'yes','131560 ',0,0.990538817364722
0.5915,'no','106709  ',0,0.789917009416968
0.937,'yes','229185 ',0,0.305027594557032
2.68,'yes','213486 ',0,0.585435831686482
3.78,'yes','213630 ',0,0.905853182543069
3.375,'yes','346386 ',0,0.0419477764517069
0.836,'yes','271019 ',0,0.77230557310395
3.355,'no','252593  ',0,0.468547866679728
3.626,'yes','285654 ',0,0.715327786048874
2.641,'yes','302888 ',0,0.318242525216192
1.14,'yes','297114 ',0,0.748628394911066
1.949,'no','111063  ',0,0.705741667887196
1.755,'no','420398  ',0,0.434060086496174
1.44,'yes','111529 ',0,0.0678580740932375
1.416,'yes','313116 ',0,0.809955663047731
1.6398,'yes','313299 ',0,0.299903696635738
3.036,'yes','313417 ',0,0.859525417443365
0.54,'yes','355083 ',0,0.207751927431673
3.038,'no','332851  ',0,0.443861970445141
2.352,'yes','255445 ',0,0.92376509681344
4.9,'no','209352  ',0,0.149070544401184
2.71,'yes','358422 ',0,0.378583144862205
0.82,'yes','278854 ',0,0.5720262916293
3.8479,'yes','332931 ',0,0.0913208790589124
2.31,'yes','278693 ',0,0.619411886436865
3.91,'no','180977  ',0,0.573976165847853
3.44,'no','238174  ',0,0.649804661748931
0.0331,'yes','191157 ',0,0.298683292698115
0.696,'yes','359951 ',0,0.00857315817847848
2.512,'yes','335105 ',0,0.746623653685674
0.83,'yes','151905 ',0,0.949700872879475
1.165,'no','259714  ',0,0.502896539866924
8.1,'no','350184  ',0,0.0585209629498422
1.608,'yes','349510 ',0,0.545043456600979
2.04,'yes','282003 ',0,0.0286467920523137
2.752,'yes','374210 ',0,0.0534290340729058
1.092,'no','373674  ',0,0.813316874206066
0.54,'yes','221755 ',0,0.648418036289513
1.71,'yes','373458 ',0,0.986534416209906
2.9,'no','113120  ',0,0.689886912237853
5.3,'no','150314  ',0,0.440512285800651
0.937,'yes','306757 ',0,0.557992866961285
1.95,'yes','306778 ',0,0.652014808030799
1.51,'yes','208169 ',0,0.952664435608312
0.542,'yes','425151 ',0,0.431902484036982
0.544,'yes','350311 ',0,0.629646983463317
0.92,'yes','284856 ',0,0.286978484829888
