@relation input_data
@attribute Z numeric
@attribute uvot_detection {'no ','yes'}
@attribute useless numeric
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@data
0.297,'no ',0,0.90081721241586,0.836239025462419,0.922257911646739,0.0387651801574975,0.80972985457629,0.78551321499981,0.689218239393085,0.0496744262054563,0.544310802826658,0.00751410913653672
2.2,'yes',0,0.141298683593050,0.887117718346417,0.758730821544304,0.771322162123397,0.815511957276613,0.833961163647473,0.324388500070199,0.164577132556587,0.963934175437316,0.755261166486889
1.505,'no ',0,0.364324562251568,0.484761068364605,0.95304566854611,0.539799125632271,0.89215421047993,0.713027417426929,0.406718904851004,0.0388033003546298,0.0186125501058996,0.435717221582308
1.51,'yes',0,0.270085981115699,0.601706193294376,0.494500956032425,0.949656024808064,0.145345451543108,0.696565193822607,0.248285746434703,0.698568454245105,0.445519892498851,0.0240602996200323
2.602,'yes',0,0.31075974390842,0.254232418956235,0.957838408183306,0.991785952821374,0.455296733649448,0.419818645808846,0.966699306853116,0.131696754600853,0.163050541421399,0.0918709735851735
0.757,'no ',0,0.657123506302014,0.314316512085497,0.522068805759773,0.548052279278636,0.897035202709958,0.149057793198153,0.501595643116161,0.260147765744478,0.395078077446669,0.85265019419603
0.125,'yes',0,0.511972314678133,0.223087396938354,0.29812966613099,0.183878206182271,0.0403222206514329,0.0503188797738403,0.571941190166399,0.78929711994715,0.893809594446793,0.165151562541723
0.258,'no ',0,0.450048828730360,0.00598904327489436,0.350373877212405,0.439607735490426,0.0179167864844203,0.0874525192193687,0.40241842600517,0.618073079735041,0.593683711020276,0.966801325790584
3.686,'no ',0,0.648204737808555,0.311242881929502,0.694557429058477,0.850921243429184,0.726310681318864,0.772489615250379,0.508344446541741,0.943739443086088,0.71314622508362,0.271472764434293
2.43,'yes',0,0.261905374238268,0.556378074223176,0.332327477401122,0.880831810412928,0.749404449015856,0.684256899636239,0.0778658301569521,0.415305079193786,0.179629114922136,0.85245939111337
1.331,'no ',0,0.292456823866814,0.0545306755229831,0.840709954267368,0.865330178057775,0.76330763217993,0.916873925365508,0.792932842625305,0.41610137745738,0.423235143302009,0.251416129991412
1.18,'yes',0,0.441039954312146,0.0181352098006755,0.930677678901702,0.364552290644497,0.506644170498475,0.0766721100080758,0.753867968684062,0.640191752463579,0.245023587718606,0.335651281522587
0.059,'no ',0,0.328207223676145,0.259567535249516,0.674312668619677,0.583829731680453,0.763204841408879,0.809220399241894,0.902898310683668,0.724436487536877,0.801250814693049,0.512432870687917
1.16,'yes',0,0.839257152751088,0.361816258868203,0.833706743083894,0.360045286128297,0.192639045184478,0.131774292094633,0.773047973401845,0.604558864608407,0.865495793754235,0.116039133397862
1.547,'yes',0,0.128196171950549,0.191523710731417,0.705533192958683,0.0625450897496194,0.87750473828055,0.198646743781865,0.106980020180345,0.699631820432842,0.551075801486149,0.500698271906003
1.692,'yes',0,0.560137592954561,0.370045345276594,0.173399785533547,0.91052568773739,0.175383177353069,0.0660383054055274,0.632459477288648,0.625466054072604,0.0438777992967516,0.493949696654454
3.85,'no ',0,0.603209278080612,0.44085975154303,0.7130431602709,0.765555112389848,0.195792864309624,0.124694852856919,0.0981795093975961,0.868253986584023,0.270653563085943,0.289685113588348
4.109,'no ',0,0.187679198570549,0.738317682407796,0.669502527918667,0.101808217121288,0.881162298144773,0.670488395728171,0.855997698847204,0.958472739672288,0.771395572228357,0.678299749968573
2.296,'yes',0,0.390076347393915,0.812342350836843,0.664586463710293,0.717669463250786,0.544775846647099,0.644332618685439,0.486590589163825,0.348291929578409,0.142718691378832,0.0873161947820336
0.6535,'yes',0,0.488746454939246,0.869618974160403,0.162939107976854,0.791766254929826,0.0558811787050217,0.876158292405307,0.00763332075439394,0.983313116244972,0.00509585975669324,0.344947311095893
2.711,'yes',0,0.769045755499974,0.344398430548608,0.514606548007578,0.360437551978976,0.527188154868782,0.113216507714242,0.651401576353237,0.649930400541052,0.0541727226227522,0.808299103751779
2.452,'yes',0,0.704889613669366,0.428116966737434,0.364792145090178,0.74837923166342,0.635525283869356,0.54638770245947,0.714319917140529,0.68816728121601,0.346548486268148,0.835764455841854
4.6497,'no ',0,0.387988819042221,0.353384822141379,0.173098750878125,0.5478570535779,0.431636116467416,0.485443340847269,0.130458946339786,0.457887044642121,0.663783953059465,0.0634959852322936
2.77,'yes',0,0.578487458173186,0.126280821859837,0.129084136104211,0.959684401750565,0.166978403925896,0.231488982448354,0.535986792761832,0.437734908424318,0.404026284115389,0.598280863836408
4.772,'no ',0,0.381283780792728,0.861324047902599,0.090070377336815,0.926369488239288,0.513608563924208,0.393312508473173,0.724819353083149,0.415924899745733,0.92529111285694,0.55373172648251
2.58,'no ',0,0.896456459071487,0.383028518641368,0.803113877074793,0.573422568617389,0.132083287928253,0.797585841268301,0.176676896400750,0.954127268632874,0.715504739200696,0.964610809227452
1.497,'no ',0,0.808905486483127,0.0806136140599847,0.905425545759499,0.982738718623295,0.135243028402328,0.081211720360443,0.53024387685582,0.799447745317593,0.092804104089737,0.829469235846773
0.845,'yes',0,0.711966039612889,0.109570269007236,0.582955539459363,0.107860840624198,0.779478025157005,0.097988543100655,0.72200233512558,0.762180362828076,0.611376829678193,0.306646851124242
0.689,'yes',0,0.743271242361516,0.0766625835094601,0.586229586740956,0.756588138639927,0.0315531038213521,0.188080120598897,0.162450297037140,0.215563879115507,0.658315523061901,0.909177654189989
2.03,'no ',0,0.608661213656887,0.794307654490694,0.671079146210104,0.145084291696548,0.690964320907369,0.0418643413577229,0.799793013138697,0.0772597680334002,0.182143749436364,0.348310265922919
3.076,'yes',0,0.663877384038642,0.629890328738838,0.899194601923227,0.751916831824929,0.921677513280883,0.574400265701115,0.026710684876889,0.44063138240017,0.99543616664596,0.513878501020372
2.145,'no ',0,0.0147021652664989,0.906084371032193,0.680297930259258,0.689301520353183,0.81457378785126,0.308003582991660,0.347882868954912,0.690451047383249,0.295783863868564,0.0991592821665108
0.422,'no ',0,0.853666386799887,0.0494756549596786,0.878687621094286,0.780593880917877,0.128123942529783,0.88222848251462,0.220650909468532,0.291422859532759,0.246694656321779,0.668159981491044
1.71,'yes',0,0.490019696298987,0.397670937236398,0.697929595131427,0.829255128046498,0.311914963182062,0.370956713566557,0.561899416614324,0.899355197325349,0.699954917421564,0.93639026535675
2.1,'yes',0,0.512838635826483,0.303620791062713,0.3822176088579,0.380398592213169,0.49625524552539,0.171049587661400,0.460721048759297,0.596685835160315,0.135715542128310,0.41801620926708
2.954,'yes',0,0.865238468395546,0.862907807575539,0.431115730898455,0.484307740349323,0.397739249048755,0.270574880065396,0.412502537248656,0.175945153925568,0.329598903423175,0.793988692807034
0.348,'yes',0,0.298171054339036,0.159541099332273,0.359928962308913,0.845131256617606,0.267321882303804,0.793405544711277,0.839787897886708,0.603531146654859,0.530329707311466,0.0294058201834559
4.27,'no ',0,0.434632701799273,0.50871890806593,0.224523771088570,0.0660760533064604,0.104529702337459,0.0255101004149765,0.701215800829232,0.860303487628698,0.612282588146627,0.177392119308934
6.6,'no ',0,0.351913010235876,0.560458667110652,0.679760321043432,0.540187404025346,0.552909050835297,0.779876420740038,0.529011709848419,0.906561501789838,0.0474076073151082,0.369498441228643
3.53,'no ',0,0.485368737252429,0.66982384887524,0.00836482155136764,0.733124166727066,0.0366699041333050,0.0115750490222126,0.369544243440032,0.652016581967473,0.447748036123812,0.176414167508483
0.767,'yes',0,0.220103095984086,0.352580517996103,0.619943076511845,0.335423542186618,0.127408308908343,0.627889203373343,0.862853569444269,0.827085749711841,0.289631033316255,0.0966830875258893
0.5295,'yes',0,0.677832941990346,0.488676659762859,0.723686053417623,0.107489538611844,0.42035924224183,0.270917788147926,0.210731947328895,0.285605604993179,0.410654100822285,0.380737985484302
2.4996,'yes',0,0.504811102291569,0.573380499845371,0.461279462557286,0.692455158336088,0.0761809579562396,0.113591615110636,0.362618569983169,0.69372340827249,0.495654189027846,0.900786258280277
1.9685,'yes',0,0.556278744479641,0.193387518636882,0.515905804699287,0.772491537034512,0.676517165731639,0.513008244335651,0.705661354586482,0.353398476261646,0.250829629367217,0.385906358715147
0.714,'no ',0,0.118324401322752,0.322692593326792,0.7605482081417,0.104234358295798,0.730762598104775,0.243824707809836,0.913453220855445,0.803917652694508,0.150803725235164,0.177864990662783
3.35,'yes',0,0.813340578461066,0.32733913208358,0.238261484773830,0.314432493876666,0.877423303434625,0.0172317943070084,0.110340162646025,0.854135466041043,0.549613584997132,0.422278190031648
3.969,'yes',0,0.581956380512565,0.785392141900957,0.418731084093451,0.424142466159537,0.337277793092653,0.496920404024422,0.314084557583556,0.175087959971279,0.744629255728796,0.404842250049114
0.624,'yes',0,0.96679532690905,0.159622766310349,0.102468986297026,0.910730527946725,0.228660800028592,0.876048989826813,0.272294909227639,0.38653910625726,0.950275665614754,0.724000259069726
1.37,'yes',0,0.451504015596583,0.0287790435831994,0.76817069016397,0.00109137617982924,0.472837641369551,0.0267868381924927,0.700483361491933,0.351777472766116,0.456628543091938,0.419050973607227
1.063,'yes',0,0.363197831669822,0.213559730909765,0.40157534298487,0.924180752132088,0.256639334140345,0.277700348524377,0.0500333129893988,0.09766991622746,0.895165340974927,0.238490441814065
0.98,'no ',0,0.958104093326256,0.77431474858895,0.480156517121941,0.934510370716453,0.521765515673906,0.0337739193346351,0.204868649132550,0.539967738091946,0.799040633952245,0.58772040810436
4.813,'no ',0,0.538240741239861,0.763477868167683,0.635635459097102,0.0298984949477017,0.737428301246837,0.97104509640485,0.254766996251419,0.499490568879992,0.469883734825999,0.301374519476667
1.314,'yes',0,0.282944369362667,0.45556036522612,0.0383349992334843,0.0614499556832016,0.4024988936726,0.151641480857506,0.405691694933921,0.93181868409738,0.349213614827022,0.939185188617557
1.159,'yes',0,0.9290186164435,0.769783835858107,0.65785784740001,0.000394675880670547,0.406844002660364,0.871685541700572,0.65981464041397,0.908207292668521,0.374033489730209,0.0334039360750467
3,'yes',0,0.470428187632933,0.029258901020512,0.982143328757957,0.332537252921611,0.324488500365987,0.830640051979572,0.436280415393412,0.0277918623760343,0.448015147354454,0.751961221219972
6.7,'no ',0,0.315751892980188,0.251440715976059,0.921470195055008,0.950057769659907,0.332628746051341,0.0163078403566033,0.0162256557960063,0.487458987161517,0.840261975536123,0.393003163160756
1.489,'yes',0,0.321812127251178,0.646044434048235,0.975757931824774,0.476908715674654,0.748672923771665,0.149535981006920,0.630647745681927,0.128654617816210,0.129769969731569,0.942902035545558
2.625,'yes',0,0.00729673495516181,0.51984780956991,0.0854453502688557,0.808231358416378,0.958264580694959,0.0731297547463328,0.46238023461774,0.0749831143766642,0.0261830422095954,0.462246151873842
4.41,'yes',0,0.319109461968765,0.370655480539426,0.147415162995458,0.780285669257864,0.552179106511176,0.856363548431545,0.879937420133501,0.115306152030826,0.133650380186737,0.468200686853379
5.11,'yes',0,0.447592503624037,0.802109513198957,0.172328295651823,0.905463257571682,0.742230496369302,0.407537655904889,0.430599481333047,0.274300737772137,0.827492914162576,0.939812359865755
2.737,'yes',0,0.549781595123932,0.468131579458714,0.887268658494577,0.756195619702339,0.167278833920136,0.203015638049692,0.645280635682866,0.399336387170479,0.59309091209434,0.792960370657966
1.8,'yes',0,0.690969008719549,0.480132019380108,0.883950572926551,0.242429957026616,0.61800348944962,0.0660343260969967,0.358278493396938,0.713596057379618,0.147269391221926,0.646033230936155
3.425,'yes',0,0.498762379633263,0.985858073923737,0.50634653493762,0.259990281192586,0.3257695233915,0.595877785934135,0.849252275191247,0.109657278517261,0.194248919840902,0.482323786476627
2.4266,'yes',0,0.396088383393362,0.0607607690617442,0.853574662236497,0.0899623914156109,0.710959670133889,0.737005842383951,0.759629214648157,0.789628391386941,0.86511106020771,0.0364794794004411
0.383,'yes',0,0.600132961757481,0.464217873523012,0.888715917244554,0.140268706250936,0.0453902289737016,0.59610814973712,0.710564167704433,0.365689092315733,0.820178915048018,0.61192805878818
0.617,'no ',0,0.836424480192363,0.480020065791905,0.281720000086352,0.581377717200667,0.234674312407151,0.0302847409620881,0.922594111412764,0.533817124553025,0.493266442790627,0.536501050926745
2.198,'yes',0,0.0853123187553138,0.488407985307276,0.394558815518394,0.885370781179518,0.765090120024979,0.591480789938942,0.201954643474892,0.719468215713277,0.762974770274013,0.138058607233688
1.23,'yes',0,0.0426439761649817,0.734056533081457,0.840774194337428,0.622247574152425,0.829458217835054,0.923151532188058,0.58596724155359,0.930156966671348,0.794399299658835,0.860471460269764
1.261,'yes',0,0.0841046834830195,0.134860959136859,0.324702721089125,0.0796513834502548,0.465077310567722,0.429075087420642,0.115950214210898,0.811282890848815,0.700494054472074,0.803390454035252
2.374,'yes',0,0.548870878759772,0.345746560487896,0.0144660871010274,0.364469830412418,0.722823241958395,0.597988718887791,0.91784050827846,0.866556515684351,0.741551446961239,0.428191920975223
2.692,'yes',0,0.968625029549003,0.701066693058237,0.143036904744804,0.663622932508588,0.851729184389114,0.797639588359743,0.917546272510663,0.418507713126019,0.300779285607859,0.185804746113718
3.3,'no ',0,0.247788687236607,0.800164297223091,0.212597158271819,0.62741997372359,0.199190453859046,0.797312199138105,0.583272204967216,0.553385834675282,0.366410938091576,0.517653615446761
0.703,'yes',0,0.95583344413899,0.964767177123576,0.520921675488353,0.676927712047473,0.272387634031475,0.279807955259457,0.652403539977968,0.593190971994773,0.993914491962641,0.721748439827934
2.69,'yes',0,0.808721851790324,0.928112724330276,0.822280982742086,0.181039534043521,0.28225254942663,0.485407169675454,0.0402550064027309,0.382018572418019,0.260333499405533,0.748856908874586
6.29,'no ',0,0.0308659516740590,0.799932760186493,0.803526860894635,0.869264752836898,0.607187582179904,0.914011241402477,0.865159288048744,0.886656956048682,0.504157696152106,0.495099290739745
3.35,'yes',0,0.90163130662404,0.608417730778456,0.513602511957288,0.92061087070033,0.824736951151863,0.0667292824946344,0.481394091621041,0.629145160317421,0.695190419210121,0.903813005657867
1.1,'yes',0,0.342686543473974,0.949632600648329,0.236716070212424,0.911752842599526,0.469487665919587,0.495582287432626,0.56292284023948,0.907926385756582,0.415223698364571,0.58546580420807
2.433,'yes',0,0.0932609508745372,0.488705551018938,0.324890583986416,0.777640401851386,0.402279183035716,0.593109448440373,0.421686665154994,0.639408849645406,0.364900883520022,0.974056306062266
0.606,'yes',0,0.0278995665721595,0.0710684710647911,0.547286734450608,0.107167100766674,0.530411059968174,0.115817528450862,0.663041082210839,0.202878817217425,0.321920384885743,0.185323509620503
0.4428,'yes',0,0.63364201807417,0.605907659744844,0.257093790685758,0.624119775369763,0.0817386738490313,0.224054155871272,0.931783590931445,0.468135855393484,0.936378911603242,0.427312437212095
