@relation input_data
@attribute Z numeric
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'103780  ','106709  ','111063  ','111529 ','111622 ','113120  ','114753 ','117504  ','130088 ','131560 ','147478  ','148225 ','148646 ','148833  ','150314  ','151207 ','151905 ','152113  ','153514  ','154112 ','156467 ','163136 ','163170  ','163438 ','174738  ','176453  ','177408  ','177533  ','178750 ','179968  ','180455 ','180977  ','191157 ','192059 ','205851 ','207399 ','208169 ','209352  ','209755 ','211117 ','211957 ','213486 ','213630 ','213823 ','214805 ','217704 ','217805 ','219101 ','221755 ','228006 ','228316  ','228581 ','229185 ','231231  ','231362  ','232339  ','232683 ','238108  ','238174  ','239899 ','240766 ','252593  ','255445 ','259714  ','263361  ','271019 ','275087 ','276205 ','278693 ','278854 ','279592 ','280706 ','282003 ','282066  ','284856 ','285654 ','286809  ','287364 ','292934  ','293707  ','293795  ','294835  ','295670 ','296805  ','297114 ','299787 ','301981  ','302888 ','305288 ','306757 ','306778 ','308041 ','309010 ','309096 ','309111 ','310613 ','312047 ','313087 ','313116 ','313299 ','313417 ','316204 ','316534 ','317508 ','319016 ','319036  ','319584 ','323898 ','324561  ','324895 ','326115 ','330856 ','331093 ','332851  ','332931 ','334877  ','335105 ','336489 ','337914 ','338895 ','342121  ','346386 ','349510 ','350184  ','350311 ','352190  ','352648  ','353540 ','355083 ','357512 ','358422 ','359530 ','359711 ','359951 ','370791  ','370846 ','373172 ','373458 ','373674  ','374210 ','375246 ','377179 ','378559 ','412982 ','414592  ','416103 ','416135  ','419797 ','420398  ','421814  ','425151 '}
@attribute useless numeric
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@data
0.297,'no','152113  ',0,0.0175910100806504,0.919986226828769,0.512049418408424,0.246712008491158,0.251401701709256,0.573183327680454,0.123791316989809,0.0585586968809366,0.00626025977544487,0.778137060813606,0.678348453482613,0.726390389958397,0.355207857210189,0.00371423573233187,0.329726051772013,0.890911822440103
2.2,'yes','319016 ',0,0.130497937323526,0.740788146620616,0.249762111809105,0.235671509988606,0.828715458745137,0.129512020619586,0.368144937325269,0.0389742190018296,0.169178318697959,0.99396952916868,0.895087534328923,0.724022009409964,0.0362544287927449,0.331890396773815,0.110996904782951,0.0929558388888836
1.505,'no','319036  ',0,0.194226806052029,0.468485763063654,0.260456757154316,0.613299638731405,0.883997877128422,0.228307519573718,0.249850007239729,0.119694381253794,0.764984381850809,0.91039784415625,0.0324074092786759,0.772817181656137,0.658948168158531,0.05066535808146,0.0957878197077662,0.422267232090235
1.51,'yes','308041 ',0,0.819075700594112,0.25405954872258,0.390961501514539,0.33900688868016,0.943990138359368,0.646349533228204,0.824269708944485,0.563173095695674,0.113034925423563,0.700339536881074,0.518170036608353,0.138741892296821,0.207514211069793,0.204372101463377,0.573712714482099,0.20237441547215
2.602,'yes','317508 ',0,0.51495521212928,0.699651753995568,0.916553571820259,0.491128218360245,0.797971162712201,0.471981912385672,0.419257097644731,0.704246962908655,0.159398602554575,0.627497111912817,0.849073816090822,0.380172244738787,0.298209007596597,0.753613181877881,0.207207709085196,0.672301790909842
0.757,'no','238108  ',0,0.994589809095487,0.181418297346681,0.718601895496249,0.427881369134411,0.284482921706513,0.216624075546861,0.892686696723104,0.0612493192311376,0.707537423353642,0.169074822915718,0.383242423878983,0.123717314796522,0.726854136912152,0.170703818555921,0.80051072128117,0.338184793014079
0.125,'yes','214805 ',0,0.530423710122705,0.095122791826725,0.93715158617124,0.767949298257008,0.171573430066928,0.0681179345119745,0.279357548803091,0.759210254298523,0.802635309053585,0.973919314565137,0.112996384967119,0.466171918902546,0.149380850605667,0.57069586054422,0.53469486371614,0.848824060987681
0.258,'no','147478  ',0,0.261023476021364,0.0218916859012097,0.394309678580612,0.863879134878516,0.314209292177111,0.887336219428107,0.754402476130053,0.662631518673152,0.0209064041264355,0.698542784666643,0.722905102185905,0.869123401353136,0.599854845786467,0.288937047822401,0.351607717340812,0.0215902887284756
3.686,'no','228316  ',0,0.360831072088331,0.475024368148297,0.909720648545772,0.0934880380518734,0.896569268079475,0.99664815631695,0.458439226029441,0.0196587154641747,0.0047726621851325,0.547476751729846,0.794126364635304,0.434008183190599,0.98704325640574,0.710244646295905,0.557133107213303,0.880470563424751
2.43,'yes','228581 ',0,0.981654751580209,0.390124385943636,0.328211183659732,0.744020999642089,0.533477617427707,0.473935603396967,0.109028121689335,0.739082412794232,0.00403838022612035,0.550901658600196,0.783287127036601,0.0194898704066873,0.0294162849895656,0.413001439068466,0.271016985643655,0.58460806007497
