@relation input_data
@attribute Z numeric
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'103780  ','106709  ','111063  ','111529 ','111622 ','113120  ','114753 ','117504  ','130088 ','131560 ','147478  ','148225 ','148646 ','148833  ','150314  ','151207 ','151905 ','152113  ','153514  ','154112 ','156467 ','163136 ','163170  ','163438 ','174738  ','176453  ','177408  ','177533  ','178750 ','179968  ','180455 ','180977  ','191157 ','192059 ','205851 ','207399 ','208169 ','209352  ','209755 ','211117 ','211957 ','213486 ','213630 ','213823 ','214805 ','217704 ','217805 ','219101 ','221755 ','228006 ','228316  ','228581 ','229185 ','231231  ','231362  ','232339  ','232683 ','238108  ','238174  ','239899 ','240766 ','252593  ','255445 ','259714  ','263361  ','271019 ','275087 ','276205 ','278693 ','278854 ','279592 ','280706 ','282003 ','282066  ','284856 ','285654 ','286809  ','287364 ','292934  ','293707  ','293795  ','294835  ','295670 ','296805  ','297114 ','299787 ','301981  ','302888 ','305288 ','306757 ','306778 ','308041 ','309010 ','309096 ','309111 ','310613 ','312047 ','313087 ','313116 ','313299 ','313417 ','316204 ','316534 ','317508 ','319016 ','319036  ','319584 ','323898 ','324561  ','324895 ','326115 ','330856 ','331093 ','332851  ','332931 ','334877  ','335105 ','336489 ','337914 ','338895 ','342121  ','346386 ','349510 ','350184  ','350311 ','352190  ','352648  ','353540 ','355083 ','357512 ','358422 ','359530 ','359711 ','359951 ','370791  ','370846 ','373172 ','373458 ','373674  ','374210 ','375246 ','377179 ','378559 ','412982 ','414592  ','416103 ','416135  ','419797 ','420398  ','421814  ','425151 '}
@attribute useless numeric
@attribute useless1 numeric
@attribute useless2 numeric
@data
0.297,'no','152113  ',0,0.639665968483314,0.0880635685753077
2.2,'yes','319016 ',0,0.203524959273636,0.888784256530926
1.505,'no','319036  ',0,0.0616388299968094,0.784230698365718
1.51,'yes','308041 ',0,0.97689295327291,0.466649448964745
2.602,'yes','317508 ',0,0.400090574519709,0.956396399065852
0.757,'no','238108  ',0,0.727385574020445,0.45177341834642
0.125,'yes','214805 ',0,0.516311237821355,0.823139422340319
0.258,'no','147478  ',0,0.321304689859971,0.81300952588208
3.686,'no','228316  ',0,0.820266328752041,0.191942283185199
2.43,'yes','228581 ',0,0.749343366362154,0.97809505974874
1.331,'no','296805  ',0,0.475741954520345,0.840936349937692
1.18,'yes','416103 ',0,0.82808310026303,0.290450003463775
0.059,'no','416135  ',0,0.054164610337466,0.606182360323146
1.16,'yes','279592 ',0,0.637551039457321,0.0558130224235356
1.547,'yes','338895 ',0,0.606605386827141,0.715740650193766
1.692,'yes','326115 ',0,0.953125816071406,0.0983794482890517
3.85,'no','352648  ',0,0.897203153697774,0.436575728235766
4.109,'no','352190  ',0,0.134540487546474,0.114321630448103
2.296,'yes','178750 ',0,0.593706008512527,0.142003090353683
0.6535,'yes','114753 ',0,0.294876793632284,0.241088327718899
2.711,'yes','219101 ',0,0.879587102448568,0.59121213038452
2.452,'yes','359711 ',0,0.65690925042145,0.60169865610078
4.6497,'no','342121  ',0,0.6743310240563,0.795331315137446
2.77,'yes','337914 ',0,0.0777160276193172,0.673530614702031
4.772,'no','421814  ',0,0.72592668235302,0.538428071187809
2.58,'no','334877  ',0,0.734067813260481,0.228710483526811
1.497,'no','263361  ',0,0.866227991413325,0.167214047862217
0.845,'yes','316534 ',0,0.187132986728102,0.390489357756451
0.689,'yes','324895 ',0,0.802163667278364,0.852638360345736
2.03,'no','176453  ',0,0.842083549359813,0.685564072802663
3.076,'yes','375246 ',0,0.882698104949668,0.657920294441283
2.145,'no','294835  ',0,0.330548363504931,0.067663557594642
0.422,'no','148833  ',0,0.378240596968681,0.3661237526685
1.71,'yes','148646 ',0,0.315892586484551,0.540952913463116
2.1,'yes','336489 ',0,0.35638751834631,0.121879840269685
2.954,'yes','275087 ',0,0.334632593207061,0.375962623395026
0.348,'yes','207399 ',0,0.0335683517623693,0.0860301225911826
4.27,'no','117504  ',0,0.597613357240334,0.411472981097177
6.6,'no','177533  ',0,0.255826367763802,0.727968472288921
3.53,'no','177408  ',0,0.228123117936775,0.27008446236141
0.767,'yes','310613 ',0,0.109244287712499,0.659991079708561
0.5295,'yes','330856 ',0,0.807828342076391,0.16240919707343
2.4996,'yes','280706 ',0,0.828132819849998,0.706335379974917
1.9685,'yes','331093 ',0,0.214649602305144,0.560846909182146
0.714,'no','174738  ',0,0.299624670529738,0.567376578692347
3.35,'yes','319584 ',0,0.174196785781533,0.747130539966747
3.969,'yes','148225 ',0,0.421831947751343,0.575690999394283
0.624,'yes','419797 ',0,0.441397382877767,0.390295854303986
1.37,'yes','370846 ',0,0.199828694574535,0.380870169261470
1.063,'yes','378559 ',0,0.568850304698572,0.758039685199037
0.98,'no','293707  ',0,0.395436567021534,0.228578345151618
4.813,'no','414592  ',0,0.813592724269256,0.443796185543761
1.314,'yes','239899 ',0,0.620008793193847,0.316879452904686
1.159,'yes','240766 ',0,0.273568113800138,0.431526876753196
3,'yes','357512 ',0,0.73389348667115,0.861354503314942
6.7,'no','324561  ',0,0.573269280605018,0.619886762462556
1.489,'yes','205851 ',0,0.602831557625905,0.871676674112678
2.625,'yes','353540 ',0,0.247739032609388,0.664072454441339
4.41,'yes','192059 ',0,0.74540070979856,0.343270337674767
5.11,'yes','211117 ',0,0.0396637418307364,0.0826341742649674
2.737,'yes','359530 ',0,0.0898489793762565,0.51896406407468
1.8,'yes','217805 ',0,0.638740360969678,0.123291470343247
3.425,'yes','217704 ',0,0.739818508503959,0.140459024347365
2.4266,'yes','305288 ',0,0.10129278851673,0.0142278792336583
0.383,'yes','299787 ',0,0.698887801961973,0.322845020331442
0.617,'no','282066  ',0,0.66943450528197,0.657555748242885
2.198,'yes','156467 ',0,0.965043631382287,0.630253316834569
1.23,'yes','316204 ',0,0.180280331522226,0.370737101184204
1.261,'yes','232683 ',0,0.253949572797865,0.83629765175283
2.374,'yes','323898 ',0,0.310684964759275,0.982493411982432
2.692,'yes','295670 ',0,0.37989085377194,0.803624658146873
3.3,'no','232339  ',0,0.761164982570335,0.555990675697103
0.703,'yes','228006 ',0,0.880541868042201,0.733766705961898
2.69,'yes','313087 ',0,0.930047435453162,0.877573317848146
6.29,'no','153514  ',0,0.983232112135738,0.648440919118002
3.35,'yes','154112 ',0,0.859977988759056,0.751699277898297
1.1,'yes','309111 ',0,0.140353884315118,0.0933840128127486
2.433,'yes','309096 ',0,0.930923798587173,0.56295642326586
0.606,'yes','130088 ',0,0.465826796600595,0.193850327981636
0.4428,'yes','209755 ',0,0.924880511127412,0.833355029346421
1.545,'yes','312047 ',0,0.857116518775001,0.651111598592252
0.783,'no','179968  ',0,0.796371020143852,0.396392899798229
4.045,'yes','180455 ',0,0.0922189361881465,0.331170936813578
0.947,'no','293795  ',0,0.0929466839879751,0.0502877321559936
3.221,'yes','211957 ',0,0.603581879520789,0.361087863333523
2.6147,'yes','151207 ',0,0.980891079176217,0.177309170598164
5.6,'no','231362  ',0,0.554834975395352,0.204939586343244
3.2,'no','231231  ',0,0.351613177219406,0.927483284845948
2.346,'yes','163136 ',0,0.617064099526033,0.970428616274148
0.08,'no','163170  ',0,0.699897208949551,0.676474708132446
4.349,'no','301981  ',0,0.0387196231167763,0.481756030814722
1.55,'yes','163438 ',0,0.0660445860121399,0.631556614302099
0.97,'yes','276205 ',0,0.316016542026773,0.529782833298668
1.605,'no','292934  ',0,0.676101102028042,0.0727667105384171
0.49,'yes','377179 ',0,0.64892061217688,0.0477090794593096
1.24,'no','370791  ',0,0.00434125866740942,0.353055646410212
1.29,'no','103780  ',0,0.730850385734811,0.293720687041059
3.082,'yes','213823 ',0,0.228531911969185,0.00525863096117973
1.03,'yes','309010 ',0,0.81684953882359,0.0567060147877783
2.45,'no','286809  ',0,0.916293675312772,0.537055596942082
0.971,'yes','373172 ',0,0.912252336973324,0.84630751889199
3.24,'yes','111622 ',0,0.855543420882896,0.594538799487054
2.17,'yes','287364 ',0,0.559480587486178,0.959557449445128
4.667,'yes','412982 ',0,0.383596641710028,0.632969743339345
2.821,'yes','131560 ',0,0.423471009125933,0.335408770246431
0.5915,'no','106709  ',0,0.68779051816091,0.367522333981469
0.937,'yes','229185 ',0,0.339611641597003,0.08426891034469
2.68,'yes','213486 ',0,0.184274572180584,0.319503758568317
3.78,'yes','213630 ',0,0.428283178014681,0.497446727706119
3.375,'yes','346386 ',0,0.978753355331719,0.718221532646567
0.836,'yes','271019 ',0,0.952863150043413,0.677278408547863
3.355,'no','252593  ',0,0.783786403480917,0.687370258616284
3.626,'yes','285654 ',0,0.782299047335982,0.693642864003778
2.641,'yes','302888 ',0,0.773420424666256,0.245039698667824
1.14,'yes','297114 ',0,0.469757427461445,0.761617500567809
1.949,'no','111063  ',0,0.116880514658988,0.652014957275242
1.755,'no','420398  ',0,0.662369640544057,0.0349291001912206
1.44,'yes','111529 ',0,0.110234021907672,0.708987494232133
1.416,'yes','313116 ',0,0.161565188784152,0.541548883309588
1.6398,'yes','313299 ',0,0.66914049256593,0.957904829643667
3.036,'yes','313417 ',0,0.708104482619092,0.777944554109126
0.54,'yes','355083 ',0,0.436833155108616,0.550035305786878
3.038,'no','332851  ',0,0.543883875478059,0.8835582700558
2.352,'yes','255445 ',0,0.509461238281801,0.068795558065176
4.9,'no','209352  ',0,0.934929582290351,0.242458987049758
2.71,'yes','358422 ',0,0.284057818120345,0.896213767118752
0.82,'yes','278854 ',0,0.98750165104866,0.752536143409088
3.8479,'yes','332931 ',0,0.70985916745849,0.00107572879642248
2.31,'yes','278693 ',0,0.724780958378688,0.293589186156169
3.91,'no','180977  ',0,0.406436761608347,0.249932755948976
3.44,'no','238174  ',0,0.257949974853545,0.444490283261985
0.0331,'yes','191157 ',0,0.98754182853736,0.99947263346985
0.696,'yes','359951 ',0,0.544107289519161,0.904053911566734
2.512,'yes','335105 ',0,0.775166143197566,0.0915811606682837
0.83,'yes','151905 ',0,0.581607654225081,0.37072081095539
1.165,'no','259714  ',0,0.50573724322021,0.78934825072065
8.1,'no','350184  ',0,0.57331933779642,0.938950556097552
1.608,'yes','349510 ',0,0.330962468637154,0.691007036250085
2.04,'yes','282003 ',0,0.64667543116957,0.397541811689734
2.752,'yes','374210 ',0,0.533908186247572,0.180449729086831
1.092,'no','373674  ',0,0.344560653204098,0.746057434473187
0.54,'yes','221755 ',0,0.0849686856381595,0.54869874753058
1.71,'yes','373458 ',0,0.561951345065609,0.999049618607387
2.9,'no','113120  ',0,0.299223568290472,0.443127737147734
5.3,'no','150314  ',0,0.163737877039239,0.285211196402088
0.937,'yes','306757 ',0,0.159435632172972,0.310486433794722
1.95,'yes','306778 ',0,0.46774856839329,0.594064279925078
1.51,'yes','208169 ',0,0.168734757928178,0.460123190656304
0.542,'yes','425151 ',0,0.154466822277755,0.613790770992637
0.544,'yes','350311 ',0,0.329879829194397,0.0953486731741577
0.92,'yes','284856 ',0,0.947310712886974,0.61376374354586
