@relation input_data
@attribute Z numeric
@attribute uvot_detection {'no ','yes'}
@attribute useless numeric
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@attribute useless17 numeric
@attribute useless18 numeric
@attribute useless19 numeric
@attribute useless20 numeric
@attribute useless21 numeric
@attribute useless22 numeric
@attribute useless23 numeric
@attribute useless24 numeric
@attribute useless25 numeric
@attribute useless26 numeric
@attribute useless27 numeric
@attribute useless28 numeric
@attribute useless29 numeric
@attribute useless30 numeric
@data
0.297,'no ',0,0.95664400467649,0.51020007324405,0.158146299188957,0.289565419778228,0.226780371507630,0.588327398058027,0.637170996284112,0.816930324072018,0.124003543984145,0.0396272835787386,0.465264616068453,0.554272041190416,0.127151316031814,0.836831571999937,0.187508313916624,0.101767046377063,0.524648366495967,0.318515552673489,0.69884129264392,0.847104642307386,0.249084170907736,0.152142299339175,0.93136826204136,0.634227825561538,0.333593551535159,0.173443985171616,0.451879893662408,0.840490496018901,0.367810452356935,0.678851899458095
2.2,'yes',0,0.265033857896924,0.879632814321667,0.486522903898731,0.62155561381951,0.655878543388098,0.500922910869122,0.586097818566486,0.617163450224325,0.184877396095544,0.662172433454543,0.586026162374765,0.709978081984445,0.7505179469008,0.731990315252915,0.295452414080501,0.865021040895954,0.913613256532699,0.920602430356666,0.826567653566599,0.0973817219492048,0.11793217738159,0.971506190951914,0.921583762625232,0.775530122453347,0.243090750416741,0.8344979560934,0.196366030955687,0.74046042887494,0.99617211194709,0.330540068214759
1.505,'no ',0,0.168989463942125,0.550640722969547,0.762022801674902,0.617500693071634,0.889360529836267,0.835372177651152,0.0289251385256648,0.277028106385842,0.848692453233525,0.115401265677065,0.539455642225221,0.296450786991045,0.291708660079166,0.144277536775917,0.146041097119451,0.608993965666741,0.310303729726002,0.0203324062749743,0.250779540510848,0.25819505774416,0.51852140435949,0.830707755638286,0.361330290790647,0.747496691299602,0.819039492635056,0.0338698867708445,0.618279409362003,0.653074767906219,0.573094174033031,0.0149310275446624
1.51,'yes',0,0.751886517740786,0.438887081108987,0.881710385205224,0.451177818467841,0.859803668456152,0.818870257819071,0.579973474843428,0.804138958221301,0.0456481040455401,0.829177843173966,0.83618228090927,0.753517857054248,0.467123795067891,0.323726147646084,0.142848122632131,0.612084342632443,0.497129841707647,0.828105106949806,0.59327444806695,0.196239036042243,0.607812997186556,0.331107623176649,0.951675993623212,0.532501605339348,0.441991399042308,0.306884614285082,0.678302412154153,0.188350005075336,0.755785519490018,0.5934255621396
2.602,'yes',0,0.729487829143181,0.536617666250095,0.0252306915353984,0.335097700124606,0.885629801545292,0.683655678061768,0.511065442347899,0.510004439391196,0.20775466109626,0.395062249386683,0.494680375093594,0.747398321516812,0.710302993189543,0.356661086436361,0.93236399255693,0.110297309234738,0.067386033013463,0.307385813910514,0.430719253607094,0.855862748110667,0.984453457873315,0.218465884216130,0.134338332107291,0.424995347857475,0.501589656341821,0.0451832562685013,0.913818300934508,0.865861610276625,0.258598414249718,0.622999913990498
0.757,'no ',0,0.330048948992044,0.447889640927315,0.214578429469839,0.518171977717429,0.72117997170426,0.539395767264068,0.128049521939829,0.79063421022147,0.787467934889719,0.48754845932126,0.409768510609865,0.935516599565744,0.162865709979087,0.760178414639086,0.00674010603688657,0.635834467131644,0.757041723234579,0.0540340980514884,0.430912602925673,0.972677737707272,0.717907524202019,0.438507241662592,0.240059393923730,0.478568884544075,0.657991480315104,0.95116684329696,0.630750966956839,0.44607274280861,0.610059579601511,0.358443512348458
0.125,'yes',0,0.559874119004235,0.493433268042281,0.180344908498228,0.63613350992091,0.58576166536659,0.98605357017368,0.916245685657486,0.9034777963534,0.118639694992453,0.331928649451584,0.915065876208246,0.919768173014745,0.158478854922578,0.271058855112642,0.573743025772274,0.779858893249184,0.693881417158991,0.448644538642839,0.384956924011931,0.79723714501597,0.225368922576308,0.312312758760527,0.137391607742757,0.283893112791702,0.571391797857359,0.64615651150234,0.890276907710359,0.61740725603886,0.0107312386389822,0.528625778621063
0.258,'no ',0,0.647018298739567,0.79165435838513,0.643789753550664,0.00593436532653868,0.283360794186592,0.930088999681175,0.963801792822778,0.603559821844101,0.69933967734687,0.125856232596561,0.509354467503726,0.105463688494638,0.498241241788492,0.798952915240079,0.698376142419875,0.555973610142246,0.95310501055792,0.0831347778439522,0.460985875921324,0.165834300220013,0.382199772866443,0.0105160244274884,0.196447844151407,0.352400274248794,0.62832913454622,0.871043043909594,0.265256642829627,0.906857901951298,0.417444906430319,0.636910252273083
3.686,'no ',0,0.565065739210695,0.594057680573314,0.996907165274024,0.78412260627374,0.599930023308843,0.243726750137284,0.128496742341667,0.720084832515568,0.396768180653453,0.120779306860641,0.682279224740341,0.838780256686732,0.863423150032759,0.152549694525078,0.230039921589196,0.419399253325537,0.803583225468174,0.0241284060757607,0.683520114514977,0.085149756167084,0.0962425579782575,0.82142549031414,0.236245806328952,0.182485690107569,0.0569699320476502,0.180783217074350,0.63014554628171,0.0773940065409988,0.553229657467455,0.0662909657694399
2.43,'yes',0,0.306067908881232,0.558986352290958,0.538386690896004,0.623059278586879,0.98730134521611,0.962461012182757,0.282010167837143,0.315912652993575,0.285398905863985,0.526235711062327,0.213456054450944,0.278430637205020,0.111196896061301,0.082599668065086,0.341105396859348,0.122229819418862,0.759314191527665,0.00138478656299412,0.860267124138772,0.690591644495726,0.336472796741873,0.919042886933312,0.758238554699346,0.660852275090292,0.68125222553499,0.7842058876995,0.969912057043985,0.918273020535707,0.807474683970213,0.685021240031347
1.331,'no ',0,0.161291482159868,0.596578329103068,0.218251961981878,0.449568412033841,0.797842478612438,0.348093694075942,0.710599122103304,0.708293750649318,0.140975604997948,0.342880022479221,0.0884579066187143,0.730018437141553,0.140426413388923,0.258624959737062,0.0909822317771614,0.658409487921745,0.872597550740466,0.405409665778279,0.624623845331371,0.648208855185658,0.709452201146632,0.99353215075098,0.0187065319623798,0.987459192518145,0.201031584059820,0.128102036658674,0.325900266412646,0.55392848700285,0.223662535659969,0.422062738332897
1.18,'yes',0,0.525453848298639,0.5678483878728,0.573113161837682,0.338631260441616,0.245767727727070,0.92455299012363,0.0913177125621587,0.3045250531286,0.453754266258329,0.47049062885344,0.174592686118558,0.407870359020308,0.233072512084618,0.861171659315005,0.440294238971546,0.370921763125807,0.86035903566517,0.546335270628333,0.403933366993442,0.186823606491089,0.0124783890787512,0.605292418273166,0.43005010811612,0.143616727553308,0.211365161929280,0.332161572761834,0.00116095808334649,0.712080725934356,0.144776585744694,0.999246572842821
