@relation input_data
@attribute Z numeric
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'103780  ','106709  ','111063  ','111529 ','111622 ','113120  ','114753 ','117504  ','130088 ','131560 ','147478  ','148225 ','148646 ','148833  ','150314  ','151207 ','151905 ','152113  ','153514  ','154112 ','156467 ','163136 ','163170  ','163438 ','174738  ','176453  ','177408  ','177533  ','178750 ','179968  ','180455 ','180977  ','191157 ','192059 ','205851 ','207399 ','208169 ','209352  ','209755 ','211117 ','211957 ','213486 ','213630 ','213823 ','214805 ','217704 ','217805 ','219101 ','221755 ','228006 ','228316  ','228581 ','229185 ','231231  ','231362  ','232339  ','232683 ','238108  ','238174  ','239899 ','240766 ','252593  ','255445 ','259714  ','263361  ','271019 ','275087 ','276205 ','278693 ','278854 ','279592 ','280706 ','282003 ','282066  ','284856 ','285654 ','286809  ','287364 ','292934  ','293707  ','293795  ','294835  ','295670 ','296805  ','297114 ','299787 ','301981  ','302888 ','305288 ','306757 ','306778 ','308041 ','309010 ','309096 ','309111 ','310613 ','312047 ','313087 ','313116 ','313299 ','313417 ','316204 ','316534 ','317508 ','319016 ','319036  ','319584 ','323898 ','324561  ','324895 ','326115 ','330856 ','331093 ','332851  ','332931 ','334877  ','335105 ','336489 ','337914 ','338895 ','342121  ','346386 ','349510 ','350184  ','350311 ','352190  ','352648  ','353540 ','355083 ','357512 ','358422 ','359530 ','359711 ','359951 ','370791  ','370846 ','373172 ','373458 ','373674  ','374210 ','375246 ','377179 ','378559 ','412982 ','414592  ','416103 ','416135  ','419797 ','420398  ','421814  ','425151 '}
@attribute useless numeric
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@attribute useless17 numeric
@attribute useless18 numeric
@attribute useless19 numeric
@attribute useless20 numeric
@attribute useless21 numeric
@attribute useless22 numeric
@attribute useless23 numeric
@attribute useless24 numeric
@attribute useless25 numeric
@attribute useless26 numeric
@attribute useless27 numeric
@attribute useless28 numeric
@attribute useless29 numeric
@attribute useless30 numeric
@attribute useless31 numeric
@attribute useless32 numeric
@data
0.297,'no','152113  ',0,0.273998178541660,0.645539598772302,0.71390859875828,0.709466172382236,0.546985016902909,0.00518058123998344,0.508882442489266,0.212406023172662,0.100816249614581,0.0454210725147277,0.7116789650172,0.194116926053539,0.662408832460642,0.946274608373642,0.490193572128192,0.67776436265558,0.954029279993847,0.0583489467389882,0.681916147237644,0.588394373655319,0.96920780558139,0.113415813306347,0.99657342908904,0.455803602468222,0.420742631657049,0.405209735035896,0.963453462114558,0.898512470768765,0.93961845128797,0.835108206607401,0.0587468589656055,0.43764024367556
2.2,'yes','319016 ',0,0.521299114916474,0.243157306220382,0.186426683561876,0.96339119761251,0.878280354430899,0.994741004193202,0.443758810404688,0.558946716599166,0.105070536257699,0.693980475654826,0.499043567571789,0.0189474837388843,0.0941589281428605,0.459942353190854,0.51682228804566,0.810369770042598,0.833990328013897,0.476090183248743,0.403966937446967,0.105447092792019,0.232639962341636,0.153028471162543,0.204112631734461,0.358825243078172,0.896175597095862,0.655952323228121,0.171405937988311,0.857336254557595,0.160708258859813,0.739702405873686,0.697888714261353,0.328125085914508
1.505,'no','319036  ',0,0.0121183318551630,0.939171889796853,0.404809713363647,0.602105657802895,0.87469538138248,0.66474882257171,0.684194303117692,0.381413361523300,0.256082230713218,0.74232734926045,0.143953503808007,0.0377625594846904,0.4838007313665,0.919412514194846,0.923007839359343,0.974972967524081,0.778870880836621,0.047434339299798,0.545330728171393,0.250620514852926,0.0709488620050251,0.381156043848023,0.0859751931857318,0.771410759072751,0.69802851579152,0.602883684914559,0.242068762658164,0.570365865482017,0.621953199151903,0.176227733725682,0.887423912063241,0.147552866954356
1.51,'yes','308041 ',0,0.841117357602343,0.6107436879538,0.363168360199779,0.743857889203355,0.0696082792710513,0.639663857407868,0.588791658170521,0.499391159741208,0.52232431480661,0.698555381270126,0.355687395436689,0.868216298986226,0.240490066586062,0.966674153925851,0.645167111419141,0.117027600063011,0.285115433624014,0.243990162154660,0.228346331277862,0.294924950925633,0.255723088048398,0.515183091862127,0.0467078816145658,0.323221348924562,0.587086788378656,0.495708105619997,0.4178848171141,0.198511151364073,0.914022513432428,0.893634359585121,0.108842624584213,0.203353837830946
2.602,'yes','317508 ',0,0.566306026652455,0.777124711545184,0.743821468669921,0.0381434720475227,0.201348569942638,0.840150523465127,0.967316423542798,0.395774529781193,0.171975590288639,0.124292645836249,0.150712958537042,0.956259262748063,0.847462652949616,0.208900068886578,0.6617387146689,0.26903216750361,0.655992312123999,0.861720215063542,0.764014118816704,0.626179685583338,0.55227522761561,0.290434030815959,0.843900483800098,0.970804498298094,0.515022044768557,0.0764804179780185,0.502883796580136,0.857525886734948,0.548078044550493,0.420587871689349,0.694324773969129,0.129480273230001
0.757,'no','238108  ',0,0.948722925502807,0.270623746328056,0.805243178503588,0.284245835151523,0.0547604565508664,0.729784895665944,0.831598467193544,0.610392296686769,0.454986949218437,0.339259384665638,0.734072180697694,0.460263661807403,0.0740451379679143,0.531906843418255,0.14479293464683,0.551109182648361,0.164064283017069,0.441757362801582,0.240678527858108,0.27125902636908,0.891047332435846,0.904328477801755,0.100323181133717,0.147635370958596,0.387986789690331,0.419309017015621,0.300847174134105,0.682112947804853,0.00386079540476203,0.464275759644806,0.0445768949575722,0.837062759324908
0.125,'yes','214805 ',0,0.247143126092851,0.593404086539522,0.418553511379287,0.89722205651924,0.508902003290132,0.555502372793853,0.439632449066266,0.830574976280332,0.495885270182043,0.92253235471435,0.84937928756699,0.428456406109035,0.085093354806304,0.424836299847811,0.121802949113771,0.55417893640697,0.00466963206417859,0.629240593407303,0.288491499843076,0.292845777003095,0.698175984434783,0.901027867104858,0.801061767851934,0.0841555749066174,0.894597159232944,0.576381214894354,0.886645295890048,0.683269523782656,0.987450563116,0.832291022408754,0.114905930357054,0.651806210633367
0.258,'no','147478  ',0,0.0686396844685078,0.51687362161465,0.0744719873182476,0.95084517286159,0.240359562914819,0.163196471054107,0.805669749854133,0.667284518945962,0.346895674709231,0.23503570118919,0.0743718382436782,0.130634559318423,0.659206389915198,0.761900631012395,0.838491863571107,0.699996092356741,0.372716331388801,0.225077551323920,0.947218360612169,0.219521438935772,0.310329142957926,0.901612349553034,0.964737283298746,0.645143081434071,0.673087704228237,0.0171518824063241,0.895387675147504,0.0121094433125108,0.364338919753209,0.95609487267211,0.123642126563936,0.742978521157056
3.686,'no','228316  ',0,0.801954719237983,0.987685574917123,0.747335142921656,0.311397706856951,0.658480929676443,0.801424500066787,0.780861602863297,0.811119208810851,0.749894761480391,0.487096185330302,0.89151222910732,0.218768267193809,0.420914089074358,0.311107578920200,0.554991657147184,0.195846173446625,0.336990993469954,0.834413009695709,0.28606820711866,0.679015772650018,0.679359017172828,0.89288203092292,0.294634300284088,0.263477739179507,0.817412439966574,0.538058045320213,0.403628093888983,0.739491204731166,0.9153286581859,0.691632755799219,0.228354582330212,0.431458237813786
2.43,'yes','228581 ',0,0.432779203401878,0.638526616618037,0.0416775362100452,0.507220505038276,0.814722332637757,0.874496469972655,0.60875471890904,0.358469135593623,0.357347011100501,0.31956970714964,0.318526313873008,0.849504165584221,0.335795546416193,0.216253011953086,0.370859094429761,0.855129648931324,0.370901907561347,0.531837279908359,0.0985576843377203,0.235538911772892,0.820107829757035,0.476812338223681,0.491646158741787,0.8002455055248,0.801570113981143,0.231690779328346,0.92744889575988,0.94404746661894,0.340121804736555,0.716246861265972,0.903302505379543,0.393092785729095
