@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_5 numeric
@attribute PROB_Z_GT_4 numeric
@attribute PROB_Z_GT_3 numeric
@attribute PROB_Z_GT_2 numeric
@attribute PROB_Z_GT_1 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@data
2.2,-1.0332,?,?,?,3.753e-05,1.7746,31.1,?,?,7.49,143,1.024,0.02486,0.0817582,0.21499,0.454811,0.837496,'yes','yes',0.617920159362257,0.932821522234008,0.834278197027743,0.614532506791875,0.818940792931244,0.69862216967158,0.33058835263364,0.881619275314733,0.359020166331902,0.322280055843294
1.505,-1.5398,?,?,?,?,2.2564,49.7,?,?,8.81,224,1.024,0.058027,0.158883,0.351322,0.61464,0.910566,'yes','no',0.491518178256229,0.871600041165948,0.468609906267375,0.305046485038474,0.417048355331644,0.449741162359715,0.938845042604953,0.126802591374144,0.993703057290986,0.730753843206912
1.51,?,-2.3806,?,?,?,2.2345,13.4,?,?,7.58,187,1.024,0.0331163,0.0862009,0.192136,0.371174,0.729067,'yes','yes',0.369268544251099,0.106322647072375,0.739551198435947,0.658064228249714,0.384290619054809,0.293713733786717,0.296836083987728,0.658049218123779,0.70758227747865,0.36342218099162
2.602,-0.9507,?,?,?,0.0001218,1.9623,37.2,?,?,10.24,271,1.024,0.00929391,0.0366282,0.117212,0.314742,0.757605,'yes','yes',0.522334672976285,0.233083232538775,0.41551948687993,0.0853584851138294,0.951454531634226,0.817314541665837,0.723635362461209,0.103054623818025,0.297751034609973,0.406932038022205
0.757,-1.5558,?,?,?,?,1.8061,24.1,?,?,7.33,286,2.048,0.0756463,0.194119,0.402664,0.661859,0.925883,'yes','no',0.0992523755412549,0.901173975784332,0.0940317660570145,0.198136567370966,0.906687341164798,0.415175903355703,0.67031003604643,0.478667014278471,0.8035824932158,0.754558844259009
0.125,-1.9025,?,?,?,2.43e-05,1.8893,191.9,?,?,18.45,563,1.024,0.0200604,0.063965,0.17011,0.383612,0.806044,'yes','yes',0.500480657676235,0.443603599444032,0.327500477433205,0.329943147022277,0.902199567528442,0.233099222881719,0.57612129370682,0.605573056032881,0.420518510276452,0.427889024838805
0.258,-1.6403,?,?,?,?,1.5283,20.8,?,?,10.77,108,0.064,0.0126742,0.046395,0.136174,0.330306,0.742071,'yes','no',0.505134114762768,0.245227839099243,0.813377927057445,0.091027729678899,0.851017280016094,0.41925265151076,0.224816887173802,0.480058315210044,0.135033382102847,0.902962550288066
3.686,-1.9659,?,?,?,2.693e-05,1.7182,30.5,?,?,7.96,1462,64,0.0409828,0.101779,0.217178,0.40303,0.774962,'no','no',0.57496667210944,0.719156874809414,0.883940474363044,0.0308323833160102,0.627878858940676,0.115044652717188,0.756790082436055,0.345430444926023,0.48045390076004,0.351799389114603
2.43,-0.7727,?,?,?,?,1.8777,47.4,?,?,8.73,240,1.024,0.0401463,0.120785,0.292031,0.555503,0.886694,'yes','yes',0.302441932959482,0.626327004050836,0.270690880017355,0.781610117293894,0.897445308277383,0.775675673503429,0.476646756520495,0.252047051675618,0.674905996536836,0.196759347803891
1.331,-1.163,?,?,?,?,1.911,76.4,?,?,25.57,2183,1.024,0.0151024,0.0534918,0.155401,0.376221,0.801266,'yes','no',0.821213071001694,0.504947187611833,0.103679729858413,0.0240964824333787,0.0329575752839446,0.454888669541106,0.0284858399536461,0.39586842386052,0.252122323494405,0.317012833664194
