@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_4 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'103780','106709','111063','111529','111622','113120','114753','117504','130088','131560','147478','148225','148646','148833','150314','151207','151905','152113','153514','154112','156467','163136','163170','163438','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','282066','284856','285654','286809','287364','292934','293707','293795','294835','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309010','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','346386','349510','350184','350311','352190','352648','353540','355083','357512','358422','359530','359711','359951','370791','370846','373172','373458','373674','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@data
0.297,-1.2156,?,108.924,1.0308e-06,?,1.9336,12.5,?,34.44,8.16,533,8.192,0.101888,'yes','no','152113',0.761887458851561,0.208164043957368,0.211677165469155,0.441430289531127,0.377285234630108,0.873206575633958,0.461492991773412,0.644885118352249,0.465286802034825,0.911273390986025,0.0494654278736562,0.388829954434186,0.816744211362675,0.953194649890065,0.590971149737015,0.726188071304932
2.2,-1.0332,?,164.629,9.0185e-06,3.753e-05,1.7746,31.1,?,61.74,7.49,143,1.024,0.0817582,'yes','yes','319016',0.584388375747949,0.489312327699736,0.623117615003139,0.432206464931369,0.722966411150992,0.0819144935812801,0.39219698891975,0.455406282795593,0.421636124840006,0.731601677602157,0.438572575105354,0.885495456401259,0.466710105538368,0.859674155712128,0.360944379586726,0.630231991410255
1.505,-1.5398,?,151.04,4.47e-06,?,2.2564,49.7,?,111.84,8.81,224,1.024,0.158883,'yes','no','319036',0.00373722845688462,0.166963641066104,0.72397145233117,0.54445569915697,0.611247110413387,0.53289406048134,0.677801283076406,0.791420773603022,0.457218427909538,0.728974747937173,0.826772785745561,0.91516390396282,0.853511876659468,0.72975331172347,0.520159128587693,0.565288191894069
1.51,?,-2.3806,27.8861,4.4103e-07,?,2.2345,13.4,?,66.1,7.58,187,1.024,0.0862009,'yes','yes','308041',0.292793357744813,0.79106015036814,0.107432146091014,0.606656406773254,0.406452706083655,0.921185988700017,0.722754088463262,0.831915764836594,0.545719414018095,0.842035990441218,0.438230370637029,0.885986713459715,0.463323506293818,0.593443815363571,0.333834394579753,0.603568350197747
2.602,-0.9507,?,283.284,3.4109e-05,0.0001218,1.9623,37.2,?,29.92,10.24,271,1.024,0.0366282,'yes','yes','317508',0.941285877721384,0.90916151413694,0.0894634928554296,0.509560302132741,0.161614974029362,0.0484593000728637,0.353325996082276,0.680343125713989,0.531949156196788,0.760280180256814,0.870720737846568,0.837046667933464,0.958832697244361,0.584850178332999,0.270056039094925,0.078713986556977
0.757,-1.5558,?,76.6923,2.0145e-06,?,1.8061,24.1,-0.047,47.04,7.33,286,2.048,0.194119,'yes','no','238108',0.549824917688966,0.81118499301374,0.293200664920732,0.9292930229567,0.838873057160527,0.136239200597629,0.912861881777644,0.459401563042775,0.125156809343025,0.901769019896165,0.350334767019376,0.376146088819951,0.0594363419804722,0.132285520434380,0.870823707897216,0.262672912562266
0.125,-1.9025,?,208.241,2.8219e-05,2.43e-05,1.8893,191.9,?,108.8,18.45,563,1.024,0.063965,'yes','yes','214805',0.942004203563556,0.916294932831079,0.6492600152269,0.97410311573185,0.357106625102460,0.80118098622188,0.493228654609993,0.509430489735678,0.66417886223644,0.23998905508779,0.216889678267762,0.474437919678167,0.945854062912986,0.347979647805914,0.0367541653104126,0.318220216780901
0.258,-1.6403,?,85.0863,5.4525e-07,?,1.5283,20.8,?,2.5,10.77,108,0.064,0.046395,'yes','no','147478',0.207533334614709,0.248867116635665,0.585109896259382,0.58975872839801,0.878241995349526,0.589397774776444,0.196402159752324,0.788504256866872,0.739332759287208,0.358617515070364,0.336297687143087,0.223539627855644,0.87655336689204,0.935266113607213,0.493788861436769,0.594982975395396
3.686,-1.9659,?,?,3.5575e-06,2.693e-05,1.7182,30.5,?,72.96,7.96,1462,64,0.101779,'no','no','228316',0.944704184308648,0.0908611121121794,0.552270016400144,0.500975160393864,0.347983649233356,0.0275958580896258,0.107562496094033,0.272723003523424,0.542619968531653,0.853857189416885,0.202258099336177,0.262150537455454,0.297711834311485,0.0771874703932554,0.0478646522387862,0.936858876608312
2.43,-0.7727,?,?,4.1281e-06,?,1.8777,47.4,?,18.48,8.73,240,1.024,0.120785,'yes','yes','228581',0.255849205655977,0.711826948216185,0.984801697311923,0.361799484118819,0.840874060755596,0.102117846719921,0.447564660338685,0.101851820247248,0.793684735661373,0.720894277794287,0.458205502247438,0.660662405192852,0.801204780815169,0.778423160780221,0.0910673511680216,0.646968665532768
