@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_4 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'103780','106709','111063','111529','111622','113120','114753','117504','130088','131560','147478','148225','148646','148833','150314','151207','151905','152113','153514','154112','156467','163136','163170','163438','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','282066','284856','285654','286809','287364','292934','293707','293795','294835','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309010','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','346386','349510','350184','350311','352190','352648','353540','355083','357512','358422','359530','359711','359951','370791','370846','373172','373458','373674','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@data
0.297,-1.2156,?,108.924,1.0308e-06,?,1.9336,12.5,?,34.44,8.16,533,8.192,0.101888,'yes','no','152113',0.654971939977258,0.551516910083592
2.2,-1.0332,?,164.629,9.0185e-06,3.753e-05,1.7746,31.1,?,61.74,7.49,143,1.024,0.0817582,'yes','yes','319016',0.280279312282801,0.393285771599039
1.505,-1.5398,?,151.04,4.47e-06,?,2.2564,49.7,?,111.84,8.81,224,1.024,0.158883,'yes','no','319036',0.104430934647098,0.395499743754044
1.51,?,-2.3806,27.8861,4.4103e-07,?,2.2345,13.4,?,66.1,7.58,187,1.024,0.0862009,'yes','yes','308041',0.855893307365477,0.0546378951985389
2.602,-0.9507,?,283.284,3.4109e-05,0.0001218,1.9623,37.2,?,29.92,10.24,271,1.024,0.0366282,'yes','yes','317508',0.0108821764588356,0.8474696141202
0.757,-1.5558,?,76.6923,2.0145e-06,?,1.8061,24.1,-0.047,47.04,7.33,286,2.048,0.194119,'yes','no','238108',0.253832095302641,0.0659762683790177
0.125,-1.9025,?,208.241,2.8219e-05,2.43e-05,1.8893,191.9,?,108.8,18.45,563,1.024,0.063965,'yes','yes','214805',0.415864526294172,0.295197176048532
0.258,-1.6403,?,85.0863,5.4525e-07,?,1.5283,20.8,?,2.5,10.77,108,0.064,0.046395,'yes','no','147478',0.893233361188322,0.889818873722106
3.686,-1.9659,?,?,3.5575e-06,2.693e-05,1.7182,30.5,?,72.96,7.96,1462,64,0.101779,'no','no','228316',0.272363498806953,0.70503756776452
2.43,-0.7727,?,?,4.1281e-06,?,1.8777,47.4,?,18.48,8.73,240,1.024,0.120785,'yes','yes','228581',0.212390322703868,0.320371848531067
