@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_4 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'103780','106709','111063','111529','111622','113120','114753','117504','130088','131560','147478','148225','148646','148833','150314','151207','151905','152113','153514','154112','156467','163136','163170','163438','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','282066','284856','285654','286809','287364','292934','293707','293795','294835','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309010','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','346386','349510','350184','350311','352190','352648','353540','355083','357512','358422','359530','359711','359951','370791','370846','373172','373458','373674','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@data
0.297,-1.2156,?,108.924,1.0308e-06,?,1.9336,12.5,?,34.44,8.16,533,8.192,0.101888,'yes','no','152113',0.677463505649939,0.687217307044193,0.610626479843631,0.288133571855724
2.2,-1.0332,?,164.629,9.0185e-06,3.753e-05,1.7746,31.1,?,61.74,7.49,143,1.024,0.0817582,'yes','yes','319016',0.583265689201653,0.758374510332942,0.139914618106559,0.966232037404552
1.505,-1.5398,?,151.04,4.47e-06,?,2.2564,49.7,?,111.84,8.81,224,1.024,0.158883,'yes','no','319036',0.549372029257938,0.550040127709508,0.140482887858525,0.155090976739302
1.51,?,-2.3806,27.8861,4.4103e-07,?,2.2345,13.4,?,66.1,7.58,187,1.024,0.0862009,'yes','yes','308041',0.257445957046002,0.164990331046283,0.0137130739167333,0.86838634731248
2.602,-0.9507,?,283.284,3.4109e-05,0.0001218,1.9623,37.2,?,29.92,10.24,271,1.024,0.0366282,'yes','yes','317508',0.488017802592367,0.0577604754362255,0.126239203847945,0.765159199712798
0.757,-1.5558,?,76.6923,2.0145e-06,?,1.8061,24.1,-0.047,47.04,7.33,286,2.048,0.194119,'yes','no','238108',0.560312167275697,0.667461055098101,0.805516575230286,0.0402418109588325
0.125,-1.9025,?,208.241,2.8219e-05,2.43e-05,1.8893,191.9,?,108.8,18.45,563,1.024,0.063965,'yes','yes','214805',0.651075360830873,0.606144495075569,0.517175314715132,0.414405357325450
0.258,-1.6403,?,85.0863,5.4525e-07,?,1.5283,20.8,?,2.5,10.77,108,0.064,0.046395,'yes','no','147478',0.549929090775549,0.159119064919651,0.984442109940574,0.525719838915393
3.686,-1.9659,?,?,3.5575e-06,2.693e-05,1.7182,30.5,?,72.96,7.96,1462,64,0.101779,'no','no','228316',0.69400396454148,0.526260286802426,0.662707824027166,0.0940104599576443
2.43,-0.7727,?,?,4.1281e-06,?,1.8777,47.4,?,18.48,8.73,240,1.024,0.120785,'yes','yes','228581',0.0279610087163746,0.183365838136524,0.898249240126461,0.381145113613456
1.331,-1.163,?,?,3.4001e-06,?,1.911,76.4,?,6.48,25.57,2183,1.024,0.0534918,'yes','no','296805',0.739735217299312,0.632707555079833,0.364670943468809,0.212743382900953
1.18,?,-2.287,36.1062,2.5124e-07,?,2.2253,18,-0.055,4.3,9.1,189,0.512,0.0586255,'yes','yes','416103',0.612773023545742,0.215035325381905,0.289675597567111,0.941262817243114
0.059,?,-2.3481,32.4207,2.2302e-06,?,?,7.6,?,422,7.83,1835,64,0.181122,'no','no','416135',0.607149097835645,0.53075069305487,0.388483472168446,0.197678581345826
1.16,?,-2.1268,41.9671,2.0585e-07,?,?,10.1,?,5.34,?,?,?,0.099199,?,'yes','279592',0.739959764294326,0.44164271838963,0.189628313528374,0.854511324316263
