@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_4 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'103780','106709','111063','111529','111622','113120','114753','117504','130088','131560','147478','148225','148646','148833','150314','151207','151905','152113','153514','154112','156467','163136','163170','163438','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','282066','284856','285654','286809','287364','292934','293707','293795','294835','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309010','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','346386','349510','350184','350311','352190','352648','353540','355083','357512','358422','359530','359711','359951','370791','370846','373172','373458','373674','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@attribute useless17 numeric
@attribute useless18 numeric
@attribute useless19 numeric
@attribute useless20 numeric
@attribute useless21 numeric
@attribute useless22 numeric
@attribute useless23 numeric
@attribute useless24 numeric
@attribute useless25 numeric
@attribute useless26 numeric
@attribute useless27 numeric
@attribute useless28 numeric
@attribute useless29 numeric
@attribute useless30 numeric
@attribute useless31 numeric
@attribute useless32 numeric
@attribute useless33 numeric
@attribute useless34 numeric
@attribute useless35 numeric
@attribute useless36 numeric
@attribute useless37 numeric
@attribute useless38 numeric
@attribute useless39 numeric
@attribute useless40 numeric
@attribute useless41 numeric
@attribute useless42 numeric
@attribute useless43 numeric
@attribute useless44 numeric
@attribute useless45 numeric
@attribute useless46 numeric
@attribute useless47 numeric
@attribute useless48 numeric
@attribute useless49 numeric
@attribute useless50 numeric
@attribute useless51 numeric
@attribute useless52 numeric
@attribute useless53 numeric
@attribute useless54 numeric
@attribute useless55 numeric
@attribute useless56 numeric
@attribute useless57 numeric
@attribute useless58 numeric
@attribute useless59 numeric
@attribute useless60 numeric
@attribute useless61 numeric
@attribute useless62 numeric
@attribute useless63 numeric
@attribute useless64 numeric
@data
0.297,-1.2156,?,108.924,1.0308e-06,?,1.9336,12.5,?,34.44,8.16,533,8.192,0.101888,'yes','no','152113',0.345308835385367,0.140495761763304,0.257592248031870,0.602122058626264,0.410936307627708,0.390067794825882,0.666792253497988,0.985519489040598,0.216022330103442,0.765338552650064,0.00136048812419176,0.19449358782731,0.854414506582543,0.260508046718314,0.484136715531349,0.539959991816431,0.199500516057014,0.55934809637256,0.739802792901173,0.0871182642877102,0.567681207554415,0.252760079689324,0.47714766394347,0.0753579176962376,0.74365255353041,0.88020322425291,0.43780745123513,0.438403921900317,0.827197667676955,0.899330713320524,0.717609337065369,0.272735549602658,0.372771316440776,0.287089248886332,0.351421080064029,0.887780522694811,0.267380394041538,0.523607668001205,0.0798245617188513,0.558865367434919,0.600741358473897,0.249053695937619,0.0437933357898146,0.256854295963421,0.60079184640199,0.880310273030773,0.294921436812729,0.135583423776552,0.733312329975888,0.653912800597027,0.333096616202965,0.225728055462241,0.81199518381618,0.00676962547004223,0.198653507977724,0.70090898242779,0.356944648548961,0.959247508551925,0.814399800496176,0.705322462599725,0.61190015822649,0.809899693354964,0.728123908862472,0.60225782985799
2.2,-1.0332,?,164.629,9.0185e-06,3.753e-05,1.7746,31.1,?,61.74,7.49,143,1.024,0.0817582,'yes','yes','319016',0.216721231816337,0.515562143409625,0.239428780507296,0.790278300642967,0.189571820665151,0.950949610443786,0.232441529631615,0.345693625742570,0.182592819444835,0.219808637397364,0.942617881810293,0.20389167428948,0.920131776947528,0.095189723186195,0.231647773645818,0.460670095635578,0.772030406165868,0.108790248632431,0.873739264672622,0.648654956836253,0.29169932869263,0.614266644464806,0.369320612633601,0.731974733294919,0.488282615318894,0.224874933715910,0.267801195848733,0.922698043519631,0.784447348443791,0.133854120504111,0.294440471567214,0.322163128759712,0.735764385899529,0.468373386655003,0.67004234297201,0.636035686125979,0.319739380851388,0.95372243411839,0.629100303864107,0.180331762880087,0.524060196708888,0.89437560737133,0.996867424575612,0.379460763884708,0.510247692000121,0.317098940489814,0.152797682210803,0.198158643674105,0.356678236043081,0.237633072305471,0.898721716133878,0.362787836929783,0.0216326760128140,0.103715147590265,0.612154219532385,0.234628720209002,0.883693647803739,0.762681625317782,0.631497814552858,0.969673120882362,0.0452192218508571,0.718165999045596,0.989531665109098,0.779150078771636
1.505,-1.5398,?,151.04,4.47e-06,?,2.2564,49.7,?,111.84,8.81,224,1.024,0.158883,'yes','no','319036',0.65704995393753,0.865262245759368,0.215547588653862,0.41555872769095,0.879883534042165,0.372823593672365,0.42135838419199,0.892587988171726,0.356635767733678,0.655803595669568,0.700188535498455,0.0108464804943651,0.96114829997532,0.716337065445259,0.429015186149627,0.763596675125882,0.97506965463981,0.392443305114284,0.966908944770694,0.105218528304249,0.231413238681853,0.421735185664147,0.73835773859173,0.756383972940966,0.623264653142542,0.73806897783652,0.805186125217006,0.372920344118029,0.107008440885693,0.665857486194,0.65452594566159,0.49424715153873,0.997813350521028,0.764289610320702,0.626540782628581,0.322363315382972,0.413084898609668,0.481623164145276,0.0151906046085060,0.718347451649606,0.852782509522513,0.363549784058705,0.368579569738358,0.00782395130954683,0.0612152654211968,0.184018470346928,0.178330851253122,0.978517103241757,0.757631215499714,0.786508654709905,0.061465420993045,0.793954204535112,0.662459099898115,0.489006063900888,0.105402235407382,0.176032339688390,0.604769335361198,0.248868061695248,0.129819157999009,0.74054950219579,0.440032221144065,0.159491605358198,0.243679485749453,0.791814571712166
1.51,?,-2.3806,27.8861,4.4103e-07,?,2.2345,13.4,?,66.1,7.58,187,1.024,0.0862009,'yes','yes','308041',0.463848896790296,0.798632705351338,0.244051318848506,0.156866741599515,0.184791856445372,0.708021970000118,0.69015599344857,0.00320969941094518,0.754379856633022,0.092347661498934,0.660674460697919,0.0648257879074663,0.230394603451714,0.144417947623879,0.49472232745029,0.0951614051591605,0.68861263920553,0.946158582577482,0.477559969294816,0.857198081212118,0.598262370564044,0.243715167511255,0.0585949998348951,0.498820920241997,0.441060325596482,0.558723898604512,0.709529963089153,0.486583007266745,0.211725167697296,0.0947784893214703,0.350661450298503,0.679769546026364,0.487141818506643,0.297077292576432,0.326424150494859,0.0170498471707106,0.82101142918691,0.285849944921210,0.249678281368688,0.128114955499768,0.369223588611931,0.998753233114257,0.643004664685577,0.834548375103623,0.479822178604081,0.570587270660326,0.146670057671145,0.780248333700001,0.666699479566887,0.312241166364402,0.716712167253718,0.460863696411252,0.642147650243714,0.529354944592342,0.637944080401212,0.870715911965817,0.463704898487777,0.475654500070959,0.957222155295312,0.551270364085212,0.667322784895077,0.811755898408592,0.0180548692587763,0.756057839374989
2.602,-0.9507,?,283.284,3.4109e-05,0.0001218,1.9623,37.2,?,29.92,10.24,271,1.024,0.0366282,'yes','yes','317508',0.206818876089528,0.415740503696725,0.379660232458264,0.168691355269402,0.866345893591642,0.527839330490679,0.862066427944228,0.877296106424183,0.996506514260545,0.193004120839760,0.479446744080633,0.292219476075843,0.103035180363804,0.722641826374456,0.784278685227036,0.513742227107286,0.625939914025366,0.95102635025978,0.529822786105797,0.863169975345954,0.0570750238839537,0.263004833832383,0.336253136163577,0.00642568827606738,0.448229782050475,0.393432386685163,0.523382015991956,0.595137376803905,0.250759495422244,0.45294634019956,0.756637093378231,0.842511408729479,0.0980611194390804,0.264930002624169,0.50896983826533,0.312350619351491,0.279258074471727,0.346497930819169,0.0309786750003695,0.560038007097319,0.503663785289973,0.111332669388503,0.721046860329807,0.302451716503128,0.0988866987172514,0.623686889652163,0.260943359695375,0.413889249321073,0.572035533608869,0.926862616557628,0.884328277315944,0.267723127268255,0.492204962531105,0.222593507263809,0.0620339445304126,0.011156156193465,0.106060071848333,0.569379851454869,0.565807279897854,0.749688713811338,0.847223999444395,0.843423874583095,0.236373841064051,0.926984825404361
0.757,-1.5558,?,76.6923,2.0145e-06,?,1.8061,24.1,-0.047,47.04,7.33,286,2.048,0.194119,'yes','no','238108',0.594351096777245,0.46967442240566,0.794883037684485,0.468046277761459,0.923552986467257,0.656678688246757,0.723130341386423,0.0665130079723895,0.311318454332650,0.906300978036597,0.860820366768166,0.991909648757428,0.0223211902193725,0.945098311407492,0.206999966176227,0.491736704017967,0.814622823847458,0.374962595058605,0.768853725632653,0.282573419855908,0.72036240552552,0.369875685544685,0.246812609722838,0.74272920214571,0.371298898709938,0.885353682097048,0.801237301668152,0.88552355603315,0.228839380899444,0.717532683862373,0.511370667023584,0.494126911042258,0.39095188700594,0.380582753103226,0.0695212201680988,0.0684072079602629,0.130635259672999,0.0187533961143345,0.192804675782099,0.291985201416537,0.650665242690593,0.744460207642987,0.341611249139532,0.32764394604601,0.217559990240261,0.46844319999218,0.550603885902092,0.143482467392460,0.829472969984636,0.425387266790494,0.377401407342404,0.833581588696688,0.499355909880251,0.639174729352817,0.0999392187222838,0.964288457296789,0.140673589659855,0.839555207407102,0.00558181921951473,0.997535627800971,0.64406682155095,0.667639635270461,0.478122387779877,0.642633561044931
0.125,-1.9025,?,208.241,2.8219e-05,2.43e-05,1.8893,191.9,?,108.8,18.45,563,1.024,0.063965,'yes','yes','214805',0.565343822352588,0.784746871097013,0.334809767082334,0.571150743635371,0.104133129119873,0.665017692837864,0.674966959748417,0.484485257184133,0.431882863631472,0.376065043732524,0.0386749494355172,0.331514205550775,0.625576776918024,0.0266178459860384,0.854545929003507,0.543507844209671,0.674447195138782,0.593601628672332,0.783870655111969,0.536354270763695,0.252458973554894,0.917281405301765,0.943055289797485,0.787275578826666,0.601474365685135,0.414157821564004,0.525610847165808,0.873984267702326,0.0682762858923525,0.720140854362398,0.595008292002603,0.849384490400553,0.33328287047334,0.947441753232852,0.746935565955937,0.512947105104104,0.35429638507776,0.183903580065817,0.163651911076158,0.724895100807771,0.131643289467320,0.360932904295623,0.683883033692837,0.416563693434,0.620685941306874,0.460038414457813,0.466562280664220,0.213697483763099,0.0155907045118511,0.743874904466793,0.134875827468932,0.835034032352269,0.826455779373646,0.616285753436387,0.0354656202252954,0.839524101698771,0.195651816669852,0.0223321060184389,0.147357259644195,0.224119987338781,0.0133284451439977,0.431937456596643,0.110557337990031,0.545071342494339
0.258,-1.6403,?,85.0863,5.4525e-07,?,1.5283,20.8,?,2.5,10.77,108,0.064,0.046395,'yes','no','147478',0.22615122445859,0.774937820620835,0.808393203420565,0.194640955654904,0.105287121608853,0.275165840052068,0.94626523181796,0.302187270950526,0.872682954184711,0.0618196551222354,0.274883656064048,0.630283033940941,0.815578832291067,0.393800991820171,0.722780240699649,0.789868130814284,0.631737739080563,0.416298587806523,0.226859590969980,0.09340487443842,0.92110494337976,0.835487174335867,0.574698704527691,0.343029217561707,0.191356281517074,0.347013798076659,0.79598165070638,0.0362765637692064,0.081531185656786,0.936714545823634,0.666448508156464,0.00985726923681796,0.745836039772257,0.494986302219331,0.216588259674609,0.481810070807114,0.459753666305915,0.570155810099095,0.615296998759732,0.32241274882108,0.171078387647867,0.969679456902668,0.93076182808727,0.118989429902285,0.810319675831124,0.494489188538864,0.558552586939186,0.854289865586907,0.0946701013017446,0.0694335449952632,0.722062985179946,0.934077429352328,0.894323786953464,0.0308271993417293,0.970036870799959,0.46000432735309,0.713146226713434,0.0998297312762588,0.59010028350167,0.866772669833153,0.301562282023951,0.622123101726174,0.432765302946791,0.271698751021177
3.686,-1.9659,?,?,3.5575e-06,2.693e-05,1.7182,30.5,?,72.96,7.96,1462,64,0.101779,'no','no','228316',0.856903575826436,0.396445650840178,0.539410475641489,0.067311443388462,0.237982223974541,0.592349874554202,0.544408199144527,0.586800074437633,0.99173562694341,0.339403965044767,0.299966649618,0.755335302092135,0.25350009300746,0.945584595901892,0.148072962416336,0.333068452775478,0.259312862996012,0.432877762475982,0.68602403998375,0.624821503413841,0.611652404535562,0.689154690830037,0.00830546976067126,0.221748115029186,0.0389462809544057,0.534071914153174,0.514565483666956,0.406509442953393,0.226216524606571,0.720710948575288,0.0596328598912805,0.0143041671253741,0.793514589779079,0.0921725928783417,0.27607008931227,0.501772460062057,0.478171861730516,0.137246957048774,0.560990383848548,0.274606077698991,0.107454688521102,0.575926122488454,0.62832715944387,0.830726710613817,0.788060736609623,0.484067439334467,0.319023672724143,0.547982570482418,0.571767451241612,0.201662167906761,0.0475395254325122,0.314320534234866,0.834202981786802,0.79132833564654,0.704786939779297,0.379895973484963,0.99332294985652,0.630533797200769,0.0984809526707977,0.58406828599982,0.400053379358724,0.441336269723251,0.281716678058729,0.271260669920594
2.43,-0.7727,?,?,4.1281e-06,?,1.8777,47.4,?,18.48,8.73,240,1.024,0.120785,'yes','yes','228581',0.504041918553412,0.080841068411246,0.578776839654893,0.513502612011507,0.98082167422399,0.444534041918814,0.4010831261985,0.497658129315823,0.00218716822564602,0.19685097807087,0.78740388667211,0.0152949332259595,0.811753930523992,0.122798134572804,0.0456682906951755,0.552049182122573,0.684963682666421,0.717906331410632,0.504107762826607,0.137161320773885,0.366854620864615,0.218533079139888,0.54271895927377,0.9026323473081,0.793269553687423,0.965776231139898,0.623197468928993,0.755617733346298,0.185241688042879,0.0468437424860895,0.202798137208447,0.249201557133347,0.375799503177404,0.182547751115635,0.93967917142436,0.871381694683805,0.320245762122795,0.05077068018727,0.872119810199365,0.306195760844275,0.0101591360289603,0.226953829871491,0.794446218758821,0.0201381966471672,0.106163728749380,0.116078450344503,0.97326297312975,0.73987982631661,0.317447780864313,0.022709253244102,0.827476378297433,0.692619021749124,0.372165244072676,0.887424737913534,0.189420303562656,0.024208354530856,0.554891996318474,0.461821689037606,0.827475053723902,0.0516900012735277,0.514553851913661,0.648694063071162,0.55756557895802,0.0199153989087790
