@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute B numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute FLX_PC_LATE numeric
@attribute GAM_PC numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_4 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'103780','106709','111063','111529','111622','113120','114753','117504','130088','131560','147478','148225','148646','148833','150314','151207','151905','152113','153514','154112','156467','163136','163170','163438','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','282066','284856','285654','286809','287364','292934','293707','293795','294835','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309010','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','346386','349510','350184','350311','352190','352648','353540','355083','357512','358422','359530','359711','359951','370791','370846','373172','373458','373674','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@data
0.297,-1.2156,?,108.924,1.0308e-06,?,1.9336,12.5,?,34.44,8.16,533,8.192,0.101888,'yes','no','152113',0.666356171714142,0.95655241375789,0.299520540516824,0.42145902197808,0.42549804947339,0.812253271229565,0.55135216168128,0.712458798428997
2.2,-1.0332,?,164.629,9.0185e-06,3.753e-05,1.7746,31.1,?,61.74,7.49,143,1.024,0.0817582,'yes','yes','319016',0.122287450125441,0.096422738628462,0.750968458363786,0.885296466294676,0.516381262568757,0.837139861192554,0.707636266713962,0.555328483926132
1.505,-1.5398,?,151.04,4.47e-06,?,2.2564,49.7,?,111.84,8.81,224,1.024,0.158883,'yes','no','319036',0.921512904809788,0.140600018436089,0.0737092986237258,0.406849878141657,0.84150205180049,0.0194166030269116,0.388722402276471,0.447323793312535
1.51,?,-2.3806,27.8861,4.4103e-07,?,2.2345,13.4,?,66.1,7.58,187,1.024,0.0862009,'yes','yes','308041',0.661734929075465,0.156899156747386,0.232739589642733,0.540924968663603,0.603687117341906,0.33299445360899,0.610098969889805,0.0164308371022344
2.602,-0.9507,?,283.284,3.4109e-05,0.0001218,1.9623,37.2,?,29.92,10.24,271,1.024,0.0366282,'yes','yes','317508',0.744376126211137,0.731690616812557,0.251133650774136,0.0963197641540319,0.0750747371930629,0.964823588728905,0.224482914200053,0.806257179705426
0.757,-1.5558,?,76.6923,2.0145e-06,?,1.8061,24.1,-0.047,47.04,7.33,286,2.048,0.194119,'yes','no','238108',0.435622449498624,0.408104848116636,0.319754080614075,0.880701147485524,0.224130390677601,0.68408926925622,0.0477418848313391,0.655030156020075
0.125,-1.9025,?,208.241,2.8219e-05,2.43e-05,1.8893,191.9,?,108.8,18.45,563,1.024,0.063965,'yes','yes','214805',0.937191465403885,0.74366812617518,0.673967040609568,0.217246911721304,0.779444690560922,0.0544718855526298,0.816626517800614,0.123210068559274
0.258,-1.6403,?,85.0863,5.4525e-07,?,1.5283,20.8,?,2.5,10.77,108,0.064,0.046395,'yes','no','147478',0.410070768324658,0.630250433692709,0.94469535117969,0.106449025915936,0.899087504250929,0.890705212717876,0.402835055720061,0.531344517832622
3.686,-1.9659,?,?,3.5575e-06,2.693e-05,1.7182,30.5,?,72.96,7.96,1462,64,0.101779,'no','no','228316',0.0541849255096167,0.216948242159560,0.980370113160461,0.0223814151249826,0.0261054600123316,0.383248024620116,0.398108422989026,0.521493444917724
2.43,-0.7727,?,?,4.1281e-06,?,1.8777,47.4,?,18.48,8.73,240,1.024,0.120785,'yes','yes','228581',0.99748849007301,0.145177469355986,0.438261497765779,0.611211554147303,0.311264634132385,0.96518086292781,0.698125736089423,0.67258754489012
1.331,-1.163,?,?,3.4001e-06,?,1.911,76.4,?,6.48,25.57,2183,1.024,0.0534918,'yes','no','296805',0.570242206566036,0.252713545458391,0.69247417920269,0.829608348431066,0.554049058118835,0.462700842181221,0.238165210466832,0.105183083331212
1.18,?,-2.287,36.1062,2.5124e-07,?,2.2253,18,-0.055,4.3,9.1,189,0.512,0.0586255,'yes','yes','416103',0.922133773565292,0.926222792360932,0.22497825557366,0.566198572982103,0.0845650953706354,0.198809734778479,0.219396387692541,0.389950377400964
0.059,?,-2.3481,32.4207,2.2302e-06,?,?,7.6,?,422,7.83,1835,64,0.181122,'no','no','416135',0.34990287409164,0.182679862482473,0.346375834662467,0.598839384969324,0.322058635763824,0.748616740806028,0.686480000382289,0.605652074562386
1.16,?,-2.1268,41.9671,2.0585e-07,?,?,10.1,?,5.34,?,?,?,0.099199,?,'yes','279592',0.125565234804526,0.094376950059086,0.646391065791249,0.101088409777731,0.534681991441175,0.228301616618410,0.200203106040135,0.846488995943218
1.547,-1.3593,?,182.27,1.4244e-05,6.504e-05,1.7717,35.5,?,30.69,9.37,239,2.048,0.0797668,'yes','yes','338895',0.976844349177554,0.339871794683859,0.765311125433072,0.680228962330148,0.509924340294674,0.839687119238079,0.575176979647949,0.116298038512468
1.692,-1.7327,?,63.3245,3.9593e-06,0.0001098,2.1169,39.8,?,284.9,8.92,2444,112,0.202398,'no','yes','326115',0.181679851841182,0.824921461055055,0.878902854863554,0.714095483534038,0.637776753865182,0.949185092700645,0.859853624133393,0.147331949323416
3.85,-0.981,?,128.993,3.254e-06,?,1.7634,15.2,-0.032,81.77,8.61,647,12.16,0.108463,'yes','no','352648',0.57792197051458,0.528045158367604,0.7873691318091,0.869913476286456,0.147268549771979,0.759420116664842,0.066279424354434,0.867687970167026
4.109,-1.5604,?,101.184,1.4903e-05,0.0001171,2.1406,24,?,228.48,8.83,554,26.88,0.154407,'yes','no','352190',0.842766169458628,0.452976832631975,0.811163496691734,0.780599259072915,0.30169599596411,0.345089114736766,0.336597044253722,0.731747123412788
2.296,?,-2.0001,29.6428,4.7567e-07,0.0001794,2.0113,5.4,0.058,8.16,6.59,166,1.024,0.125147,'yes','yes','178750',0.26967677497305,0.502724090823904,0.368796670343727,0.502588581060991,0.419041157467291,0.836337884888053,0.71217271219939,0.701248400146142
0.6535,-0.864,?,24.1774,3.5115e-07,2.559e-05,2.076,17.5,0.234,2.91,11,?,0.512,0.00434538,'yes','yes','114753',0.614170951070264,0.219999956898391,0.811640072381124,0.543748416472226,0.969133995240554,0.133626920869574,0.856434880988672,0.8741761429701
2.711,-1.9028,?,?,4.2985e-06,1.251e-05,2.0368,44,?,118.72,8.78,363,4.096,0.146599,'yes','yes','219101',0.367101294454187,0.392985991435125,0.580814092187211,0.0741982380859554,0.942695666570216,0.948915373766795,0.077318660914898,0.051430749706924
2.452,-1.2922,?,151.459,1.1726e-05,0.000124,1.8173,78.5,?,99.76,10.25,260,1.024,0.128584,'yes','yes','359711',0.720281286397949,0.852874943986535,0.171012400183827,0.97142836684361,0.956621146760881,0.895560018951073,0.0542917589191347,0.637424685293809
