% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Tue Aug  2 03:55:34 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE grb {yes, no}
@ATTRIBUTE Q_hat {yes, no}

@DATA
080802,3.824e-01
051221B,2.941e-02
100526A,4.706e-01
100424A,4.118e-01
100526B,1.471e-02
090419,2.721e-01
060719,7.206e-01
060919,4.853e-01
050820B,4.706e-01
070330,4.853e-01
070612B,3.676e-02
090407,1.176e-01
080723A,1.765e-01
100606A,3.162e-01
100614A,4.485e-01
061222A,8.088e-01
060923B,7.206e-01
060109,3.162e-01
080613B,6.324e-01
050215A,2.059e-01
050215B,1.765e-01
081012,5.735e-01
060515,2.500e-01
060105,8.088e-01
050406,8.088e-01
090401B,1.000e+00
050726,3.162e-01
080602,6.618e-02
060923A,2.500e-01
100413A,4.412e-01
090912,3.824e-01
070531,2.059e-01
090904B,4.706e-01
090422,6.324e-01
080325,2.206e-01
080328,1.000e+00
071118,3.676e-01
080320,4.412e-02
100316A,3.309e-01
100316C,1.691e-01
090308A,4.559e-01
070220,6.544e-01
070223,3.676e-02
050502B,1.029e-01
061102,6.618e-02
070224,3.676e-01
061218,7.794e-01
070420,1.000e+00
080701,4.559e-01
100111A,3.897e-01
070103,3.824e-01
050712,1.765e-01
060507,3.676e-01
081211A,7.794e-01
060501,4.338e-01
090831C,6.176e-01
091026,3.162e-01
080516,5.368e-01
080517,0.000e+00
051008,4.559e-01
080205,8.088e-01
051006,1.912e-01
070107,7.206e-01
050713A,7.794e-01
051001,0.000e+00
060510A,6.985e-01
050713B,1.985e-01
090727,1.397e-01
071101,7.794e-01
090628,3.603e-01
070509,3.162e-01
060203,9.559e-02
080207,6.176e-01
090307A,3.162e-01
070219,3.824e-01
090607,7.206e-01
050716,1.471e-02
100212A,7.206e-01
051117A,1.000e+00
070628,1.000e+00
061202,5.515e-01
060219,6.176e-01
070621,6.324e-01
070520A,2.059e-01
090309A,8.897e-01
050916,4.559e-01
060323,1.250e-01
070129,4.338e-01
080503,8.088e-01
100117A,5.368e-01
060929,4.853e-01
070521,7.794e-01
081126,7.574e-01
080506,7.574e-01
081128,1.250e-01
061027,6.324e-01
070721A,1.000e+00
100704A,6.544e-01
050421,6.324e-01
060805,2.794e-01
060807,1.324e-01
100615A,8.088e-01
100504A,4.853e-01
060428A,5.368e-01
050412,6.544e-01
070616,7.574e-01
081109A,6.985e-01
091102,6.176e-01
091104,4.779e-01
060403,2.794e-01
090709A,8.897e-01
100420A,7.353e-03
090904A,7.574e-01
060814,7.574e-01
060813,8.897e-01
060204B,1.618e-01
070429A,1.838e-01
051016A,1.029e-01
080727A,7.206e-01
090518,4.853e-01
080727C,3.824e-01
080727B,7.794e-01
050717,8.088e-01
060728,1.691e-01
060111A,5.882e-01
060111B,8.897e-01
050822,6.324e-01
050410,0.000e+00
070520B,2.059e-01
100205A,3.824e-01
081230,5.147e-02
100305A,7.353e-03
090111,6.985e-01
090113,5.074e-01
071028A,1.029e-01
051021B,5.515e-01
060413,5.882e-01
080229A,8.088e-01
080523,2.426e-01
050819,6.544e-01
081104,4.118e-01
080212,3.897e-01
090813,8.088e-01
090429A,1.838e-01
081102,4.559e-01
090429B,1.029e-01
050219A,3.897e-01
050219B,8.088e-01
080409,5.221e-01
091221,7.794e-01
081228,8.897e-01
050815,8.897e-01
081011,2.426e-01
081221,8.897e-01
051117B,4.853e-01
100213A,7.206e-01
100213B,7.794e-01
090123,5.221e-01
061028,3.824e-01
100522A,7.794e-01
080218B,6.324e-01
061021,1.000e+00
080319A,2.500e-01
090807,1.912e-01
080916B,2.059e-01
080714,3.603e-01
100619A,8.897e-01
080906,7.206e-01
090404,8.897e-01
070419B,6.985e-01
080903,3.603e-01
080319D,3.676e-01
050326,7.206e-01
050422,2.206e-01
071025,4.338e-01
060421,2.426e-01
060804,2.500e-01
050509A,1.471e-02
081210,2.059e-01
050801,6.544e-01
090728,3.235e-01
060427,3.456e-01
061019,4.485e-01
070412,2.059e-01
060319,8.088e-01
100514A,5.074e-01
070704,5.368e-01
050922B,3.897e-01
090929B,1.000e+00
070808,0.000e+00
080703,7.206e-01
060825,3.676e-01
070805,5.882e-02
050714B,2.500e-01
090417B,5.662e-01
080123,2.721e-01
090530,4.338e-01
080623,3.824e-01
050915A,1.250e-01
080307,3.456e-01
050915B,6.029e-01
060211A,6.618e-02
061002,1.471e-02
080303,3.824e-01
060211B,3.824e-01
070126,1.765e-01
070328,8.897e-01
081127,3.824e-01
100508A,1.471e-02
070714A,8.897e-01
060306,5.882e-01
060904A,4.338e-01
