% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Tue Aug  2 03:55:26 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE DT_MAX_SNR NUMERIC
@ATTRIBUTE EP NUMERIC
@ATTRIBUTE EP0 NUMERIC
@ATTRIBUTE FL NUMERIC
@ATTRIBUTE FLX_PC NUMERIC
@ATTRIBUTE FLX_PC_LATE NUMERIC
@ATTRIBUTE FLX_WT NUMERIC
@ATTRIBUTE GAM_PC NUMERIC
@ATTRIBUTE GAM_PC_LATE NUMERIC
@ATTRIBUTE GAM_WT NUMERIC
@ATTRIBUTE MAX_SNR NUMERIC
@ATTRIBUTE NH_GAL NUMERIC
@ATTRIBUTE NH_PC NUMERIC
@ATTRIBUTE NH_PC_LATE NUMERIC
@ATTRIBUTE NH_WT NUMERIC
@ATTRIBUTE NU NUMERIC
@ATTRIBUTE PK_O_CTS NUMERIC
@ATTRIBUTE RT45 NUMERIC
@ATTRIBUTE T50 NUMERIC
@ATTRIBUTE T90 NUMERIC
@ATTRIBUTE bat_bkg_inten NUMERIC
@ATTRIBUTE bat_image_signif NUMERIC
@ATTRIBUTE bat_img_peak NUMERIC
@ATTRIBUTE bat_inten NUMERIC
@ATTRIBUTE bat_rate_signif NUMERIC
@ATTRIBUTE bat_trigger_dur NUMERIC
@ATTRIBUTE xrt_inten NUMERIC
@ATTRIBUTE xrt_signif NUMERIC
@ATTRIBUTE fluence NUMERIC
@ATTRIBUTE peakflux NUMERIC
@ATTRIBUTE xrt_column NUMERIC
@ATTRIBUTE gal_EB_V NUMERIC
@ATTRIBUTE uvot_time_delta NUMERIC
@ATTRIBUTE DT_MAX_SNR NUMERIC
@ATTRIBUTE FL_over_SQRT_T90 NUMERIC
@ATTRIBUTE PROB_Z_GT_5 NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE PROB_Z_GT_3 NUMERIC
@ATTRIBUTE PROB_Z_GT_2 NUMERIC
@ATTRIBUTE PROB_Z_GT_1 NUMERIC
@ATTRIBUTE PROB_Z_LT_1 NUMERIC
@ATTRIBUTE PROB_Z_LT_2 NUMERIC
@ATTRIBUTE PROB_Z_LT_3 NUMERIC
@ATTRIBUTE PROB_Z_LT_4 NUMERIC
@ATTRIBUTE PROB_Z_LT_5 NUMERIC
@ATTRIBUTE MOST_PROB_Z NUMERIC
@ATTRIBUTE Z_LT_1_OVER_Z_GT_4 NUMERIC
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
2.200e+00,-1.033e+00,1.710e+01,4.055e+02,1.646e+02,9.019e-06,1.207e-04,3.753e-05,2.490e-02,1.775e+00,1.908e+00,1.477e+00,3.110e+01,1.630e-02,9.000e-03,-2.100e-02,3.000e-03,5.600e+01,5.667e-02,7.920e+00,1.314e+01,6.174e+01,3.017e+04,7.490e+00,1.430e+02,4.718e+03,1.288e+01,1.024e+00,5.500e-10,5.190e+00,3.600e+01,3.100e+00,1.700e+00,1.600e-02,9.100e+01,1.710e+01,1.148e-06,2.486e-02,8.176e-02,2.150e-01,4.548e-01,8.375e-01,1.625e-01,5.452e-01,7.850e-01,9.182e-01,9.751e-01,1.101e+00,1.988e+00,yes,yes,319016
1.505e+00,-1.540e+00,4.848e+01,3.004e+02,1.510e+02,4.470e-06,1.896e-05,1.817e-05,1.084e-01,2.256e+00,2.509e+00,1.299e+00,4.970e+01,3.450e-02,1.940e-01,2.670e-01,6.200e-02,5.600e+01,2.782e-02,1.968e+01,3.888e+01,1.118e+02,2.191e+04,8.810e+00,2.240e+02,4.339e+03,2.718e+01,1.024e+00,2.090e-09,7.740e+00,2.500e+01,1.100e+00,3.500e-01,4.300e-02,7.400e+01,4.848e+01,4.227e-07,5.803e-02,1.589e-01,3.513e-01,6.146e-01,9.106e-01,8.943e-02,3.854e-01,6.487e-01,8.411e-01,9.420e-01,1.601e+00,5.629e-01,yes,no,319036
1.510e+00,?,9.600e+00,2.019e+01,2.789e+01,4.410e-07,5.154e-05,?,4.677e-02,2.235e+00,?,2.011e+00,1.340e+01,1.240e-02,8.100e-02,?,2.000e-03,5.600e+01,9.880e-02,4.000e+00,5.490e+01,6.610e+01,3.461e+04,7.580e+00,1.870e+02,5.206e+03,1.095e+01,1.024e+00,2.030e-09,8.710e+00,3.400e+00,9.000e-01,1.230e-01,1.700e-02,6.300e+01,9.600e+00,5.425e-08,3.312e-02,8.620e-02,1.921e-01,3.712e-01,7.291e-01,2.709e-01,6.288e-01,8.079e-01,9.138e-01,9.669e-01,1.001e+00,3.143e+00,yes,yes,308041
2.602e+00,-9.507e-01,1.782e+01,6.050e+02,2.833e+02,3.411e-05,1.726e-04,1.218e-04,2.231e-01,1.962e+00,2.020e+00,1.857e+00,3.720e+01,6.940e-02,5.800e-02,5.400e-02,5.700e-02,5.600e+01,1.425e-01,4.510e+00,6.820e+00,2.992e+01,3.293e+04,1.024e+01,2.710e+02,1.409e+04,1.423e+02,1.024e+00,5.000e-10,3.000e+02,1.200e+02,2.090e+01,1.100e+00,1.000e-01,1.180e+02,1.782e+01,6.236e-06,9.294e-03,3.663e-02,1.172e-01,3.147e-01,7.576e-01,2.424e-01,6.853e-01,8.828e-01,9.634e-01,9.907e-01,1.001e+00,6.618e+00,yes,yes,317508
7.570e-01,-1.556e+00,3.936e+01,1.056e+02,7.669e+01,2.015e-06,8.919e-06,3.168e-06,1.925e-01,1.806e+00,1.703e+00,3.066e+00,2.410e+01,4.260e-02,-4.700e-02,2.800e-02,9.100e-02,5.500e+01,4.002e-02,1.488e+01,2.352e+01,4.704e+01,1.083e+05,7.330e+00,2.860e+02,1.057e+04,8.000e+00,2.048e+00,5.220e-09,1.296e+01,1.060e+01,5.300e-01,1.600e+00,9.000e-02,7.100e+01,3.936e+01,2.937e-07,7.565e-02,1.941e-01,4.027e-01,6.619e-01,9.259e-01,7.412e-02,3.381e-01,5.973e-01,8.059e-01,9.244e-01,1.801e+00,3.818e-01,yes,no,238108
1.250e-01,-1.903e+00,7.600e+01,3.930e+02,2.082e+02,2.822e-05,2.679e-05,2.430e-05,4.097e-01,1.889e+00,1.905e+00,1.779e+00,1.919e+02,1.870e-02,1.400e-02,1.900e-02,2.100e-02,5.500e+01,3.045e-02,2.720e+01,4.400e+01,1.088e+02,2.865e+04,1.845e+01,5.630e+02,7.444e+03,6.838e+01,1.024e+00,6.000e-08,8.880e+00,2.040e+02,1.150e+01,1.300e+00,2.200e-02,1.010e+02,7.600e+01,2.705e-06,2.006e-02,6.397e-02,1.701e-01,3.836e-01,8.060e-01,1.940e-01,6.164e-01,8.299e-01,9.360e-01,9.799e-01,1.001e+00,3.032e+00,yes,yes,214805
3.686e+00,-1.966e+00,2.448e+01,4.656e+01,?,3.558e-06,4.503e-05,2.693e-05,1.449e-03,1.718e+00,1.437e+00,2.520e+00,3.050e+01,9.810e-02,2.100e-02,1.500e-02,2.120e-01,5.500e+01,5.158e-02,1.248e+01,1.992e+01,7.296e+01,0.000e+00,7.960e+00,1.462e+03,0.000e+00,0.000e+00,6.400e+01,?,?,2.210e+01,1.970e+00,9.660e-01,2.020e-01,1.520e+02,2.448e+01,4.165e-07,4.098e-02,1.018e-01,2.172e-01,4.030e-01,7.750e-01,2.250e-01,5.970e-01,7.828e-01,8.982e-01,9.590e-01,1.001e+00,2.211e+00,no,no,228316
2.430e+00,-7.727e-01,1.122e+01,1.615e+02,1.460e+02,4.128e-06,6.160e-05,8.842e-06,6.089e-03,1.878e+00,1.938e+00,2.307e+00,4.740e+01,2.340e-02,1.800e-02,5.700e-02,5.300e-02,5.400e+01,1.148e-01,5.280e+00,7.260e+00,1.848e+01,4.152e+04,8.730e+00,2.400e+02,6.439e+03,1.652e+01,1.024e+00,4.980e-10,5.000e+00,2.800e+01,3.030e+00,8.000e-01,3.000e-02,8.000e+01,1.122e+01,9.603e-07,4.015e-02,1.208e-01,2.920e-01,5.555e-01,8.867e-01,1.133e-01,4.445e-01,7.080e-01,8.792e-01,9.599e-01,1.401e+00,9.381e-01,yes,yes,228581
1.331e+00,-1.163e+00,3.760e+00,1.284e+02,1.324e+02,3.400e-06,2.200e-04,1.935e-04,?,1.911e+00,2.169e+00,?,7.640e+01,2.330e-02,1.020e-01,2.160e-01,?,5.500e+01,4.150e-01,1.280e+00,1.720e+00,6.480e+00,2.888e+04,2.557e+01,2.183e+03,1.356e+04,1.526e+02,1.024e+00,1.000e-10,1.000e+01,2.400e+01,1.130e+01,2.300e+00,2.400e-02,2.852e+03,3.760e+00,1.336e-06,1.510e-02,5.349e-02,1.554e-01,3.762e-01,8.013e-01,1.987e-01,6.238e-01,8.446e-01,9.465e-01,9.849e-01,1.001e+00,3.715e+00,yes,no,296805
1.180e+00,?,4.500e+00,2.865e+01,3.611e+01,2.512e-07,3.710e-05,2.305e-06,?,2.225e+00,2.296e+00,?,1.800e+01,9.920e-02,-5.500e-02,-5.590e-01,?,5.600e+01,3.545e-01,1.250e+00,2.500e+00,4.300e+00,3.636e+04,9.100e+00,1.890e+02,3.097e+03,1.542e+01,5.120e-01,1.000e-10,1.000e+01,2.000e+00,1.300e+00,4.100e+00,1.420e-01,6.700e+01,4.500e+00,1.212e-07,2.033e-02,5.863e-02,1.455e-01,3.195e-01,7.194e-01,2.806e-01,6.805e-01,8.545e-01,9.414e-01,9.797e-01,1.001e+00,4.787e+00,yes,yes,416103
