% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Tue Aug  2 03:55:39 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE PROB_Z_GT_4 NUMERIC
@ATTRIBUTE triggerid_str {yes, no}

@DATA
2.200e+00,8.176e-02,319016
1.505e+00,1.589e-01,319036
1.510e+00,8.620e-02,308041
2.602e+00,3.663e-02,317508
7.570e-01,1.941e-01,238108
1.250e-01,6.397e-02,214805
3.686e+00,1.018e-01,228316
2.430e+00,1.208e-01,228581
1.331e+00,5.349e-02,296805
1.180e+00,5.863e-02,416103
5.900e-02,1.811e-01,416135
1.160e+00,9.920e-02,279592
1.547e+00,7.977e-02,338895
1.692e+00,2.024e-01,326115
3.850e+00,1.085e-01,352648
4.109e+00,1.544e-01,352190
2.296e+00,1.251e-01,178750
6.535e-01,4.345e-03,114753
2.711e+00,1.466e-01,219101
2.452e+00,1.286e-01,359711
2.641e+00,1.535e-01,302888
4.650e+00,1.256e-01,342121
2.770e+00,5.655e-02,337914
4.772e+00,2.276e-01,421814
2.580e+00,1.536e-01,334877
1.497e+00,1.261e-01,263361
8.450e-01,1.772e-01,316534
6.890e-01,1.408e-01,324895
2.030e+00,1.415e-01,176453
3.076e+00,1.011e-01,375246
4.220e-01,1.445e-01,148833
1.710e+00,1.281e-01,148646
2.100e+00,1.582e-01,336489
2.954e+00,2.168e-01,275087
3.480e-01,6.881e-02,207399
4.270e+00,1.477e-01,117504
6.600e+00,1.455e-01,177533
3.530e+00,2.178e-01,177408
7.670e-01,1.073e-01,310613
5.295e-01,2.560e-02,330856
2.500e+00,1.627e-01,280706
1.969e+00,2.061e-01,331093
7.140e-01,4.889e-02,174738
3.350e+00,1.549e-01,319584
3.969e+00,1.747e-01,148225
6.240e-01,1.040e-01,419797
1.370e+00,8.047e-02,370846
4.813e+00,1.948e-01,414592
1.314e+00,3.216e-02,239899
1.159e+00,6.414e-02,240766
3.000e+00,1.213e-01,357512
6.700e+00,9.520e-02,324561
1.489e+00,9.424e-02,205851
2.625e+00,2.002e-01,353540
4.410e+00,1.402e-01,192059
5.110e+00,2.280e-01,211117
2.737e+00,1.227e-01,359530
1.800e+00,1.166e-01,217805
3.425e+00,2.012e-01,217704
2.427e+00,7.031e-02,305288
3.830e-01,3.863e-02,299787
8.360e-01,1.287e-01,271019
2.198e+00,6.027e-02,156467
1.230e+00,1.390e-01,316204
1.261e+00,3.095e-02,232683
2.374e+00,1.976e-01,323898
2.692e+00,1.518e-01,295670
3.300e+00,1.103e-01,232339
7.030e-01,1.434e-01,228006
2.690e+00,8.549e-02,313087
6.290e+00,1.486e-01,153514
3.350e+00,1.556e-01,154112
1.100e+00,1.725e-02,309111
2.433e+00,9.540e-02,309096
6.060e-01,1.235e-02,130088
4.428e-01,5.254e-02,209755
1.545e+00,2.016e-02,312047
7.830e-01,2.905e-01,179968
4.045e+00,1.164e-01,180455
3.221e+00,1.812e-01,211957
2.615e+00,8.937e-02,151207
5.600e+00,1.242e-01,231362
3.200e+00,2.986e-02,231231
2.346e+00,8.455e-02,163136
8.000e-02,1.338e-01,163170
4.349e+00,1.347e-01,301981
2.970e-01,1.019e-01,152113
9.700e-01,1.994e-01,276205
4.900e-01,4.874e-03,377179
1.240e+00,1.070e-01,370791
3.082e+00,1.720e-01,213823
2.450e+00,1.593e-01,286809
9.710e-01,9.347e-03,373172
1.755e+00,4.162e-02,420398
2.170e+00,8.054e-02,287364
4.667e+00,1.423e-01,412982
5.915e-01,1.736e-01,106709
9.370e-01,5.787e-02,229185
2.680e+00,1.168e-01,213486
3.780e+00,1.341e-01,213630
3.355e+00,1.186e-01,252593
3.626e+00,1.158e-01,285654
1.140e+00,2.042e-01,297114
1.949e+00,9.273e-02,111063
3.240e+00,1.475e-01,111622
1.440e+00,6.291e-02,111529
1.416e+00,2.582e-01,313116
1.640e+00,2.899e-02,313299
3.036e+00,2.830e-02,313417
5.400e-01,2.612e-02,355083
3.038e+00,2.853e-01,332851
2.352e+00,2.087e-01,255445
4.900e+00,3.083e-01,209352
8.200e-01,2.026e-02,278854
3.848e+00,2.184e-01,332931
2.310e+00,1.016e-01,278693
3.910e+00,1.753e-01,180977
3.440e+00,7.195e-02,238174
3.310e-02,2.715e-01,191157
6.960e-01,2.169e-01,359951
2.512e+00,8.966e-02,335105
1.165e+00,1.637e-01,259714
1.608e+00,1.262e-01,349510
2.040e+00,1.416e-01,282003
2.752e+00,9.921e-02,374210
5.400e-01,1.745e-01,221755
1.710e+00,1.039e-01,373458
5.300e+00,2.135e-01,150314
9.370e-01,1.697e-02,306757
1.950e+00,9.712e-02,306778
1.510e+00,1.255e-01,208169
5.420e-01,4.883e-02,425151
8.100e+00,1.365e-01,350184
5.440e-01,9.013e-03,350311
1.063e+00,3.324e-02,378559
9.200e-01,7.598e-02,284856
