% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Tue Aug  2 03:55:39 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE triggerid_str {yes, no}

@DATA
2.200e+00,yes,319016
1.505e+00,no,319036
1.510e+00,yes,308041
2.602e+00,yes,317508
7.570e-01,no,238108
1.250e-01,yes,214805
3.686e+00,no,228316
2.430e+00,yes,228581
1.331e+00,no,296805
1.180e+00,yes,416103
5.900e-02,no,416135
1.160e+00,yes,279592
1.547e+00,yes,338895
1.692e+00,yes,326115
3.850e+00,no,352648
4.109e+00,no,352190
2.296e+00,yes,178750
6.535e-01,yes,114753
2.711e+00,yes,219101
2.452e+00,yes,359711
2.641e+00,yes,302888
4.650e+00,no,342121
2.770e+00,yes,337914
4.772e+00,no,421814
2.580e+00,no,334877
1.497e+00,no,263361
8.450e-01,yes,316534
6.890e-01,yes,324895
2.030e+00,no,176453
3.076e+00,yes,375246
4.220e-01,no,148833
1.710e+00,yes,148646
2.100e+00,yes,336489
2.954e+00,yes,275087
3.480e-01,yes,207399
4.270e+00,no,117504
6.600e+00,no,177533
3.530e+00,no,177408
7.670e-01,yes,310613
5.295e-01,yes,330856
2.500e+00,yes,280706
1.969e+00,yes,331093
7.140e-01,no,174738
3.350e+00,yes,319584
3.969e+00,yes,148225
6.240e-01,yes,419797
1.370e+00,yes,370846
4.813e+00,no,414592
1.314e+00,yes,239899
1.159e+00,yes,240766
3.000e+00,yes,357512
6.700e+00,no,324561
1.489e+00,yes,205851
2.625e+00,yes,353540
4.410e+00,yes,192059
5.110e+00,yes,211117
2.737e+00,yes,359530
1.800e+00,yes,217805
3.425e+00,yes,217704
2.427e+00,yes,305288
3.830e-01,yes,299787
8.360e-01,yes,271019
2.198e+00,yes,156467
1.230e+00,yes,316204
1.261e+00,yes,232683
2.374e+00,yes,323898
2.692e+00,yes,295670
3.300e+00,no,232339
7.030e-01,yes,228006
2.690e+00,yes,313087
6.290e+00,no,153514
3.350e+00,yes,154112
1.100e+00,yes,309111
2.433e+00,yes,309096
6.060e-01,yes,130088
4.428e-01,yes,209755
1.545e+00,yes,312047
7.830e-01,no,179968
4.045e+00,yes,180455
3.221e+00,yes,211957
2.615e+00,yes,151207
5.600e+00,no,231362
3.200e+00,no,231231
2.346e+00,yes,163136
8.000e-02,no,163170
4.349e+00,no,301981
2.970e-01,no,152113
9.700e-01,yes,276205
4.900e-01,yes,377179
1.240e+00,no,370791
3.082e+00,yes,213823
2.450e+00,no,286809
9.710e-01,yes,373172
1.755e+00,no,420398
2.170e+00,yes,287364
4.667e+00,yes,412982
5.915e-01,no,106709
9.370e-01,yes,229185
2.680e+00,yes,213486
3.780e+00,yes,213630
3.355e+00,no,252593
3.626e+00,yes,285654
1.140e+00,yes,297114
1.949e+00,no,111063
3.240e+00,yes,111622
1.440e+00,yes,111529
1.416e+00,yes,313116
1.640e+00,yes,313299
3.036e+00,yes,313417
5.400e-01,yes,355083
3.038e+00,yes,332851
2.352e+00,yes,255445
4.900e+00,no,209352
8.200e-01,yes,278854
3.848e+00,yes,332931
2.310e+00,yes,278693
3.910e+00,no,180977
3.440e+00,no,238174
3.310e-02,yes,191157
6.960e-01,yes,359951
2.512e+00,yes,335105
1.165e+00,no,259714
1.608e+00,yes,349510
2.040e+00,yes,282003
2.752e+00,yes,374210
5.400e-01,yes,221755
1.710e+00,yes,373458
5.300e+00,no,150314
9.370e-01,yes,306757
1.950e+00,yes,306778
1.510e+00,yes,208169
5.420e-01,yes,425151
8.100e+00,no,350184
5.440e-01,yes,350311
1.063e+00,yes,378559
9.200e-01,yes,284856
