% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Tue Aug  2 03:55:28 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE grb {yes, no}
@ATTRIBUTE Q_hat_train {yes, no}
@ATTRIBUTE Z {yes, no}
@ATTRIBUTE A {yes, no}
@ATTRIBUTE EP0 {yes, no}
@ATTRIBUTE FL {yes, no}
@ATTRIBUTE MAX_SNR {yes, no}
@ATTRIBUTE NH_PC {yes, no}
@ATTRIBUTE T90 {yes, no}
@ATTRIBUTE bat_image_signif {yes, no}
@ATTRIBUTE bat_img_peak {yes, no}
@ATTRIBUTE bat_is_rate_trig {yes, no}
@ATTRIBUTE bat_trigger_dur {yes, no}
@ATTRIBUTE uvot_detection {yes, no}
@ATTRIBUTE PROB_Z_GT_4 {yes, no}

@DATA
080804,8.009e-01,2.200e+00,-1.033e+00,1.646e+02,9.019e-06,3.110e+01,9.000e-03,6.174e+01,7.490e+00,1.430e+02,yes,1.024e+00,yes,8.176e-02
080805,3.400e-01,1.505e+00,-1.540e+00,1.510e+02,4.470e-06,4.970e+01,1.940e-01,1.118e+02,8.810e+00,2.240e+02,yes,1.024e+00,no,1.589e-01
050223,5.045e-01,5.915e-01,-1.740e+00,5.126e+01,8.752e-07,1.340e+01,-2.370e-01,1.738e+01,9.000e+00,?,yes,8.192e+00,no,1.736e-01
060116,1.351e-01,6.600e+00,-1.400e+00,9.532e+01,2.878e-06,1.150e+01,7.620e-01,3.600e+01,6.580e+00,4.540e+02,yes,1.638e+01,no,1.455e-01
060115,1.631e-01,3.530e+00,-1.148e+00,6.981e+01,1.873e-06,2.740e+01,-4.800e-02,1.099e+02,1.048e+01,7.750e+02,yes,8.192e+00,no,2.178e-01
060912,7.874e-01,9.370e-01,-1.697e+00,1.425e+02,2.246e-06,4.350e+01,1.360e-01,5.920e+00,1.985e+01,9.270e+02,yes,1.024e+00,yes,5.787e-02
080603B,7.884e-01,2.690e+00,-1.221e+00,7.227e+01,2.869e-06,7.000e+01,7.100e-02,5.950e+01,1.063e+01,2.130e+02,yes,5.120e-01,yes,8.549e-02
080430,7.575e-01,7.670e-01,-1.740e+00,1.131e+02,1.859e-06,5.270e+01,1.480e-01,1.620e+01,1.083e+01,2.620e+02,yes,5.120e-01,yes,1.073e-01
080330,7.978e-01,1.510e+00,?,2.789e+01,4.410e-07,1.340e+01,8.100e-02,6.610e+01,7.580e+00,1.870e+02,yes,1.024e+00,yes,8.620e-02
081007,7.837e-01,5.295e-01,-1.353e+00,3.531e+01,5.909e-07,1.960e+01,2.670e-01,5.550e+00,9.430e+00,2.210e+02,yes,1.024e+00,yes,2.560e-02
