@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_4 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@data
2.2,-1.033,164.6,9.019e-06,31.1,0.009,61.74,7.49,143,1.024,0.08176,'yes','yes','319016',0.0167944005224854,0.617005937034264,0.575147400610149,0.478558915201575,0.790641354164109,0.570895690936595,0.886593662435189,0.95670739444904,0.570674893446267,0.0138107740785927,0.93719389825128,0.128244415624067,0.868631719611585,0.00460963184013963,0.957200538134202,0.668738258536905
1.505,-1.54,151,4.47e-06,49.7,0.194,111.8,8.81,224,1.024,0.1589,'yes','no','319036',0.2251843274571,0.793702966766432,0.568833972793072,0.151976516935974,0.365878042299300,0.629960057325661,0.659890146227553,0.230018558446318,0.573590389685705,0.0992301213555038,0.765135657740757,0.140330670634285,0.940087176393718,0.693750962149352,0.748370221117511,0.67245748732239
1.51,?,27.89,4.41e-07,13.4,0.081,66.1,7.58,187,1.024,0.0862,'yes','yes','308041',0.257453171070665,0.794538305373862,0.165349023183808,0.358953985851258,0.723613348789513,0.413019967265427,0.749077932909131,0.830545505741611,0.974620091030374,0.957825838588178,0.990136418491602,0.493434325093403,0.855291465530172,0.0679292639251798,0.608366383472458,0.299325182801113
2.602,-0.9507,283.3,3.411e-05,37.2,0.058,29.92,10.24,271,1.024,0.03663,'yes','yes','317508',0.992367315338925,0.482209491310641,0.67418609233573,0.816983425756916,0.87232274422422,0.301308340160176,0.479220713721588,0.634563418803737,0.182100703241304,0.336709941038862,0.305828007170931,0.313897285610437,0.110235291533172,0.673427544301376,0.990372012602165,0.210382424294949
0.757,-1.556,76.69,2.015e-06,24.1,-0.047,47.04,7.33,286,2.048,0.1941,'yes','no','238108',0.396848206175491,0.590955026913434,0.175406591966748,0.430218507768586,0.515803944785148,0.103908434510231,0.473150929901749,0.58778538974002,0.609265797538683,0.229951307876036,0.616626631002873,0.646292947465554,0.206492694560438,0.0853165716398507,0.553952824091539,0.809981291182339
0.125,-1.903,208.2,2.822e-05,191.9,0.014,108.8,18.45,563,1.024,0.06397,'yes','yes','214805',0.738744651665911,0.652598859509453,0.858830768615007,0.771812224993482,0.2478555617854,0.324826856143773,0.400547393597662,0.183255391195416,0.0654705532360822,0.690288097364828,0.24842631816864,0.312716767191887,0.92933558113873,0.344808355206624,0.186910098651424,0.594163801288232
3.686,-1.966,?,3.558e-06,30.5,0.021,72.96,7.96,1462,64,0.1018,'no','no','228316',0.172994296532124,0.715775848831981,0.763290183385834,0.938360174186528,0.0658124191686511,0.83378596487455,0.327401260379702,0.657125911442563,0.384232395794243,0.464126603677869,0.296461841091514,0.0694789988920093,0.114215384237468,0.104232834652066,0.447833834914491,0.140229502227157
2.43,-0.7727,146,4.128e-06,47.4,0.018,18.48,8.73,240,1.024,0.1208,'yes','yes','228581',0.960127732949331,0.191732293693349,0.534748492995277,0.606460322625935,0.0263713640160859,0.458262351341546,0.465992850018665,0.802182462299243,0.107020111521706,0.092688626376912,0.441361714154482,0.736815288895741,0.222807826707140,0.680226582568139,0.100932333618402,0.386363720055670
1.331,-1.163,132.4,3.4e-06,76.4,0.102,6.48,25.57,2183,1.024,0.05349,'yes','no','296805',0.0910450350493193,0.888498649699613,0.978516501840204,0.546880515525118,0.366890307515860,0.310659047449008,0.542858472792432,0.152634990867227,0.349698228528723,0.680025978945196,0.471036153845489,0.0403634668327868,0.335195636143908,0.586672933306545,0.483181308489293,0.038908856222406
1.18,?,36.11,2.512e-07,18,-0.055,4.3,9.1,189,0.512,0.05863,'yes','yes','416103',0.781298637390137,0.544399829115719,0.653773522237316,0.884004686027765,0.186650430085137,0.561745333950967,0.538987484527752,0.028314663330093,0.710564101114869,0.770913326647133,0.58821550803259,0.0777117384131998,0.792013785336167,0.748228394892067,0.90217980928719,0.179126818897203
