@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_4 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@attribute useless9 numeric
@attribute useless10 numeric
@attribute useless11 numeric
@attribute useless12 numeric
@attribute useless13 numeric
@attribute useless14 numeric
@attribute useless15 numeric
@attribute useless16 numeric
@attribute useless17 numeric
@attribute useless18 numeric
@attribute useless19 numeric
@attribute useless20 numeric
@attribute useless21 numeric
@attribute useless22 numeric
@attribute useless23 numeric
@attribute useless24 numeric
@attribute useless25 numeric
@attribute useless26 numeric
@attribute useless27 numeric
@attribute useless28 numeric
@attribute useless29 numeric
@attribute useless30 numeric
@attribute useless31 numeric
@attribute useless32 numeric
@attribute useless33 numeric
@attribute useless34 numeric
@attribute useless35 numeric
@attribute useless36 numeric
@attribute useless37 numeric
@attribute useless38 numeric
@attribute useless39 numeric
@attribute useless40 numeric
@attribute useless41 numeric
@attribute useless42 numeric
@attribute useless43 numeric
@attribute useless44 numeric
@attribute useless45 numeric
@attribute useless46 numeric
@attribute useless47 numeric
@attribute useless48 numeric
@attribute useless49 numeric
@attribute useless50 numeric
@attribute useless51 numeric
@attribute useless52 numeric
@attribute useless53 numeric
@attribute useless54 numeric
@attribute useless55 numeric
@attribute useless56 numeric
@attribute useless57 numeric
@attribute useless58 numeric
@attribute useless59 numeric
@attribute useless60 numeric
@attribute useless61 numeric
@attribute useless62 numeric
@attribute useless63 numeric
@attribute useless64 numeric
@data
2.2,-1.033,164.6,9.019e-06,31.1,0.009,61.74,7.49,143,1.024,0.08176,'yes','yes','319016',0.95983782899566,0.493496173759922,0.0441284202970564,0.919324174290523,0.0439546199049801,0.892231367528439,0.705932099139318,0.199459441006184,0.62145728780888,0.425375616410747,0.333690371364355,0.705805286299437,0.193027847912163,0.889919343171641,0.976237311260775,0.845911142183468,0.600180280162022,0.396592799806967,0.271935159340501,0.894433302106336,0.963420504005626,0.203012216603383,0.715699405642226,0.855221979087219,0.888039460871369,0.554836384719238,0.733044380089268,0.0488988775759935,0.237238681176677,0.843739978503436,0.0541473447810858,0.00685770972631872,0.649777630809695,0.106364099076018,0.364206950645894,0.662707824027166,0.95020892797038,0.0699070920236409,0.34415258304216,0.678958946140483,0.177924944320694,0.066260146908462,0.97014716011472,0.844641382573172,0.898769398452714,0.67258754489012,0.417492296313867,0.131897738436237,0.422629186417907,0.0828194685745984,0.0824631894938648,0.127434726804495,0.864014035090804,0.318336426513270,0.0609162913169712,0.0997778729069978,0.792372172465548,0.257093790685758,0.140268706250936,0.256639334140345,0.171049587661400,0.00763332075439394,0.131696754600853,0.151499358238652
1.505,-1.54,151,4.47e-06,49.7,0.194,111.8,8.81,224,1.024,0.1589,'yes','no','319036',0.918540207203478,0.517914774594828,0.745769058354199,0.679811699083075,0.482808616477996,0.222886360948905,0.438193153589964,0.0215725477319211,0.311718695797026,0.608743384946138,0.403669931693003,0.415254564955831,0.510376849910244,0.557229885132983,0.965266097802669,0.698102826951072,0.635633312631398,0.334430279443040,0.698656812077388,0.943141831317917,0.739171538734809,0.982977484352887,0.134383077034727,0.942313670180738,0.483588306698948,0.253626150544733,0.824915658915415,0.755715572275221,0.622309138299897,0.744523640489206,0.636100033298135,0.604784028604627,0.24434128170833,0.0391076172236353,0.0176422551739961,0.898249240126461,0.0576461823657155,0.0312054720707238,0.797172732418403,0.671758198877797,0.657093519344926,0.715776826255023,0.208637511124834,0.8535598651506,0.69974503130652,0.105183083331212,0.0617789817042649,0.770985373528674,0.276817789999768,0.450363489100710,0.381183959310874,0.373388215200976,0.68685400718823,0.35438322997652,0.828595338854939,0.288633390329778,0.972042388049886,0.783865998731926,0.581377717200667,0.521765515673906,0.270574880065396,0.651401576353237,0.260147765744478,0.112519868649542
1.51,?,27.89,4.41e-07,13.4,0.081,66.1,7.58,187,1.024,0.0862,'yes','yes','308041',0.294661129359156,0.955371003132313,0.922155290842056,0.100291096139699,0.620639570290223,0.077180077554658,0.450801261002198,0.150155141716823,0.962645349325612,0.0943839352112263,0.119172292528674,0.115221941610798,0.566076576942578,0.900822154944763,0.215533605078235,0.673907920252532,0.453509301878512,0.357203207444400,0.776635886635631,0.784025641856715,0.00221568578854203,0.287519193952903,0.479823128785938,0.858937174780294,0.616570793557912,0.49785351450555,0.551141261123121,0.0399151565507054,0.23051795293577,0.586389692500234,0.013793776743114,0.224627236137167,0.471309188753366,0.402031877776608,0.822732995962724,0.364670943468809,0.660654608858749,0.473044847603887,0.691395655274391,0.15746268350631,0.43730977550149,0.536155376117676,0.147446237737313,0.439356075134128,0.143569794483483,0.389950377400964,0.399305412080139,0.813408385729417,0.794980351813138,0.358984315535054,0.751797618810087,0.8896330348216,0.549640067620203,0.100970179773867,0.72236044309102,0.851281024049968,0.880959313130006,0.399179339874536,0.885370781179518,0.737428301246837,0.793405544711277,0.714319917140529,0.78929711994715,0.816719294060022
2.602,-0.9507,283.3,3.411e-05,37.2,0.058,29.92,10.24,271,1.024,0.03663,'yes','yes','317508',0.942360592540354,0.764417359838262,0.483358524506912,0.524677085923031,0.0329707372002304,0.270953784231097,0.0872259812895209,0.91932059591636,0.195150374202058,0.736011891392991,0.577247623819858,0.747813903726637,0.67042756266892,0.557414281181991,0.285361498361453,0.75997316534631,0.686641965759918,0.751890429062769,0.845155640738085,0.129233555635437,0.66743304906413,0.604590783128515,0.86571008246392,0.285172478761524,0.96367709361948,0.193746978184208,0.0546987745910883,0.893144490430132,0.108908808324486,0.383280202979222,0.445195485139266,0.663818020373583,0.536500283516943,0.976442882791162,0.697472178842872,0.289675597567111,0.750639660516754,0.0142797718290240,0.427107837516814,0.674966316204518,0.42900903406553,0.554109552176669,0.104895983589813,0.151775875827298,0.482554942835122,0.605652074562386,0.175108191091567,0.846920097013935,0.344321991549805,0.535562016069889,0.585426506586373,0.927154525183141,0.753499886253849,0.873813732760027,0.920386718120426,0.366201485972852,0.0379288324620575,0.714375810464844,0.622247574152425,0.4024988936726,0.0255101004149765,0.130458946339786,0.618073079735041,0.177275205496699
0.757,-1.556,76.69,2.015e-06,24.1,-0.047,47.04,7.33,286,2.048,0.1941,'yes','no','238108',0.164123407797888,0.934754493413493,0.651839557103813,0.0255209200549871,0.464649510569870,0.511776514817029,0.96017744881101,0.725189072545618,0.712138373637572,0.607464774511755,0.907276757527143,0.132941751973704,0.0371531501878053,0.00356351770460606,0.708563454682007,0.946030758321285,0.640339301200584,0.859227367909625,0.295223735505715,0.488760662265122,0.610085868975148,0.990576529409736,0.178942799102515,0.102879692101851,0.323089468991384,0.717840949771926,0.97523561725393,0.535570660373196,0.646090768976137,0.64395027817227,0.419079183368012,0.382431930163875,0.323917987989262,0.917373745469376,0.908919818000868,0.388483472168446,0.989674126263708,0.173788222484291,0.8751376431901,0.224345704307780,0.827858845936134,0.664695347426459,0.873593099415302,0.224716341821477,0.954864211613312,0.846488995943218,0.63609876926057,0.581058370880783,0.436920770909637,0.371112425345927,0.227649412583560,0.201532122446224,0.233843943569809,0.796023952076212,0.411499541485682,0.502133912872523,0.0372095068451017,0.954795781290159,0.0796513834502548,0.406844002660364,0.779876420740038,0.535986792761832,0.943739443086088,0.0079285076353699
0.125,-1.903,208.2,2.822e-05,191.9,0.014,108.8,18.45,563,1.024,0.06397,'yes','yes','214805',0.810947135090828,0.267383620608598,0.324163529556245,0.452719317981973,0.989676005439833,0.550750116584823,0.0230614135507494,0.0807687067426741,0.554727712413296,0.259083002340049,0.113963709212840,0.665980362100527,0.951019988860935,0.399003486614674,0.736053405562416,0.0637496446724981,0.367860306287184,0.351134736323729,0.109878132585436,0.169120669132099,0.64707792783156,0.762577255023643,0.710291231051087,0.709443809231743,0.726897428976372,0.389537683455274,0.628810168011114,0.788672497030348,0.820086201885715,0.178538643755019,0.795496861450374,0.42051512026228,0.262447185348719,0.676910993177444,0.163323150249198,0.189628313528374,0.633786691352725,0.724575513741001,0.50486405310221,0.619209602475166,0.661719237454236,0.746948205633089,0.560908081708476,0.269018006511033,0.660893588559702,0.116298038512468,0.921640621265396,0.146811053389683,0.481028957059607,0.654490476939827,0.230984868248925,0.80588385160081,0.172738232417032,0.590370701858774,0.835341240512207,0.00976937846280634,0.911273390986025,0.936884404858574,0.364469830412418,0.324488500365987,0.0115750490222126,0.724819353083149,0.415305079193786,0.573368771700189
3.686,-1.966,?,3.558e-06,30.5,0.021,72.96,7.96,1462,64,0.1018,'no','no','228316',0.761223095469177,0.932777821552008,0.330489302519709,0.762685655150563,0.827723507070914,0.255029446445405,0.131324447225779,0.636187566211447,0.754719221731648,0.201214926317334,0.0257994038984179,0.383849025238305,0.397686023265123,0.62542465259321,0.824136388022453,0.974095170851797,0.240946758771315,0.351113177137449,0.71940515190363,0.332872355589643,0.889724543783814,0.392579080769792,0.242028280394152,0.983690233435482,0.962215904612094,0.0247225228231400,0.415717300027609,0.209141370141879,0.681579264812171,0.523736191680655,0.317641850560904,0.75251709134318,0.856479875510558,0.433329766616225,0.74892827286385,0.168050567153841,0.644421047531068,0.690126589965075,0.791858055396006,0.436490088235587,0.443320547929034,0.491585402283818,0.641710022464395,0.906817795941606,0.679617389803752,0.147331949323416,0.761887458851561,0.836745111038908,0.60170985548757,0.573682210640982,0.322798175737262,0.982909029116854,0.884616290219128,0.339658953482285,0.614045686321333,0.925962778972462,0.731601677602157,0.174942478071898,0.663622932508588,0.332628746051341,0.627889203373343,0.176676896400750,0.41610137745738,0.577289237640798
2.43,-0.7727,146,4.128e-06,47.4,0.018,18.48,8.73,240,1.024,0.1208,'yes','yes','228581',0.554372051265091,0.627267549280077,0.524002290796489,0.66153771081008,0.499214903451502,0.707657427061349,0.917242934461683,0.531584839336574,0.267660539830104,0.96241191122681,0.883955626981333,0.00628983974456787,0.62893651984632,0.900969789363444,0.907008043956012,0.728582041105255,0.170512035489082,0.502614912344143,0.0153347752057016,0.0344435349106789,0.80592437251471,0.112888895440847,0.652630074881017,0.583030047826469,0.92507987911813,0.861237027216703,0.39427684340626,0.887377182720229,0.92369359661825,0.488612041343004,0.251271050656214,0.287196331424639,0.718033664627001,0.86172566586174,0.244220445165411,0.456837420118973,0.288133571855724,0.17632171115838,0.559785007266328,0.00945087638683617,0.252377361990511,0.255194495664909,0.262273004744202,0.132314367918298,0.138315295102075,0.867687970167026,0.584388375747949,0.097085019107908,0.896591343916953,0.685904138721526,0.0929803499020636,0.336807642830536,0.0241556074470282,0.6262297318317,0.16295669763349,0.557264883536845,0.728974747937173,0.0327353447210044,0.62741997372359,0.748672923771665,0.270917788147926,0.53024387685582,0.640191752463579,0.639412749325857
1.331,-1.163,132.4,3.4e-06,76.4,0.102,6.48,25.57,2183,1.024,0.05349,'yes','no','296805',0.613023706013337,0.772356283618137,0.0686414872761816,0.890817301115021,0.146125736180693,0.864626185735688,0.0743038032669574,0.784194803563878,0.517026805318892,0.748559100553393,0.92204480804503,0.336448399815708,0.389017077861354,0.779832461616024,0.156403494533151,0.149175050202757,0.348672151099890,0.565481213852763,0.768265652703121,0.457243558950722,0.629404908744618,0.81002261606045,0.96394846541807,0.478579908143729,0.145814988063648,0.101797277107835,0.168511478928849,0.508550856495276,0.562835916411132,0.957640437176451,0.0834151995368302,0.966303296620026,0.887365116737783,0.319510047556832,0.430352049181238,0.050421257968992,0.966232037404552,0.459196012699977,0.209797853138298,0.83463765005581,0.799234987935051,0.445034550270066,0.66969840764068,0.184389781439677,0.207219814416021,0.731747123412788,0.00373722845688462,0.584587085293606,0.691516471793875,0.562875363975763,0.125615906203166,0.901798580307513,0.939203548012301,0.157056654337794,0.410870856139809,0.129820151487365,0.842035990441218,0.612731455592439,0.676927712047473,0.958264580694959,0.113591615110636,0.72200233512558,0.724436487536877,0.366017401451245
1.18,?,36.11,2.512e-07,18,-0.055,4.3,9.1,189,0.512,0.05863,'yes','yes','416103',0.362928202375770,0.118557259673253,0.956453340360895,0.382027653045952,0.206610496621579,0.610857953783125,0.392038004472852,0.161825583549216,0.901377329835668,0.146293131168932,0.428162287455052,0.151855175849050,0.465636156732216,0.297872316092253,0.781264069490135,0.867641469463706,0.949131251079962,0.942989922361448,0.134940758114681,0.0855378257110715,0.112516857450828,0.828615908278152,0.47295122500509,0.848506832728162,0.506848522927612,0.564635242102668,0.06622483022511,0.491085150977597,0.674166868440807,0.997814343776554,0.619176596868783,0.0990842033643275,0.487442803336307,0.993573542451486,0.214190587867051,0.086097719380632,0.155090976739302,0.642384247854352,0.304501408943906,0.243844536831602,0.793262065388262,0.706532448995858,0.651696451473981,0.348131741629913,0.223221677355468,0.701248400146142,0.292793357744813,0.787288580089808,0.488509934395552,0.80447876942344,0.380775596946478,0.0515376473776996,0.677545160520822,0.105096163693815,0.797975894063711,0.0619507369119674,0.760280180256814,0.982141012093052,0.181039534043521,0.552179106511176,0.513008244335651,0.162450297037140,0.604558864608407,0.288466838654131
