@relation input_data
@attribute Z numeric
@attribute A numeric
@attribute EP0 numeric
@attribute FL numeric
@attribute MAX_SNR numeric
@attribute NH_PC numeric
@attribute T90 numeric
@attribute bat_image_signif numeric
@attribute bat_img_peak numeric
@attribute bat_trigger_dur numeric
@attribute PROB_Z_GT_4 numeric
@attribute bat_is_rate_trig {'no','yes'}
@attribute uvot_detection {'no','yes'}
@attribute triggerid_str {'106709','111063','111529','111622','114753','117504','130088','148225','148646','148833','150314','151207','152113','153514','154112','156467','163136','163170','174738','176453','177408','177533','178750','179968','180455','180977','191157','192059','205851','207399','208169','209352','209755','211117','211957','213486','213630','213823','214805','217704','217805','219101','221755','228006','228316','228581','229185','231231','231362','232339','232683','238108','238174','239899','240766','252593','255445','259714','263361','271019','275087','276205','278693','278854','279592','280706','282003','284856','285654','286809','287364','295670','296805','297114','299787','301981','302888','305288','306757','306778','308041','309096','309111','310613','312047','313087','313116','313299','313417','316204','316534','317508','319016','319036','319584','323898','324561','324895','326115','330856','331093','332851','332931','334877','335105','336489','337914','338895','342121','349510','350184','350311','352190','352648','353540','355083','357512','359530','359711','359951','370791','370846','373172','373458','374210','375246','377179','378559','412982','414592','416103','416135','419797','420398','421814','425151'}
@attribute useless1 numeric
@attribute useless2 numeric
@attribute useless3 numeric
@attribute useless4 numeric
@attribute useless5 numeric
@attribute useless6 numeric
@attribute useless7 numeric
@attribute useless8 numeric
@data
2.2,-1.033,164.6,9.019e-06,31.1,0.009,61.74,7.49,143,1.024,0.08176,'yes','yes','319016',0.701074884738773,0.702870738459751,0.529589260462672,0.569642448332161,0.367708468576893,0.614452636800706,0.430500824702904,0.763495490187779
1.505,-1.54,151,4.47e-06,49.7,0.194,111.8,8.81,224,1.024,0.1589,'yes','no','319036',0.79656419577077,0.179386168951169,0.128231432987377,0.0272950669750571,0.476632829755545,0.721767281880602,0.509709132835269,0.766590910032392
1.51,?,27.89,4.41e-07,13.4,0.081,66.1,7.58,187,1.024,0.0862,'yes','yes','308041',0.617873252369463,0.959589872742072,0.277695718454197,0.525487117934972,0.353283824864775,0.332048237789422,0.57580664427951,0.871359864715487
2.602,-0.9507,283.3,3.411e-05,37.2,0.058,29.92,10.24,271,1.024,0.03663,'yes','yes','317508',0.163621420739219,0.0620862680952996,0.0311947294976562,0.413157639326528,0.732833792455494,0.518385247793049,0.54457421018742,0.943023521453142
0.757,-1.556,76.69,2.015e-06,24.1,-0.047,47.04,7.33,286,2.048,0.1941,'yes','no','238108',0.703598467400298,0.947893265867606,0.856871241237968,0.937258823309094,0.115722238551825,0.622126816073433,0.91550070582889,0.663937448291108
0.125,-1.903,208.2,2.822e-05,191.9,0.014,108.8,18.45,563,1.024,0.06397,'yes','yes','214805',0.359092032536864,0.0867753608617932,0.908071419922635,0.527062699664384,0.314842963824049,0.151169001124799,0.88728009373881,0.879799944814295
3.686,-1.966,?,3.558e-06,30.5,0.021,72.96,7.96,1462,64,0.1018,'no','no','228316',0.0211817636154592,0.67238801647909,0.883678626734763,0.784599781734869,0.651681841816753,0.949599819490686,0.0686170312110335,0.289331201463938
2.43,-0.7727,146,4.128e-06,47.4,0.018,18.48,8.73,240,1.024,0.1208,'yes','yes','228581',0.0616602767258883,0.797091539483517,0.779941422166303,0.433686853386462,0.14209996862337,0.383912471588701,0.930772053543478,0.555000748252496
1.331,-1.163,132.4,3.4e-06,76.4,0.102,6.48,25.57,2183,1.024,0.05349,'yes','no','296805',0.396121282828972,0.115444106049836,0.98694282444194,0.950242237653583,0.0125513947568834,0.649150526151061,0.296085693174973,0.499980143969879
1.18,?,36.11,2.512e-07,18,-0.055,4.3,9.1,189,0.512,0.05863,'yes','yes','416103',0.983527298783883,0.095236828783527,0.692268881946802,0.0665352253708988,0.114184405887499,0.592644849093631,0.138846004847437,0.821144003421068
0.059,?,32.42,2.23e-06,7.6,1.212,422,7.83,1835,64,0.1811,'no','no','416135',0.296776523115113,0.795206952141598,0.883131782058626,0.91496293619275,0.655165252275765,0.922355797607452,0.27172518777661,0.437534714117646
1.16,?,41.97,2.059e-07,10.1,0.091,5.34,?,?,?,0.0992,?,'yes','279592',0.703839301830158,0.152869096025825,0.102807654300705,0.360913736745715,0.691045125946403,0.556055568624288,0.317855318076909,0.928652229020372
1.547,-1.359,182.3,1.424e-05,35.5,0.079,30.69,9.37,239,2.048,0.07977,'yes','yes','338895',0.672169124009088,0.128476344048977,0.488109160214663,0.690378926461563,0.312346544582397,0.541734983678907,0.839938384247944,0.1874915426597
1.692,-1.733,63.32,3.959e-06,39.8,0.064,284.9,8.92,2444,112,0.2024,'no','yes','326115',0.324404111364856,0.219493088778108,0.728606428951025,0.977475569117814,0.308279213029891,0.310694223502651,0.92083315551281,0.9062086250633
3.85,-0.981,129,3.254e-06,15.2,-0.032,81.77,8.61,647,12.16,0.1085,'yes','no','352648',0.940264345612377,0.0277810927946121,0.54680888960138,0.153233408695087,0.577789197443053,0.231886620633304,0.558064807904884,0.392521157627925
4.109,-1.56,101.2,1.49e-05,24,0.055,228.5,8.83,554,26.88,0.1544,'yes','no','352190',0.559869739692658,0.133710894035175,0.729685597587377,0.535442658467218,0.834556214278564,0.652059825137258,0.167356696911156,0.134623251389712
2.296,4.996,29.64,4.757e-07,5.4,0.058,8.16,6.59,166,1.024,0.1251,'yes','yes','178750',0.868655732832849,0.250485956436023,0.694498626049608,0.431126301176846,0.974617950152606,0.369196020532399,0.252488496247679,0.597731182584539
0.6535,-0.864,24.18,3.512e-07,17.5,0.234,2.91,11,?,0.512,0.004345,'yes','yes','114753',0.543200959218666,0.977310274261981,0.345807190518826,0.872655670857057,0.64767442829907,0.306220000609756,0.362128278939053,0.771964677609503
2.711,-1.903,?,4.299e-06,44,0.056,118.7,8.78,363,4.096,0.1466,'yes','yes','219101',0.813751304754987,0.0312255851458758,0.0794948418624699,0.819384793983772,0.319095390150324,0.52559527894482,0.935678847832605,0.753640093840659
2.452,-1.292,151.5,1.173e-05,78.5,0.023,99.76,10.25,260,1.024,0.1286,'yes','yes','359711',0.267955235438421,0.530645982595161,0.0395427176263183,0.430753282504156,0.273340217769146,0.4131751623936,0.484565559308976,0.260388018097728
2.641,-1.752,90.02,2.738e-06,36.6,0.117,43.89,17.85,4514,80,0.1535,'no','yes','302888',0.600908546941355,0.899618903873488,0.699770530685782,0.69820831855759,0.915168276056647,0.71457994543016,0.387408214388415,0.514927200507373
4.65,-0.8902,44.91,1.923e-07,13,0.041,10.68,8.16,397,4.096,0.1256,'yes','no','342121',0.424528130097315,0.00675819464959204,0.155333323869854,0.861726397648454,0.0826020662207156,0.388875925214961,0.669462608871982,0.250175263965502
2.77,-1.037,136.2,7.306e-06,147.6,0.031,33.48,8.08,115,0.256,0.05655,'yes','yes','337914',0.642512924037874,0.0534514000173658,0.383104179287329,0.94648535689339,0.333600799785927,0.501358464360237,0.279368560295552,0.205404269276187
4.772,-1.652,64.52,2.075e-06,23.3,0.014,65.1,10.4,928,12.16,0.2276,'yes','no','421814',0.228260696167126,0.0599893536418676,0.625126191647723,0.775432078866288,0.136634502327070,0.623663160251454,0.948285005055368,0.251716541592032
2.58,?,51.81,1.574e-06,19.8,-0.041,66.55,?,?,?,0.1536,?,'no','334877',0.277495478047058,0.411937525495887,0.9373749345541,0.951543048257008,0.670794071163982,0.899175248574466,0.0208985663484782,0.0760745923034847
1.497,-1.671,105,9.043e-06,85.4,0.316,261.4,9.85,705,12.16,0.1261,'yes','no','263361',0.561247233301401,0.404877942288294,0.773753385292366,0.101738965604454,0.171344255330041,0.0869780499488115,0.572136269649491,0.140508140437305
0.845,-1.26,80.54,3.242e-06,12.6,0.042,139.1,8.57,387,4.096,0.1772,'yes','yes','316534',0.545719474786893,0.981145092053339,0.745287148747593,0.0614804467186332,0.893163192318752,0.392650451511145,0.750716193113476,0.468844986287877
0.689,-1.084,107.6,5.551e-06,89.3,0.184,62.53,20.32,860,1.024,0.1408,'yes','yes','324895',0.173703036038205,0.302043454954401,0.498473998624831,0.00167948217131197,0.985080178594217,0.0895373192615807,0.4825360015966,0.235986641608179
2.03,?,432.9,5.119e-07,20.5,0.062,15.28,8.51,242,1.024,0.1415,'yes','no','176453',0.103291090810671,0.137504893355072,0.370267536723986,0.186138527002186,0.0719780169893056,0.349779045907781,0.619645592290908,0.244428490055725
3.076,-1.232,200.4,3.625e-06,13,0.069,49.68,7.64,494,16.38,0.1011,'yes','yes','375246',0.49184077559039,0.402492893626913,0.855821158736944,0.273505697259679,0.0464836356695741,0.993014908861369,0.128003598656505,0.553327808855101
0.422,-1.328,122.6,4.423e-06,19.9,0.129,88.2,7.61,1450,72,0.1445,'no','no','148833',0.783190154004842,0.99197968840599,0.306071326369420,0.182845457689837,0.427574561210349,0.475190253928304,0.631601834669709,0.653609382919967
