% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: GCN Notices (http://gcn.gsfc.nasa.gov/),
%                    http://astro.berkeley.edu/~nat/Swift/
%                    http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: Tue Aug  2 03:55:30 2011
% 
% 3. This file was created automatically. 
%    CHECK THE ATTRIBUTES before running Weka. 
% 
@RELATION swift_redshift

% !CHECK ME:
% !CHECK ME:
% !CHECK ME:
@ATTRIBUTE grb {yes, no}
@ATTRIBUTE Q_hat_train {yes, no}
@ATTRIBUTE Z {yes, no}

@DATA
080804,8.009e-01,2.200e+00
080805,3.400e-01,1.505e+00
050223,5.045e-01,5.915e-01
060116,1.351e-01,6.600e+00
060115,1.631e-01,3.530e+00
060912,7.874e-01,9.370e-01
080603B,7.884e-01,2.690e+00
080430,7.575e-01,7.670e-01
080330,7.978e-01,1.510e+00
081007,7.837e-01,5.295e-01
050904,2.108e-01,6.290e+00
050908,4.476e-01,3.350e+00
070529,3.110e-01,2.500e+00
081008,5.580e-01,1.969e+00
051227,5.048e-01,7.140e-01
061222B,2.787e-01,3.355e+00
070721B,3.034e-01,3.626e+00
071122,3.704e-01,1.140e+00
080413B,8.144e-01,1.100e+00
080413A,7.721e-01,2.433e+00
060607A,5.716e-01,3.082e+00
080810,7.515e-01,3.350e+00
050525A,8.043e-01,6.060e-01
080721,6.427e-01,2.602e+00
100621A,8.145e-01,5.420e-01
060512,6.999e-01,4.428e-01
100425A,5.211e-01,1.755e+00
050318,7.298e-01,1.440e+00
060614,8.160e-01,1.250e-01
060906,4.623e-01,3.686e+00
060908,3.143e-01,2.430e+00
080604,4.428e-01,1.416e+00
080605,8.138e-01,1.640e+00
080607,8.249e-01,3.036e+00
090618,8.210e-01,5.400e-01
071117,6.804e-01,1.331e+00
081028A,2.875e-01,3.038e+00
080520,8.117e-01,1.545e+00
070611,7.610e-02,2.040e+00
060604,4.128e-01,2.680e+00
060202,4.158e-01,7.830e-01
050814,1.240e-01,5.300e+00
100316B,7.193e-01,1.180e+00
060605,9.179e-02,3.780e+00
100316D,2.315e-01,5.900e-02
050730,1.274e-01,3.969e+00
100418A,6.221e-01,6.240e-01
070110,9.994e-02,2.352e+00
060510B,9.655e-02,4.900e+00
090927,7.151e-01,1.370e+00
070508,8.166e-01,8.200e-01
081029,1.706e-01,3.848e+00
091208B,7.129e-01,1.063e+00
070506,5.477e-01,2.310e+00
060210,1.554e-01,3.910e+00
061110B,3.942e-01,3.440e+00
061110A,2.343e-01,7.570e-01
060206,4.706e-01,4.045e+00
090814A,3.366e-01,6.960e-01
081121,4.367e-01,2.512e+00
060927,1.861e-01,5.600e+00
060926,6.703e-01,3.200e+00
070518,4.409e-01,1.160e+00
100302A,1.764e-01,4.813e+00
070208,9.921e-02,1.165e+00
091109A,3.225e-01,3.076e+00
090418A,7.923e-01,1.608e+00
090102,7.078e-01,1.547e+00
051109A,5.188e-01,2.346e+00
061121,8.202e-01,1.314e+00
051109B,9.866e-02,8.000e-02
061126,8.153e-01,1.159e+00
090424,8.078e-01,5.440e-01
090715B,7.871e-01,3.000e+00
060218,3.339e-01,3.310e-02
080928,6.307e-01,1.692e+00
091029,6.162e-01,2.752e+00
090519,3.297e-01,3.850e+00
060729,7.370e-01,5.400e-01
091020,7.785e-01,1.710e+00
080129,8.825e-03,4.349e+00
050826,6.235e-02,2.970e-01
070419A,2.373e-01,9.700e-01
090516A,2.137e-01,4.109e+00
060124,5.985e-01,2.296e+00
050416A,7.282e-01,6.535e-01
080913,4.575e-01,6.700e+00
060418,7.813e-01,1.489e+00
070810A,6.156e-01,2.170e+00
100219A,1.825e-01,4.667e+00
060714,6.404e-01,2.711e+00
090529,3.807e-02,2.625e+00
090812,6.115e-01,2.452e+00
080210,4.888e-01,2.641e+00
090205,3.376e-01,4.650e+00
060223A,5.700e-02,4.410e+00
081222,8.125e-01,2.770e+00
100513A,3.344e-01,4.772e+00
060526,6.768e-01,3.221e+00
050820A,6.782e-01,2.615e+00
060522,2.926e-01,5.110e+00
070306,5.129e-01,1.497e+00
080319B,8.202e-01,9.370e-01
080319C,6.846e-01,1.950e+00
080710,2.691e-01,8.450e-01
080916A,6.430e-01,6.890e-01
060108,1.608e-02,2.030e+00
091127,8.148e-01,4.900e-01
090926B,5.521e-01,1.240e+00
090809,5.545e-01,2.737e+00
081118,1.290e-01,2.580e+00
060708,1.516e-01,1.800e+00
060707,1.505e-01,3.425e+00
060502A,2.059e-01,1.510e+00
080310,8.062e-01,2.427e+00
050803,4.318e-02,4.220e-01
050802,1.333e-01,1.710e+00
081203A,7.942e-01,2.100e+00
070318,5.980e-01,8.360e-01
070411,6.843e-01,2.954e+00
050922C,8.021e-01,2.198e+00
050315,2.737e-01,1.949e+00
080707,4.157e-01,1.230e+00
070802,3.693e-01,2.450e+00
091018,7.429e-01,9.710e-01
090423,5.622e-02,8.100e+00
050319,4.838e-01,3.240e+00
060428B,6.804e-01,3.480e-01
061007,8.180e-01,1.261e+00
080905B,4.856e-01,2.374e+00
071031,2.466e-01,2.692e+00
061004,4.039e-01,3.300e+00
050505,2.788e-02,4.270e+00
071227,5.831e-01,3.830e-01
070714B,5.023e-01,9.200e-01
060904B,2.685e-01,7.030e-01
