"alpha.hat" "prob.high" "prob.low" "triggerids"
"1" 0.390728476821192 0.106 0.894 "318832"
"2" 0.0463576158940397 0.338 0.662 "173904"
"3" 0.430463576158940 0.088 0.912 "420367"
"4" 0.655629139072848 0.032 0.968 "220020"
"5" 0.529801324503311 0.064 0.936 "273180"
"6" 0.139072847682119 0.25 0.75 "317662"
"7" 0.370860927152318 0.11 0.89 "424031"
"8" 0.370860927152318 0.11 0.89 "424716"
"9" 0.390728476821192 0.104 0.896 "106106"
"10" 0.364238410596026 0.116 0.884 "106107"
"11" 0.0463576158940397 0.354 0.646 "419932"
"12" 0.629139072847682 0.036 0.964 "317888"
"13" 0.483443708609272 0.074 0.926 "146970"
"14" 0.47682119205298 0.076 0.924 "147788"
"15" 0.298013245033113 0.13 0.87 "362818"
"16" 0.251655629139073 0.17 0.83 "362633"
"17" 0.23841059602649 0.172 0.828 "296856"
"18" 0.28476821192053 0.148 0.852 "416076"
"19" 0.291390728476821 0.136 0.864 "416115"
"20" 0.390728476821192 0.1 0.9 "277356"
"21" 0.629139072847682 0.036 0.964 "276321"
"22" 0.662251655629139 0.03 0.97 "341749"
"23" 0.390728476821192 0.102 0.898 "158855"
"24" 0.278145695364238 0.154 0.846 "258408"
"25" 0.298013245033113 0.13 0.87 "158593"
"26" 0.781456953642384 0.014 0.986 "145675"
"27" 0.0463576158940397 0.362 0.638 "157870"
"28" 0.211920529801325 0.184 0.816 "145754"
"29" 0.529801324503311 0.064 0.936 "354299"
"30" 0.688741721854305 0.028 0.972 "412081"
"31" 0.635761589403974 0.034 0.966 "340895"
"32" 0.662251655629139 0.03 0.97 "324805"
"33" 0.298013245033113 0.132 0.868 "324744"
"34" 0.622516556291391 0.04 0.96 "310785"
"35" 0.549668874172185 0.058 0.942 "311159"
"36" 0.417218543046358 0.092 0.908 "279494"
"37" 0.52317880794702 0.066 0.934 "421124"
"38" 0.430463576158940 0.088 0.912 "374598"
"39" 0.430463576158940 0.086 0.914 "374875"
"40" 0.251655629139073 0.166 0.834 "203755"
"41" 0.503311258278146 0.068 0.932 "361831"
"42" 0.695364238410596 0.026 0.974 "361830"
"43" 0.28476821192053 0.144 0.856 "180241"
"44" 0.430463576158940 0.088 0.912 "352420"
"45" 0.450331125827815 0.082 0.918 "316910"
"46" 0.28476821192053 0.146 0.854 "411248"
"47" 0.0463576158940397 0.324 0.676 "414905"
"48" 0.370860927152318 0.112 0.888 "114797"
"49" 0.344370860927152 0.118 0.882 "323542"
"50" 0.708609271523179 0.024 0.976 "304379"
"51" 0.165562913907285 0.232 0.768 "218582"
"52" 0.450331125827815 0.08 0.92 "303105"
"53" 0.576158940397351 0.05 0.95 "359884"
"54" 0.562913907284768 0.052 0.948 "338338"
"55" 0.841059602649007 0.01 0.99 "337889"
"56" 0.298013245033113 0.13 0.87 "324907"
"57" 0.165562913907285 0.224 0.776 "115214"
"58" 0.23841059602649 0.172 0.828 "295301"
"59" 0.271523178807947 0.164 0.836 "294974"
"60" 0.483443708609272 0.074 0.926 "148522"
"61" 0.562913907284768 0.052 0.948 "234516"
"62" 0.278145695364238 0.154 0.846 "275119"
"63" 0.430463576158940 0.086 0.914 "175603"
"64" 0.629139072847682 0.038 0.962 "175942"
"65" 0.364238410596026 0.116 0.884 "315080"
"66" 0.0463576158940397 0.322 0.678 "118248"
"67" 0.529801324503311 0.062 0.938 "200638"
"68" 0.430463576158940 0.088 0.912 "176702"
"69" 0.602649006622517 0.044 0.956 "177666"
"70" 0.185430463576159 0.2 0.8 "349592"
"71" 0.370860927152318 0.114 0.886 "348929"
"72" 0.748344370860927 0.018 0.982 "279935"
"73" 0.662251655629139 0.03 0.97 "344582"
"74" 0.165562913907285 0.22 0.78 "230662"
"75" 0.165562913907285 0.24 0.76 "230711"
"76" 0.483443708609272 0.074 0.926 "230702"
"77" 0.629139072847682 0.038 0.962 "286574"
"78" 0.635761589403974 0.034 0.966 "307931"
"79" 0.23841059602649 0.172 0.828 "307604"
"80" 0.0463576158940397 0.31 0.69 "306858"
"81" 0.370860927152318 0.114 0.886 "345777"
"82" 0.629139072847682 0.038 0.962 "261299"
"83" 0.178807947019868 0.202 0.798 "261664"
"84" 0.225165562913907 0.18 0.82 "261880"
"85" 0.271523178807947 0.162 0.838 "382399"
"86" 0.622516556291391 0.04 0.96 "291292"
"87" 0.622516556291391 0.04 0.96 "290843"
"88" 0.403973509933775 0.096 0.904 "290624"
"89" 0.728476821192053 0.022 0.978 "302506"
"90" 0.430463576158940 0.086 0.914 "318170"
"91" 0.582781456953642 0.048 0.952 "295779"
"92" 0.635761589403974 0.034 0.966 "318101"
"93" 0.496688741721854 0.072 0.928 "378554"
"94" 0.139072847682119 0.25 0.75 "221627"
"95" 0.192052980132450 0.196 0.804 "146129"
"96" 0.430463576158940 0.088 0.912 "115135"
"97" 0.529801324503311 0.064 0.936 "222683"
"98" 0.23841059602649 0.174 0.826 "223217"
"99" 0.112582781456954 0.266 0.734 "213180"
"100" 0.728476821192053 0.022 0.978 "424733"
"101" 0.529801324503311 0.062 0.938 "207364"
"102" 0.0728476821192053 0.29 0.71 "291728"
"103" 0.0463576158940397 0.316 0.684 "291614"
"104" 0.0463576158940397 0.318 0.682 "356912"
"105" 0.695364238410596 0.026 0.974 "356890"
"106" 0.0331125827814570 0.392 0.608 "338633"
"107" 0.370860927152318 0.11 0.89 "176818"
"108" 0.562913907284768 0.052 0.948 "176918"
"109" 0.0198675496688742 0.452 0.548 "356776"
"110" 0.629139072847682 0.038 0.962 "339696"
"111" 0.430463576158940 0.086 0.914 "339852"
"112" 0.0331125827814570 0.402 0.598 "295527"
"113" 0.28476821192053 0.142 0.858 "160672"
"114" 0.496688741721854 0.072 0.928 "205096"
"115" 0.28476821192053 0.146 0.854 "305011"
"116" 0.298013245033113 0.134 0.866 "333666"
"117" 0.178807947019868 0.204 0.796 "350853"
"118" 0.430463576158940 0.086 0.914 "333427"
"119" 0.125827814569536 0.256 0.744 "350854"
"120" 0.410596026490066 0.094 0.906 "106415"
"121" 0.622516556291391 0.04 0.96 "106442"
"122" 0.370860927152318 0.114 0.886 "308812"
"123" 0.602649006622517 0.044 0.956 "192152"
"124" 0.556291390728477 0.056 0.944 "412217"
"125" 0.622516556291391 0.04 0.96 "412220"
"126" 0.635761589403974 0.034 0.966 "422783"
"127" 0.430463576158940 0.09 0.91 "303609"
"128" 0.503311258278146 0.068 0.932 "303631"
"129" 0.211920529801325 0.184 0.816 "359378"
"130" 0.774834437086093 0.016 0.984 "424998"
"131" 0.298013245033113 0.13 0.87 "132247"
"132" 0.456953642384106 0.078 0.922 "337073"
"133" 0.0397350993377483 0.374 0.626 "282073"
"134" 0.403973509933775 0.096 0.904 "283791"
"135" 0.403973509933775 0.096 0.904 "156434"
"136" 0.503311258278146 0.07 0.93 "315615"
"137" 0.503311258278146 0.068 0.932 "315819"
"138" 0.635761589403974 0.034 0.966 "420247"
"139" 0.0463576158940397 0.348 0.652 "231974"
"140" 0.748344370860927 0.02 0.98 "227996"
"141" 0.390728476821192 0.106 0.894 "423181"
"142" 0.0662251655629139 0.298 0.702 "423184"
"143" 0.0463576158940397 0.336 0.664 "107547"
"144" 0.291390728476821 0.138 0.862 "176620"
"145" 0.0463576158940397 0.354 0.646 "210254"
"146" 0.211920529801325 0.184 0.816 "210084"
"147" 0.774834437086093 0.016 0.984 "348152"
"148" 0.503311258278146 0.07 0.93 "348128"
"149" 0.165562913907285 0.24 0.76 "348650"
"150" 0.847682119205298 0.008 0.992 "348428"
"151" 0.172185430463576 0.214 0.786 "280958"
"152" 0.165562913907285 0.236 0.764 "312242"
"153" 0.370860927152318 0.11 0.89 "254532"
"154" 0.370860927152318 0.112 0.888 "255029"
"155" 0.112582781456954 0.264 0.736 "180151"
"156" 0.165562913907285 0.236 0.764 "116116"
"157" 0.562913907284768 0.054 0.946 "251863"
"158" 0.622516556291391 0.04 0.96 "337115"
"159" 0.271523178807947 0.162 0.838 "102861"
"160" 0.28476821192053 0.148 0.852 "206257"
"161" 0.271523178807947 0.162 0.838 "207281"
"162" 0.0198675496688742 0.464 0.536 "206773"
"163" 0.403973509933775 0.096 0.904 "151334"
"164" 0.278145695364238 0.156 0.844 "261132"
"165" 0.748344370860927 0.018 0.982 "283320"
"166" 0.496688741721854 0.072 0.928 "282808"
"167" 0.529801324503311 0.06 0.94 "345945"
"168" 0.437086092715232 0.084 0.916 "235645"
"169" 0.251655629139073 0.168 0.832 "306793"
"170" 0.529801324503311 0.064 0.936 "231702"
"171" 0.748344370860927 0.018 0.982 "334112"
"172" 0.662251655629139 0.03 0.97 "224552"
"173" 0.622516556291391 0.04 0.96 "224364"
"174" 0.728476821192053 0.022 0.978 "380311"
"175" 0.0463576158940397 0.312 0.688 "277571"
"176" 0.370860927152318 0.11 0.89 "159913"
"177" 0.298013245033113 0.134 0.866 "355942"
"178" 0.344370860927152 0.118 0.882 "114893"
"179" 0.589403973509934 0.046 0.954 "151486"
"180" 0.503311258278146 0.07 0.93 "163765"
"181" 0.337748344370861 0.12 0.88 "152325"
"182" 0.0463576158940397 0.332 0.668 "114298|114299"
"183" 0.503311258278146 0.07 0.93 "114485"
"184" 0.582781456953642 0.048 0.952 "276212"
"185" 0.278145695364238 0.154 0.846 "143708"
"186" 0.198675496688742 0.188 0.812 "293587"
"187" 0.278145695364238 0.158 0.842 "292826"
"188" 0.622516556291391 0.04 0.96 "285653"
"189" 0.185430463576159 0.198 0.802 "357072"
"190" 0.0529801324503311 0.304 0.696 "202505"
"191" 0.529801324503311 0.062 0.938 "202442"
"192" 0.562913907284768 0.052 0.948 "341504"
"193" 0.748344370860927 0.018 0.982 "323984"
"194" 0.291390728476821 0.14 0.86 "103647"
"195" 0.47682119205298 0.076 0.924 "353567"
"196" 0.390728476821192 0.102 0.898 "103906"
"197" 0.0927152317880795 0.274 0.726 "287260"
"198" 0.0993377483443709 0.272 0.728 "287088"
"199" 0.397350993377483 0.098 0.902 "145994"
"200" 0.0397350993377483 0.374 0.626 "181126"
"201" 0.384105960264901 0.108 0.892 "304549"
"202" 0.278145695364238 0.16 0.84 "181156"
"203" 0.688741721854305 0.028 0.972 "272773"
"204" 0.556291390728477 0.056 0.944 "230115"
"205" 0.0463576158940397 0.34 0.66 "297628"
"206" 0.688741721854305 0.028 0.972 "252588"
"207" 0.278145695364238 0.152 0.848 "213934"
"208" 0.52317880794702 0.066 0.934 "154630"
"209" 0.629139072847682 0.036 0.964 "313954"
"210" 0.251655629139073 0.166 0.834 "312958"
"211" 0.390728476821192 0.1 0.9 "130679"
"212" 0.410596026490066 0.094 0.906 "155408"
"213" 0.165562913907285 0.234 0.766 "226382"
"214" 0.529801324503311 0.064 0.936 "382941"
"215" 0.0662251655629139 0.296 0.704 "236430"
"216" 0.781456953642384 0.012 0.988 "371050"
"217" 0.344370860927152 0.118 0.882 "208870"
"218" 0.324503311258278 0.124 0.876 "208050"
"219" 0.47682119205298 0.076 0.924 "361489"
"220" 0.47682119205298 0.076 0.924 "311658"
"221" 0.562913907284768 0.052 0.948 "311762"
"222" 0.0662251655629139 0.296 0.704 "311874"
"223" 0.629139072847682 0.036 0.964 "209351"
"224" 0.28476821192053 0.15 0.85 "358520"
"225" 0.397350993377483 0.098 0.902 "278903"
"226" 0.271523178807947 0.162 0.838 "345551"
"227" 0.0463576158940397 0.352 0.648 "332399"
"228" 0.291390728476821 0.138 0.862 "358574"
"229" 0.364238410596026 0.116 0.884 "241963"
"230" 0.582781456953642 0.048 0.952 "191512"
"231" 0.298013245033113 0.128 0.872 "375659"
"232" 0.165562913907285 0.22 0.78 "321376"
"233" 0.562913907284768 0.052 0.948 "335647"
"234" 0.278145695364238 0.154 0.846 "335715"
"235" 0.178807947019868 0.208 0.792 "335895"
"236" 0.430463576158940 0.086 0.914 "351525"
"237" 0.178807947019868 0.202 0.798 "339295"
"238" 0.291390728476821 0.14 0.86 "282445"
"239" 0.185430463576159 0.198 0.802 "301578"
"240" 0.450331125827815 0.082 0.918 "318094"
"241" 0.132450331125828 0.252 0.748 "145581"
"242" 0.324503311258278 0.124 0.876 "302728"
"243" 0.0463576158940397 0.328 0.672 "146227"
"244" 0.298013245033113 0.13 0.87 "279898"
"245" 0.192052980132450 0.192 0.808 "279817"
"246" 0.529801324503311 0.064 0.936 "426722"
"247" 0.688741721854305 0.028 0.972 "146372"
"248" 0.549668874172185 0.058 0.942 "100433"
"249" 0.298013245033113 0.128 0.872 "373871"
"250" 0.728476821192053 0.022 0.978 "113872"
"251" 0.370860927152318 0.112 0.888 "151131"
"252" 0.629139072847682 0.036 0.964 "150532"
"253" 0.291390728476821 0.14 0.86 "100815"
"254" 0.324503311258278 0.122 0.878 "164279"
