GRB	Time [UT]	Trigger Number	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	BAT Photon Index (15-150 keV) (PL = simple power-law, CPL = cutoff power-law)	BAT Photon Index 90% Error (15-150 keV)	XRT RA (J2000)	XRT Dec (J2000)	XRT 90% Error Radius [arcsec]	XRT Time to First Observation [sec]	XRT Early Flux (0.3-10 keV) [10^-11 erg/cm^2/s]	XRT 24 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]	XRT Initial Temporal Decay Index	XRT Spectral Index (Gamma)	XRT Column Density (NH) [10^21 cm^-2]	UVOT RA (J2000)	UVOT Dec (J2000)	UVOT 90% Error Radius [arcsec]	UVOT Time to First Observation [sec]	UVOT Magnitude	UVOT Other Filter Magnitudes	Other Observatory Detections	Redshift	Host Galaxy	Comments	References	Burst Advocate
111008A	22:12:58	505054	60.439	-32.708	1.2	63.46	53	3	6.4	0.7	1.86, PL	0.09	04:01:48.22	-32:42:34.1	1.7	91.5	n/a	n/a	7.1	2.02	0.43	n/a	n/a	n/a	99	V>19.0	B>19.7|U>20.6|UVW1>19.2|UVM2>21.0|UVW2>19.8|White>21.8	Gemini-South, NOT (2.5m), La Silla (2.2m), VLT, IAC80, Konus-Wind	5.0 (Gemini-South: absorption)|4.9898 (VLT: absorption)				Curtis Saxton
111005A	08:05:14	504779	223.315	-19.722	2.1	26	6.2	1.1	1.1	0.3	2.03, PL	0.27	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ATCA @ 18 GHz			Due to a Sun observing constraint, Swift cannot slew to the BAT position until 18:03 UT on 2011 December 25. There will thus be no XRT or UVOT data for this trigger before this time.		Curtis Saxton
110928A	01:51:31	504215	257.745	36.547	2.3	26.7	6.9	1.1	0.9	0.3	1.09, PL	0.30	17:10:55.91	36:32:08.5	2.2	3337.3	n/a	n/a	0.55	2.07	4.8	n/a	n/a	n/a	3341	V>19.1	B>21.0|U>20.8|UVW1>20.3|UVM2>19.9|UVW2>21.6|White>21.0				Due to an observing constraint, Swift will not slew until T0+52 minutes.|UVOT: no detection		Erik Hoversten
110921A	13:51:20	503652	294.094	36.355	1.7	48.00	24	2	0.2	0.4	1.57, PL	0.17	19:36:23.57	36:19:43.1	1.9	122.4	n/a	n/a	0.90	2.00	2.0	n/a	n/a	n/a	126	V>20.3	B>20.7|U>20.9|UVW1>21.1|UVM2>19.7|UVW2>20.6|White=21.4	TNT, Fermi (GBM)					Wayne Baumgartner
110918A	21:26:57	IPN	32.575	-27.281	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	02:10:09.27	-27:06:22.0	1.5	107400	n/a	n/a	1.49	2.11	6.3	02:10:09.33	-27:06:19.6	0.55	153272	n/a	White=20.36				IPN: GCN 12357
110915B	18:24:19	AGILE	77.548	1.925	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	05:10:13.13	01:55:57.9	1.8	36754	n/a	n/a	0.3	1.85	0.9	n/a	n/a	n/a	36747	V>20.1	U>22.0|White>22.2				AGILE: GCN 12341|UVOT: no detection
110915A	13:20:44	503219	310.830	-0.713	1.2	78.76	57	2	3.3	0.2	0.94, CPL	0.23	20:43:17.87	-00:43:23.2	1.6	76.1	n/a	n/a	5.6	2.6	2.04	n/a	n/a	n/a	84	V>19.35	B>20.10|U>20.36|UVW1>19.59|UVM2>19.46|UVW2>19.82|White>21.46	Konus-Wind			UVOT: no detection|Konus-Wind/BAT joint analysis: GCN 12358		Stephen Holland
110903A	02:39:55	INTEGRAL	197.0614	58.9852	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	13:08:15.77	58:58:53.5	1.8	33800	n/a	n/a	0.9	1.8	3.7	n/a	n/a	n/a	33800	V>19.86	U>20.73|White>21.94				INTEGRAL: GCN 12322|UVOT: no detection
110827A	00:01:52	501520	164.059	53.817	2.2	8.5	1.8	0.3	0.4	0.1	1.24, PL	0.27	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a				Because of the Sun constraint Swift did not observe the burst with its narrow field instruments. No further observations of this burst are planned		Binbin Zhang
110820A	17:38:27	501095	343.203	70.298	2.1	256	8.2	1.5	0.4	0.1	1.92, PL	0.28	22:52:46.14	70:17:54.5	2.3	79.0	n/a	n/a	0.28	1.80	4.7	n/a	n/a	n/a	139	V>21.1	B>22.0|U>21.8|UVW1>21.8|UVM2>20.6|UVW2>21.2				UVOT: no detection		Eleonora Troja
110818A	20:37:49	500914	317.373	-63.981	1.4	103	40	2	1.6	0.3	1.58, PL	0.11	21:09:20.89	-63:58:51.8	1.4	380.4	n/a	n/a	0.95	1.97	0.78	n/a	n/a	n/a	856	V>20.8	B>22.2|U>20.4|UVW1>20.9|UVM2>20.9|UVW2>21.2	VLT, Fermi (GBM)	3.36 (VLT: absorption)		UVOT: no detection		Craig Markwardt
110808A	06:18:54	458918	57.322	-44.177	2.7	48	3.3	0.8	0.4	0.2	2.32, PL	0.43	03:49:03.99	-44:11:43.3	3.2	110.9	54.2	n/a	0.57	3.07	2.9	03:49:04.27	-44:11:40.1	0.64	120	V>18.7	B=18.64|U=18.2|UVW1>17.8|UVW2>18.3|White=18.48	VLT	1.348 (VLT: emission)				Giulia Stratta
110801A	19:49:42	458521	89.415	80.958	1.1	385	47	3	1.1	0.2	1.84, PL	0.10	05:57:44.65	80:57:22.2	1.8	98.9	n/a	n/a	1.12	2.04	0.62	05:57:44.87	80:57:21.1	0.51	108	V=17.07	B=17.47|U_fc=15.89|U=15.68|UVW1=17.92|UVM2>20.2|UVW2=20.48|White_fc=18.06|White=17.23	ROTSE-IIId, TLS (2m/1.34m), MITSuME (1m), GTC (10.4m), MASTER II, BTA (6m), Mt.Terskol (Zeiss-600)	1.858 (GTC: absorption)				Max De Pasquale
110731A	11:09:30	458448	280.513	-28.536	1.0	38.8	60	1	11.0	0.3	1.15, PL	0.05	18:42:01.00	-28:32:14.9	1.4	66.4	n/a	n/a	1.04	1.92	1.7	18:42:00.99	-28:32:13.8	0.2	75	V=16.90	B=17.87|U_fc=17.71|U=18.37|UVW1>18.88|UVM2>18.77|UVW2>19.24|White_fc=15.85|White=17.64	Faulkes (North & South), Fermi (LAT & GBM), NOT, Konus-Wind, Gemini-North, Mt John University Observatory (61cm), Suzaku	2.83 (Gemini-North: absorption)				Sam Oates
110726A	01:30:40	458059	286.713	56.070	1.7	5.2	2.2	0.3	1.0	0.2	0.64, CPL	0.87	19:06:51.87	56:04:16.3	2.2	58.2	n/a	n/a	1.26	2.15	0.96	19:06:52.08	56:04:16.5	0.51	60	V=20.61	B=20.44|U_fc=18.41|U>21.25|UVW1>20.5|UVM2>21.1|UVW2>21.5|White_fc=17.84|White>20.85	ROTSE-IIId, Liverpool (2m), Murikabushi (1m), IAC80 (0.82m), Zeiss-1000 (1m), BTA (6m)					Chris Wolf
110719A	06:09:11	457553	24.570	34.578	1.8	41.0	18	2	1.3	0.3	1.63, PL	0.15	01:38:19.40	34:35:10.2	2.5	111.3	TBD	TBD	0.59	1.58	0.40	n/a	n/a	n/a	121	V>20.2	B>21.1|U>20.5|UVW1>20.4|UVM2>20.8|UVW2>20.2|White>21.3						Taka Sakamoto
110715A	13:13:50	457330	237.665	-46.237	1.0	13.0	118	2	53.9	1.1	1.25, CPL	0.12	15:50:44.07	-46:14:09.0	2.2	90.9	n/a	n/a	0.57	1.85	6.0	15:50:44.09	-46:14:06.53	0.56	100	V=19.3	U=17.86|B=19.5|UVW1>20.1|UVW2>20.1|UVM2>20.3|White=17.37	VLT, Konus-Wind, APEX, MPI/ESO (2.2m), ATCA @ 44.00 GHz, Ellinbank Observatory (0.32cm), Suzaku	0.82 (VLT: absorption)				Eda Sonbas
110709B	21:32:39	456967|456969	164.668	-23.470	1.1	55.6	94	2	3.4	0.3	1.29, PL	0.04	10:58:37.08	-23:27:17.6	1.4	80.5	n/a	n/a	1.08	2.19	2.14	n/a	n/a	n/a	91	V>21.5	B>22.4|U>22.2|UVW1>22.2|UVM2>22.3|UVW2>22.4|White>23.0	Konus-Wind, Suzaku, EVLA @ 5.8 GHz			BAT: detected renewed activity at T+11 min (trigger 456969). RA: 164.655, Dec: -23.456. See GCN 12144 for details.|BATSS: burst detection from Swift-BAT slew data (GCN 12143)|UVOT: no detection		Jay Cummings
110709A	15:24:29	456939	238.895	40.918	1.0	44.7	100	2	6.2	0.2	1.24, PL	0.03	15:55:33.95	40:55:27.4	1.5	65.6	n/a	n/a	1.72	2.07	7.3	n/a	n/a	n/a	73	V>20.9	B>22.5|U>22.2|UVW1>21.7|UVM2>20.7|UVW2>21.2|White>23.1	Fermi (GBM), Konus-Wind, Konkoly (60/90cm), Suzaku			UVOT: no detection		Stephen Holland
110708A	04:43:22	INTEGRAL	340.1208	53.9597	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	22:40:26.82	53:57:42.5	5.7	5000	n/a	n/a	TBD	TBD	TBD	n/a	n/a	n/a	34934	V=19.2	U>20.9				INTEGRAL: GCN 12112
110625A	21:08:28	456073	286.751	6.755	1.3	44.5	280	10	49.5	2.4	1.44, PL	0.04	19:06:55.85	06:45:19.2	2.1	140.3	172	n/a	1.12	1.8	59	n/a	n/a	n/a	205	V>19.5	B>20.6|U>21.1|UVW1>19.5|UVM2>18.4|UVW2>19.8	Konus-Wind, Fermi (GBM & LAT), Suzaku					Kim Page
