% 1. Title: Redshift Predictor for Swift GRBs
% 
% 2. Sources:
%     (a) Creator: Adam N. Morgan
%     (b) Data From: http://swift.gsfc.nasa.gov/docs/swift/archive/grb_table.html/
%     (c) Date: July 21, 2009
% 
@RELATION swift_redshift

@ATTRIBUTE t90 NUMERIC
@ATTRIBUTE fluence NUMERIC
@ATTRIBUTE peakflux NUMERIC
@ATTRIBUTE xrt_column NUMERIC
@ATTRIBUTE wh_mag_isupper NUMERIC
@ATTRIBUTE v_mag_isupper NUMERIC
@ATTRIBUTE class {high_z, medium_z, low_z}

@DATA
266.0,57.0,3.8,1.09,0,1,medium_z
34.0,36.0,3.1,1.7,0,0,medium_z
78.0,25.0,1.1,0.35,1,1,low_z
33.3,82.2,10.7,?,?,?,medium_z
22.5,6.36,0.69,?,?,?,low_z
43.5,22.1,1.97,0.966,1,1,medium_z
105.9,24.1,1.11,8.1,?,1,high_z
280.0,25.0,2.1,1.7,0,0,low_z
185.5,43.0,1.3,0.59,0,0,low_z
5.0,13.5,8.58,1.7,0,0,low_z
0.3,3.4,9.7,0.166,0,0,low_z
60.0,24.0,3.5,7.9,0,0,medium_z
16.2,12.0,2.6,0.46,0,0,low_z
4.0,1.7,1.3,4.8,?,1,low_z
0.47,0.63,1.76,5.9,0,0,low_z
12.4,63.6,21.5,0.2,?,0,medium_z
64.0,12.0,0.6,19.0,1,1,medium_z
115.3,26.1,1.17,1.0,0,0,low_z
61.0,3.4,0.9,0.123,0,0,low_z
900.0,3.0,0.04,2.0,?,1,low_z
10.0,7.1,2.6,6.6,0,0,low_z
37.9,80.1,6.53,7.0,1,1,low_z
22.6,2.66,0.5,0.36,?,0,low_z
174.2,48.3,0.62,1.5,?,1,high_z
255.0,76.6,2.72,16.4,1,1,medium_z
19.4,4.83,0.7,0.3,?,0,medium_z
109.2,25.7,1.43,3.5,?,0,medium_z
115.6,5.58,0.2,1.9,?,0,low_z
79.1,6.97,0.46,0.51,0,0,medium_z
40.0,22.4,1.59,4.0,?,1,medium_z
210.0,90.0,1.6,1.57,1,1,high_z
750.0,4.61,0.89,1.72,?,0,medium_z
340.0,36.0,1.5,0.19,0,0,medium_z
0.76,3.34,3.86,1.2,0,1,low_z
68.7,5.8,0.4,0.99,0,1,low_z
2.5,3.67,4.88,2.5,?,0,low_z
8.0,32.0,18.7,3.2,0,0,low_z
46.0,35.0,5.6,15.3,0,0,medium_z
8.0,5.6,1.4,0.32,1,1,high_z
